step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.8238,10.8239,7.75e+12,8.11e+12,409600
100,10.8204,10.8201,1.57e+13,1.62e+13,819200
150,10.8067,10.8067,2.36e+13,2.43e+13,1228800
200,10.7595,10.7614,3.15e+13,3.24e+13,1638400
250,10.6579,10.6610,3.94e+13,4.06e+13,2048000
300,10.4685,10.4806,4.73e+13,4.87e+13,2457600
350,10.1839,10.1888,5.52e+13,5.68e+13,2867200
400,9.6520,9.7377,6.31e+13,6.49e+13,3276800
450,9.3143,9.3855,7.10e+13,7.30e+13,3686400
500,9.1293,9.1756,7.89e+13,8.11e+13,4096000
550,8.9009,9.0432,8.68e+13,8.92e+13,4505600
600,8.9068,8.9270,9.47e+13,9.73e+13,4915200
650,8.7620,8.8259,1.03e+14,1.05e+14,5324800
700,8.5968,8.7433,1.11e+14,1.14e+14,5734400
750,8.4652,8.6773,1.18e+14,1.22e+14,6144000
800,8.4751,8.6210,1.26e+14,1.30e+14,6553600
850,8.4419,8.5739,1.34e+14,1.38e+14,6963200
900,8.3884,8.5331,1.42e+14,1.46e+14,7372800
950,8.4240,8.4967,1.50e+14,1.54e+14,7782400
1000,8.2915,8.4650,1.58e+14,1.62e+14,8192000
1050,8.3103,8.4361,1.66e+14,1.70e+14,8601600
1100,8.1638,8.4118,1.74e+14,1.78e+14,9011200
1150,8.2317,8.3875,1.82e+14,1.87e+14,9420800
1200,8.1724,8.3665,1.90e+14,1.95e+14,9830400
1250,8.2775,8.3476,1.97e+14,2.03e+14,10240000
1300,8.0449,8.3302,2.05e+14,2.11e+14,10649600
1350,8.2951,8.3143,2.13e+14,2.19e+14,11059200
1400,8.2032,8.2994,2.21e+14,2.27e+14,11468800
1450,8.0824,8.2863,2.29e+14,2.35e+14,11878400
1500,8.0801,8.2733,2.37e+14,2.43e+14,12288000
1550,8.0955,8.2604,2.45e+14,2.51e+14,12697600
1600,8.0234,8.2501,2.53e+14,2.60e+14,13107200
1650,8.0962,8.2390,2.61e+14,2.68e+14,13516800
1700,8.0932,8.2288,2.69e+14,2.76e+14,13926400
1750,8.1153,8.2192,2.77e+14,2.84e+14,14336000
1800,8.0566,8.2101,2.84e+14,2.92e+14,14745600
1850,8.0193,8.2016,2.92e+14,3.00e+14,15155200
1900,8.0902,8.1929,3.00e+14,3.08e+14,15564800
1950,7.9393,8.1859,3.08e+14,3.16e+14,15974400
2000,8.0435,8.1768,3.16e+14,3.24e+14,16384000
2050,7.9690,8.1697,3.24e+14,3.33e+14,16793600
2100,7.9580,8.1617,3.32e+14,3.41e+14,17203200
