step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.8124,10.8121,7.75e+12,8.11e+12,409600
100,10.6150,10.6154,1.57e+13,1.62e+13,819200
150,9.5784,9.5929,2.36e+13,2.43e+13,1228800
200,8.9104,8.9928,3.15e+13,3.24e+13,1638400
250,8.5624,8.6998,3.94e+13,4.06e+13,2048000
300,8.3711,8.5273,4.73e+13,4.87e+13,2457600
350,8.3390,8.4063,5.52e+13,5.68e+13,2867200
400,8.1325,8.3172,6.31e+13,6.49e+13,3276800
450,8.1443,8.2453,7.10e+13,7.30e+13,3686400
500,8.0524,8.1907,7.89e+13,8.11e+13,4096000
550,7.9455,8.1442,8.68e+13,8.92e+13,4505600
600,8.0822,8.1021,9.47e+13,9.73e+13,4915200
650,7.9615,8.0617,1.03e+14,1.05e+14,5324800
700,7.8553,8.0309,1.11e+14,1.14e+14,5734400
750,7.7411,8.0100,1.18e+14,1.22e+14,6144000
800,7.8452,7.9941,1.26e+14,1.30e+14,6553600
850,7.8021,7.9800,1.34e+14,1.38e+14,6963200
900,7.7823,7.9649,1.42e+14,1.46e+14,7372800
950,7.8449,7.9583,1.50e+14,1.54e+14,7782400
1000,7.7646,7.9486,1.58e+14,1.62e+14,8192000
1050,7.7989,7.9355,1.66e+14,1.70e+14,8601600
1100,7.6416,7.9340,1.74e+14,1.78e+14,9011200
1150,7.7511,7.9251,1.82e+14,1.87e+14,9420800
1200,7.6972,7.9208,1.90e+14,1.95e+14,9830400
1250,7.7804,7.9124,1.97e+14,2.03e+14,10240000
1300,7.5934,7.9100,2.05e+14,2.11e+14,10649600
1350,7.8780,7.9046,2.13e+14,2.19e+14,11059200
1400,7.7696,7.9024,2.21e+14,2.27e+14,11468800
1450,7.6998,7.8990,2.29e+14,2.35e+14,11878400
1500,7.6816,7.8988,2.37e+14,2.43e+14,12288000
1550,7.7184,7.8929,2.45e+14,2.51e+14,12697600
1600,7.6433,7.8939,2.53e+14,2.60e+14,13107200
1650,7.7201,7.8919,2.61e+14,2.68e+14,13516800
1700,7.7388,7.8883,2.69e+14,2.76e+14,13926400
1750,7.7873,7.8850,2.77e+14,2.84e+14,14336000
1800,7.7209,7.8805,2.84e+14,2.92e+14,14745600
1850,7.6859,7.8826,2.92e+14,3.00e+14,15155200
1900,7.7540,7.8801,3.00e+14,3.08e+14,15564800
1950,7.6155,7.8784,3.08e+14,3.16e+14,15974400
2000,7.7078,7.8670,3.16e+14,3.24e+14,16384000
2050,7.6675,7.8581,3.24e+14,3.33e+14,16793600
2100,7.6579,7.8527,3.32e+14,3.41e+14,17203200
2150,7.6586,7.8495,3.40e+14,3.49e+14,17612800
2200,7.7796,7.8497,3.48e+14,3.57e+14,18022400
2250,7.7509,7.8514,3.56e+14,3.65e+14,18432000
2300,7.6218,7.8455,3.63e+14,3.73e+14,18841600
2350,7.5804,7.8482,3.71e+14,3.81e+14,19251200
2400,7.6778,7.8534,3.79e+14,3.89e+14,19660800
2450,7.7940,7.8432,3.87e+14,3.97e+14,20070400
2500,7.6513,7.8376,3.95e+14,4.06e+14,20480000
2550,7.6954,7.8232,4.03e+14,4.14e+14,20889600
2600,7.7206,7.8291,4.11e+14,4.22e+14,21299200
2650,7.7771,7.8282,4.19e+14,4.30e+14,21708800
2700,7.8359,7.8312,4.27e+14,4.38e+14,22118400
2750,7.6660,7.8201,4.35e+14,4.46e+14,22528000
2800,7.5927,7.7975,4.43e+14,4.54e+14,22937600
2850,7.7299,7.7960,4.50e+14,4.62e+14,23347200
2900,7.6469,7.8027,4.58e+14,4.70e+14,23756800
2950,7.6244,7.8104,4.66e+14,4.78e+14,24166400
3000,7.7538,7.8105,4.74e+14,4.87e+14,24576000
3050,7.6637,7.8111,4.82e+14,4.95e+14,24985600
3100,7.6160,7.8138,4.90e+14,5.03e+14,25395200
3150,7.7119,7.8114,4.98e+14,5.11e+14,25804800
3200,7.7877,7.8182,5.06e+14,5.19e+14,26214400
3250,7.7589,7.8179,5.14e+14,5.27e+14,26624000
3300,7.7409,7.8072,5.22e+14,5.35e+14,27033600
3350,7.7065,7.8117,5.29e+14,5.43e+14,27443200
3400,7.7680,7.8226,5.37e+14,5.51e+14,27852800
3450,7.7021,7.8078,5.45e+14,5.60e+14,28262400
3500,7.5975,7.8112,5.53e+14,5.68e+14,28672000
3550,7.6484,7.8019,5.61e+14,5.76e+14,29081600
3600,7.5823,7.8049,5.69e+14,5.84e+14,29491200
3650,7.6962,7.8078,5.77e+14,5.92e+14,29900800
3700,7.6661,7.8063,5.85e+14,6.00e+14,30310400
3750,7.6343,7.8042,5.93e+14,6.08e+14,30720000
3800,7.6254,7.8065,6.01e+14,6.16e+14,31129600
3850,7.5583,7.8125,6.09e+14,6.24e+14,31539200
3900,7.6792,7.8098,6.16e+14,6.33e+14,31948800
3950,7.7475,7.8093,6.24e+14,6.41e+14,32358400
4000,7.6195,7.8155,6.32e+14,6.49e+14,32768000
4050,7.5808,7.8201,6.40e+14,6.57e+14,33177600
4100,7.5661,7.8214,6.48e+14,6.65e+14,33587200
4150,7.5648,7.8271,6.56e+14,6.73e+14,33996800
4200,7.5770,7.8280,6.64e+14,6.81e+14,34406400
4250,7.6453,7.8240,6.72e+14,6.89e+14,34816000
4300,7.6004,7.8259,6.80e+14,6.97e+14,35225600
4350,7.7934,7.8230,6.88e+14,7.06e+14,35635200
4400,7.7156,7.8011,6.95e+14,7.14e+14,36044800
4450,7.7419,7.8009,7.03e+14,7.22e+14,36454400
4500,7.6495,7.8037,7.11e+14,7.30e+14,36864000
4550,7.7121,7.8055,7.19e+14,7.38e+14,37273600
4600,7.7183,7.8040,7.27e+14,7.46e+14,37683200
4650,7.6620,7.8020,7.35e+14,7.54e+14,38092800
4700,7.7099,7.8058,7.43e+14,7.62e+14,38502400
4750,7.6962,7.8086,7.51e+14,7.70e+14,38912000
4800,7.6594,7.8085,7.59e+14,7.79e+14,39321600
4850,7.7613,7.7989,7.67e+14,7.87e+14,39731200
4900,7.8047,7.7946,7.75e+14,7.95e+14,40140800
4950,7.6800,7.7966,7.82e+14,8.03e+14,40550400
5000,7.6103,7.8012,7.90e+14,8.11e+14,40960000
5050,7.6335,7.8038,7.98e+14,8.19e+14,41369600
5100,7.5961,7.8037,8.06e+14,8.27e+14,41779200
5150,7.6203,7.8078,8.14e+14,8.35e+14,42188800
5200,7.7701,7.8077,8.22e+14,8.43e+14,42598400
5250,7.7311,7.8129,8.30e+14,8.52e+14,43008000
5300,7.7632,7.8160,8.38e+14,8.60e+14,43417600
5350,7.7089,7.8096,8.46e+14,8.68e+14,43827200
5400,7.6558,7.8091,8.54e+14,8.76e+14,44236800
5450,7.6244,7.8076,8.61e+14,8.84e+14,44646400
5500,7.6683,7.8115,8.69e+14,8.92e+14,45056000
5550,7.6574,7.8118,8.77e+14,9.00e+14,45465600
5600,7.5927,7.8108,8.85e+14,9.08e+14,45875200
5650,7.7731,7.8106,8.93e+14,9.16e+14,46284800
5700,7.6972,7.8114,9.01e+14,9.25e+14,46694400
5750,7.7786,7.8074,9.09e+14,9.33e+14,47104000
5800,7.6987,7.8094,9.17e+14,9.41e+14,47513600
5850,7.5925,7.8051,9.25e+14,9.49e+14,47923200
5900,7.6334,7.7981,9.33e+14,9.57e+14,48332800
5950,7.7152,7.7990,9.41e+14,9.65e+14,48742400
6000,7.6617,7.7995,9.48e+14,9.73e+14,49152000
6050,7.7120,7.8010,9.56e+14,9.81e+14,49561600
6100,7.7231,7.8031,9.64e+14,9.89e+14,49971200
6150,7.7173,7.8046,9.72e+14,9.98e+14,50380800
6200,7.6137,7.8062,9.80e+14,1.01e+15,50790400
6250,7.7117,7.8079,9.88e+14,1.01e+15,51200000
6300,7.7316,7.8067,9.96e+14,1.02e+15,51609600
6350,7.6454,7.8095,1.00e+15,1.03e+15,52019200
6400,7.7039,7.8092,1.01e+15,1.04e+15,52428800
6450,7.6287,7.8108,1.02e+15,1.05e+15,52838400
6500,7.6403,7.8102,1.03e+15,1.05e+15,53248000
6550,7.7521,7.8108,1.04e+15,1.06e+15,53657600
6600,7.6998,7.8110,1.04e+15,1.07e+15,54067200
6650,7.7066,7.8103,1.05e+15,1.08e+15,54476800
6700,7.7968,7.8090,1.06e+15,1.09e+15,54886400
6750,7.6931,7.8007,1.07e+15,1.09e+15,55296000
6800,7.6001,7.8009,1.07e+15,1.10e+15,55705600
6850,7.6713,7.8029,1.08e+15,1.11e+15,56115200
6900,7.5896,7.8022,1.09e+15,1.12e+15,56524800
6950,7.6642,7.8028,1.10e+15,1.13e+15,56934400
7000,7.6660,7.8039,1.11e+15,1.14e+15,57344000
7050,7.7191,7.8036,1.11e+15,1.14e+15,57753600
7100,7.8404,7.8040,1.12e+15,1.15e+15,58163200
7150,7.7690,7.8042,1.13e+15,1.16e+15,58572800
7200,7.7147,7.8062,1.14e+15,1.17e+15,58982400
7250,7.7171,7.8049,1.15e+15,1.18e+15,59392000
7300,7.6466,7.8046,1.15e+15,1.18e+15,59801600
7350,7.7887,7.8055,1.16e+15,1.19e+15,60211200
7400,7.7512,7.8050,1.17e+15,1.20e+15,60620800
7450,7.6873,7.8045,1.18e+15,1.21e+15,61030400
7500,7.7430,7.8048,1.19e+15,1.22e+15,61440000
7550,7.6526,7.8037,1.19e+15,1.22e+15,61849600
7600,7.6605,7.8048,1.20e+15,1.23e+15,62259200
7650,7.6770,7.8039,1.21e+15,1.24e+15,62668800
7700,7.5887,7.8039,1.22e+15,1.25e+15,63078400
7750,7.6772,7.8053,1.23e+15,1.26e+15,63488000
7800,7.6553,7.8035,1.23e+15,1.27e+15,63897600
7850,7.8426,7.8024,1.24e+15,1.27e+15,64307200
7900,7.7440,7.8030,1.25e+15,1.28e+15,64716800
7950,7.6155,7.8025,1.26e+15,1.29e+15,65126400
