step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,8.6274,8.6251,1.08e+14,1.08e+14,1638400
400,7.3329,7.2140,2.16e+14,2.16e+14,3276800
600,6.6243,6.6064,3.24e+14,3.24e+14,4915200
800,6.3867,6.2864,4.32e+14,4.32e+14,6553600
1000,5.9843,6.0463,5.40e+14,5.40e+14,8192000
1200,5.9241,5.8717,6.49e+14,6.48e+14,9830400
1400,5.7195,5.7358,7.57e+14,7.56e+14,11468800
1600,5.6440,5.6262,8.65e+14,8.64e+14,13107200
1800,5.4474,5.5378,9.73e+14,9.72e+14,14745600
2000,5.5345,5.4654,1.08e+15,1.08e+15,16384000
2200,5.3081,5.4068,1.19e+15,1.19e+15,18022400
2400,5.3545,5.3564,1.30e+15,1.30e+15,19660800
2600,5.2278,5.3151,1.41e+15,1.40e+15,21299200
2800,5.0807,5.2774,1.51e+15,1.51e+15,22937600
3000,5.2036,5.2417,1.62e+15,1.62e+15,24576000
3200,5.2865,5.2082,1.73e+15,1.73e+15,26214400
3400,5.1628,5.1776,1.84e+15,1.84e+15,27852800
3600,5.1178,5.1513,1.95e+15,1.94e+15,29491200
3800,5.2307,5.1284,2.05e+15,2.05e+15,31129600
4000,5.1276,5.1097,2.16e+15,2.16e+15,32768000
4200,5.0059,5.0892,2.27e+15,2.27e+15,34406400
4400,5.1530,5.0755,2.38e+15,2.38e+15,36044800
4600,5.0097,5.0536,2.49e+15,2.48e+15,37683200
4800,5.0282,5.0374,2.59e+15,2.59e+15,39321600
5000,4.9354,5.0062,2.70e+15,2.70e+15,40960000
5200,4.9938,4.9894,2.81e+15,2.81e+15,42598400
5400,4.9075,4.9756,2.92e+15,2.92e+15,44236800
5600,4.9717,4.9581,3.03e+15,3.02e+15,45875200
5800,4.8905,4.9415,3.13e+15,3.13e+15,47513600
6000,4.9769,4.9301,3.24e+15,3.24e+15,49152000
6200,4.8457,4.9134,3.35e+15,3.35e+15,50790400
6400,4.7439,4.9041,3.46e+15,3.46e+15,52428800
6600,4.9199,4.8918,3.57e+15,3.56e+15,54067200
