step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.6137,10.6169,4.76e+13,4.75e+13,409600
100,10.2339,10.2244,9.51e+13,9.51e+13,819200
150,9.7840,9.7752,1.43e+14,1.43e+14,1228800
200,9.2034,9.2158,1.90e+14,1.90e+14,1638400
250,8.6274,8.5934,2.38e+14,2.38e+14,2048000
300,8.0518,8.0305,2.85e+14,2.85e+14,2457600
350,7.6317,7.6440,3.33e+14,3.33e+14,2867200
400,7.4951,7.4531,3.81e+14,3.80e+14,3276800
450,7.2294,7.3069,4.28e+14,4.28e+14,3686400
500,7.2517,7.1476,4.76e+14,4.75e+14,4096000
550,7.0903,7.0029,5.23e+14,5.23e+14,4505600
600,6.9190,6.8649,5.71e+14,5.70e+14,4915200
650,6.6718,6.7492,6.18e+14,6.18e+14,5324800
700,6.5548,6.6511,6.66e+14,6.66e+14,5734400
750,6.5835,6.5594,7.14e+14,7.13e+14,6144000
800,6.4456,6.4898,7.61e+14,7.61e+14,6553600
850,6.3334,6.4182,8.09e+14,8.08e+14,6963200
900,6.4850,6.3547,8.56e+14,8.56e+14,7372800
950,6.2929,6.2924,9.04e+14,9.03e+14,7782400
1000,6.1651,6.2387,9.51e+14,9.51e+14,8192000
1050,6.2682,6.1847,9.99e+14,9.98e+14,8601600
1100,6.1846,6.1338,1.05e+15,1.05e+15,9011200
1150,6.0662,6.0840,1.09e+15,1.09e+15,9420800
1200,5.9767,6.0384,1.14e+15,1.14e+15,9830400
1250,5.9604,5.9925,1.19e+15,1.19e+15,10240000
1300,5.9815,5.9507,1.24e+15,1.24e+15,10649600
1350,5.7795,5.9175,1.28e+15,1.28e+15,11059200
1400,5.7194,5.8816,1.33e+15,1.33e+15,11468800
1450,5.8469,5.8464,1.38e+15,1.38e+15,11878400
1500,5.9419,5.8160,1.43e+15,1.43e+15,12288000
1550,5.7447,5.7786,1.47e+15,1.47e+15,12697600
1600,5.8078,5.7473,1.52e+15,1.52e+15,13107200
1650,5.8314,5.7216,1.57e+15,1.57e+15,13516800
1700,5.7146,5.6978,1.62e+15,1.62e+15,13926400
1750,5.6774,5.6730,1.66e+15,1.66e+15,14336000
1800,5.7351,5.6424,1.71e+15,1.71e+15,14745600
1850,5.5108,5.6235,1.76e+15,1.76e+15,15155200
1900,5.5184,5.5955,1.81e+15,1.81e+15,15564800
1950,5.6674,5.5767,1.86e+15,1.85e+15,15974400
2000,5.4960,5.5563,1.90e+15,1.90e+15,16384000
