step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.2346,10.2119,1.08e+13,1.08e+13,409600
100,8.6915,8.6799,2.16e+13,2.16e+13,819200
150,7.7595,7.6758,3.24e+13,3.24e+13,1228800
200,7.2388,7.3299,4.32e+13,4.32e+13,1638400
250,7.0462,7.0144,5.40e+13,5.39e+13,2048000
300,6.7377,6.7818,6.47e+13,6.47e+13,2457600
350,6.4078,6.6125,7.55e+13,7.55e+13,2867200
400,6.4970,6.4895,8.63e+13,8.63e+13,3276800
450,6.3165,6.3692,9.71e+13,9.71e+13,3686400
500,6.2646,6.2710,1.08e+14,1.08e+14,4096000
550,6.2651,6.1946,1.19e+14,1.19e+14,4505600
600,6.0344,6.1159,1.29e+14,1.29e+14,4915200
650,6.0370,6.0705,1.40e+14,1.40e+14,5324800
700,5.9473,6.0143,1.51e+14,1.51e+14,5734400
750,6.0511,5.9739,1.62e+14,1.62e+14,6144000
800,5.8689,5.9394,1.73e+14,1.73e+14,6553600
850,5.9376,5.9000,1.83e+14,1.83e+14,6963200
900,5.7932,5.8818,1.94e+14,1.94e+14,7372800
950,5.9048,5.8483,2.05e+14,2.05e+14,7782400
1000,5.7329,5.8171,2.16e+14,2.16e+14,8192000
1050,5.6041,5.7830,2.27e+14,2.27e+14,8601600
1100,5.8680,5.7479,2.37e+14,2.37e+14,9011200
1150,5.6381,5.7301,2.48e+14,2.48e+14,9420800
1200,5.7373,5.6978,2.59e+14,2.59e+14,9830400
1250,5.4713,5.6754,2.70e+14,2.70e+14,10240000
1300,5.6035,5.6517,2.81e+14,2.80e+14,10649600
1350,5.5780,5.6496,2.91e+14,2.91e+14,11059200
1400,5.5405,5.6175,3.02e+14,3.02e+14,11468800
1450,5.5281,5.5991,3.13e+14,3.13e+14,11878400
1500,5.6016,5.5839,3.24e+14,3.24e+14,12288000
1550,5.6360,5.5812,3.35e+14,3.34e+14,12697600
1600,5.5751,5.5548,3.45e+14,3.45e+14,13107200
1650,5.3813,5.5376,3.56e+14,3.56e+14,13516800
1700,5.5365,5.5302,3.67e+14,3.67e+14,13926400
1750,5.5109,5.5205,3.78e+14,3.78e+14,14336000
1800,5.5346,5.5103,3.88e+14,3.88e+14,14745600
1850,5.4602,5.4958,3.99e+14,3.99e+14,15155200
1900,5.4692,5.4900,4.10e+14,4.10e+14,15564800
1950,5.4159,5.4765,4.21e+14,4.21e+14,15974400
2000,5.4416,5.4616,4.32e+14,4.32e+14,16384000
2050,5.4089,5.4566,4.42e+14,4.42e+14,16793600
2100,5.4760,5.4490,4.53e+14,4.53e+14,17203200
2150,5.4471,5.4418,4.64e+14,4.64e+14,17612800
2200,5.4311,5.4388,4.75e+14,4.75e+14,18022400
2250,5.5223,5.4230,4.86e+14,4.85e+14,18432000
2300,5.3320,5.4204,4.96e+14,4.96e+14,18841600
2350,5.3575,5.4098,5.07e+14,5.07e+14,19251200
2400,5.3961,5.4007,5.18e+14,5.18e+14,19660800
2450,5.3721,5.3957,5.29e+14,5.29e+14,20070400
2500,5.4428,5.3870,5.40e+14,5.39e+14,20480000
2550,5.5277,5.3753,5.50e+14,5.50e+14,20889600
2600,5.3118,5.3702,5.61e+14,5.61e+14,21299200
2650,5.3333,5.3676,5.72e+14,5.72e+14,21708800
2700,5.3866,5.3628,5.83e+14,5.83e+14,22118400
2750,5.4638,5.3547,5.94e+14,5.93e+14,22528000
2800,5.3907,5.3557,6.04e+14,6.04e+14,22937600
2850,5.2275,5.3478,6.15e+14,6.15e+14,23347200
2900,5.2570,5.3431,6.26e+14,6.26e+14,23756800
2950,5.1806,5.3380,6.37e+14,6.36e+14,24166400
3000,5.3184,5.3369,6.47e+14,6.47e+14,24576000
3050,5.3323,5.3281,6.58e+14,6.58e+14,24985600
3100,5.3237,5.3226,6.69e+14,6.69e+14,25395200
3150,5.3352,5.3201,6.80e+14,6.80e+14,25804800
3200,5.1876,5.3119,6.91e+14,6.90e+14,26214400
3250,5.3249,5.3055,7.01e+14,7.01e+14,26624000
3300,5.2190,5.3023,7.12e+14,7.12e+14,27033600
3350,5.4215,5.3023,7.23e+14,7.23e+14,27443200
3400,5.3178,5.2952,7.34e+14,7.34e+14,27852800
3450,5.2376,5.2916,7.45e+14,7.44e+14,28262400
3500,5.2799,5.2860,7.55e+14,7.55e+14,28672000
3550,5.3660,5.2862,7.66e+14,7.66e+14,29081600
3600,5.2094,5.2827,7.77e+14,7.77e+14,29491200
3650,5.4595,5.2734,7.88e+14,7.88e+14,29900800
3700,5.1272,5.2695,7.99e+14,7.98e+14,30310400
3750,5.1885,5.2711,8.09e+14,8.09e+14,30720000
3800,5.2130,5.2689,8.20e+14,8.20e+14,31129600
3850,5.2150,5.2604,8.31e+14,8.31e+14,31539200
3900,5.3561,5.2615,8.42e+14,8.41e+14,31948800
3950,5.3089,5.2528,8.53e+14,8.52e+14,32358400
4000,5.1857,5.2510,8.63e+14,8.63e+14,32768000
