step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.0063,9.9061,3.21e+12,3.31e+12,327680
40,7.9362,7.8717,6.42e+12,6.62e+12,655360
60,7.5108,7.5333,9.63e+12,9.93e+12,983040
80,7.5127,7.5228,1.28e+13,1.32e+13,1310720
100,7.5134,7.5170,1.61e+13,1.66e+13,1638400
120,7.5276,7.5116,1.93e+13,1.99e+13,1966080
140,7.5345,7.5061,2.25e+13,2.32e+13,2293760
160,7.4660,7.5007,2.57e+13,2.65e+13,2621440
180,7.4543,7.4995,2.89e+13,2.98e+13,2949120
200,7.4798,7.4939,3.21e+13,3.31e+13,3276800
220,7.5408,7.4941,3.53e+13,3.64e+13,3604480
240,7.4685,7.4898,3.85e+13,3.97e+13,3932160
260,7.4906,7.4875,4.17e+13,4.30e+13,4259840
280,7.4662,7.4840,4.49e+13,4.64e+13,4587520
300,7.5131,7.4821,4.82e+13,4.97e+13,4915200
320,7.5018,7.4758,5.14e+13,5.30e+13,5242880
340,7.4578,7.4122,5.46e+13,5.63e+13,5570560
360,7.2554,7.2468,5.78e+13,5.96e+13,5898240
380,7.1394,7.0668,6.10e+13,6.29e+13,6225920
400,7.0113,6.9392,6.42e+13,6.62e+13,6553600
420,6.8096,6.7915,6.74e+13,6.95e+13,6881280
440,6.5847,6.6388,7.06e+13,7.28e+13,7208960
460,6.5619,6.5157,7.38e+13,7.61e+13,7536640
480,6.3877,6.4191,7.70e+13,7.95e+13,7864320
500,6.3116,6.3407,8.03e+13,8.28e+13,8192000
520,6.2675,6.2741,8.35e+13,8.61e+13,8519680
540,6.1934,6.2228,8.67e+13,8.94e+13,8847360
560,6.1698,6.1798,8.99e+13,9.27e+13,9175040
580,6.1751,6.1364,9.31e+13,9.60e+13,9502720
600,6.0738,6.0985,9.63e+13,9.93e+13,9830400
620,6.0746,6.0667,9.95e+13,1.03e+14,10158080
640,6.0655,6.0336,1.03e+14,1.06e+14,10485760
660,5.9761,6.0057,1.06e+14,1.09e+14,10813440
680,6.0223,5.9746,1.09e+14,1.13e+14,11141120
700,5.9720,5.9524,1.12e+14,1.16e+14,11468800
720,5.9108,5.9265,1.16e+14,1.19e+14,11796480
740,5.9469,5.8997,1.19e+14,1.22e+14,12124160
760,5.9669,5.8788,1.22e+14,1.26e+14,12451840
780,5.8616,5.8545,1.25e+14,1.29e+14,12779520
800,5.8644,5.8341,1.28e+14,1.32e+14,13107200
820,5.8952,5.8165,1.32e+14,1.36e+14,13434880
840,5.7992,5.7983,1.35e+14,1.39e+14,13762560
860,5.8497,5.7798,1.38e+14,1.42e+14,14090240
880,5.8441,5.7639,1.41e+14,1.46e+14,14417920
900,5.8049,5.7461,1.44e+14,1.49e+14,14745600
920,5.7544,5.7369,1.48e+14,1.52e+14,15073280
940,5.7106,5.7207,1.51e+14,1.56e+14,15400960
960,5.7056,5.7051,1.54e+14,1.59e+14,15728640
980,5.7542,5.6893,1.57e+14,1.62e+14,16056320
1000,5.6884,5.6823,1.61e+14,1.66e+14,16384000
1020,5.6227,5.6674,1.64e+14,1.69e+14,16711680
1040,5.5782,5.6557,1.67e+14,1.72e+14,17039360
1060,5.5965,5.6443,1.70e+14,1.75e+14,17367040
1080,5.6030,5.6359,1.73e+14,1.79e+14,17694720
1100,5.6359,5.6242,1.77e+14,1.82e+14,18022400
1120,5.6311,5.6149,1.80e+14,1.85e+14,18350080
1140,5.6524,5.6064,1.83e+14,1.89e+14,18677760
1160,5.6543,5.5993,1.86e+14,1.92e+14,19005440
1180,5.6141,5.5913,1.89e+14,1.95e+14,19333120
1200,5.5493,5.5836,1.93e+14,1.99e+14,19660800
1220,5.6370,5.5762,1.96e+14,2.02e+14,19988480
1240,5.6154,5.5720,1.99e+14,2.05e+14,20316160
1260,5.5611,5.5647,2.02e+14,2.09e+14,20643840
1280,5.5328,5.5588,2.05e+14,2.12e+14,20971520
1300,5.6064,5.5541,2.09e+14,2.15e+14,21299200
1320,5.5482,5.5483,2.12e+14,2.19e+14,21626880
1340,5.5250,5.5442,2.15e+14,2.22e+14,21954560
1360,5.5855,5.5390,2.18e+14,2.25e+14,22282240
1380,5.4904,5.5346,2.22e+14,2.28e+14,22609920
1400,5.5375,5.5313,2.25e+14,2.32e+14,22937600
1420,5.5223,5.5267,2.28e+14,2.35e+14,23265280
1440,5.5390,5.5235,2.31e+14,2.38e+14,23592960
1460,5.5375,5.5205,2.34e+14,2.42e+14,23920640
1480,5.4887,5.5173,2.38e+14,2.45e+14,24248320
1500,5.5317,5.5133,2.41e+14,2.48e+14,24576000
1520,5.5289,5.5109,2.44e+14,2.52e+14,24903680
1540,5.5669,5.5087,2.47e+14,2.55e+14,25231360
1560,5.5725,5.5061,2.50e+14,2.58e+14,25559040
1580,5.5500,5.5041,2.54e+14,2.62e+14,25886720
1600,5.5456,5.5016,2.57e+14,2.65e+14,26214400
1620,5.4767,5.4999,2.60e+14,2.68e+14,26542080
