step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.0263,8.8958,4.91e+12,5.01e+12,327680
40,7.7261,7.7621,9.81e+12,1.00e+13,655360
60,7.6264,7.6947,1.47e+13,1.50e+13,983040
80,7.7236,7.6577,1.96e+13,2.00e+13,1310720
100,7.5788,7.6075,2.45e+13,2.50e+13,1638400
120,7.5340,7.5679,2.94e+13,3.01e+13,1966080
140,7.4933,7.5073,3.43e+13,3.51e+13,2293760
160,7.3999,7.4126,3.93e+13,4.01e+13,2621440
180,7.3295,7.3330,4.42e+13,4.51e+13,2949120
200,7.2125,7.2163,4.91e+13,5.01e+13,3276800
220,7.0172,7.0581,5.40e+13,5.51e+13,3604480
240,6.9210,6.9350,5.89e+13,6.01e+13,3932160
260,6.8414,6.8400,6.38e+13,6.51e+13,4259840
280,6.7558,6.7569,6.87e+13,7.01e+13,4587520
300,6.5701,6.6863,7.36e+13,7.51e+13,4915200
320,6.6453,6.6254,7.85e+13,8.01e+13,5242880
340,6.5820,6.5630,8.34e+13,8.51e+13,5570560
360,6.5679,6.5095,8.83e+13,9.02e+13,5898240
380,6.4261,6.4622,9.32e+13,9.52e+13,6225920
400,6.3516,6.4176,9.81e+13,1.00e+14,6553600
420,6.3312,6.3806,1.03e+14,1.05e+14,6881280
440,6.3134,6.3391,1.08e+14,1.10e+14,7208960
460,6.3433,6.3104,1.13e+14,1.15e+14,7536640
480,6.2722,6.2756,1.18e+14,1.20e+14,7864320
