step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.0355,9.9501,4.91e+12,5.01e+12,327680
40,8.1141,8.0143,9.81e+12,1.00e+13,655360
60,7.5441,7.5394,1.47e+13,1.50e+13,983040
80,7.4717,7.5224,1.96e+13,2.00e+13,1310720
100,7.5114,7.5273,2.45e+13,2.50e+13,1638400
120,7.5082,7.5325,2.94e+13,3.01e+13,1966080
140,7.5266,7.5323,3.43e+13,3.51e+13,2293760
160,7.5424,7.5251,3.92e+13,4.01e+13,2621440
180,7.4766,7.4793,4.42e+13,4.51e+13,2949120
200,7.3228,7.3476,4.91e+13,5.01e+13,3276800
220,7.2636,7.2720,5.40e+13,5.51e+13,3604480
240,7.1681,7.1033,5.89e+13,6.01e+13,3932160
260,6.9438,6.9774,6.38e+13,6.51e+13,4259840
280,6.8704,6.8796,6.87e+13,7.01e+13,4587520
300,6.7689,6.7816,7.36e+13,7.51e+13,4915200
320,6.6724,6.6946,7.85e+13,8.01e+13,5242880
340,6.5815,6.7715,8.34e+13,8.51e+13,5570560
360,6.6000,6.5737,8.83e+13,9.02e+13,5898240
380,6.4227,6.5079,9.32e+13,9.52e+13,6225920
400,6.4707,6.4542,9.81e+13,1.00e+14,6553600
420,6.3892,6.4032,1.03e+14,1.05e+14,6881280
440,6.3806,6.3575,1.08e+14,1.10e+14,7208960
460,6.3418,6.3147,1.13e+14,1.15e+14,7536640
480,6.3010,6.2747,1.18e+14,1.20e+14,7864320
500,6.2664,6.2362,1.23e+14,1.25e+14,8192000
520,6.1902,6.2001,1.28e+14,1.30e+14,8519680
540,6.2035,6.1691,1.32e+14,1.35e+14,8847360
560,6.1557,6.1401,1.37e+14,1.40e+14,9175040
580,6.1241,6.1077,1.42e+14,1.45e+14,9502720
600,6.0680,6.0849,1.47e+14,1.50e+14,9830400
620,6.0353,6.0560,1.52e+14,1.55e+14,10158080
640,6.0161,6.0340,1.57e+14,1.60e+14,10485760
660,6.0646,6.0080,1.62e+14,1.65e+14,10813440
680,5.9347,5.9836,1.67e+14,1.70e+14,11141120
700,5.9941,5.9592,1.72e+14,1.75e+14,11468800
720,5.9117,5.9312,1.77e+14,1.80e+14,11796480
740,5.9210,5.9085,1.82e+14,1.85e+14,12124160
760,5.9076,5.8837,1.86e+14,1.90e+14,12451840
780,5.8385,5.8638,1.91e+14,1.95e+14,12779520
800,5.8153,5.8424,1.96e+14,2.00e+14,13107200
820,5.8559,5.8108,2.01e+14,2.05e+14,13434880
840,5.7831,5.7862,2.06e+14,2.10e+14,13762560
860,5.7480,5.7588,2.11e+14,2.15e+14,14090240
880,5.7882,5.7384,2.16e+14,2.20e+14,14417920
900,5.7338,5.7119,2.21e+14,2.25e+14,14745600
920,5.6706,5.7019,2.26e+14,2.30e+14,15073280
940,5.6570,5.6761,2.31e+14,2.35e+14,15400960
960,5.7083,5.6559,2.35e+14,2.40e+14,15728640
980,5.6930,5.6356,2.40e+14,2.45e+14,16056320
1000,5.6089,5.6195,2.45e+14,2.50e+14,16384000
1020,5.5515,5.6017,2.50e+14,2.55e+14,16711680
1040,5.6172,5.5754,2.55e+14,2.60e+14,17039360
1060,5.5231,5.5635,2.60e+14,2.65e+14,17367040
1080,5.6628,5.5413,2.65e+14,2.70e+14,17694720
1100,5.5188,5.5322,2.70e+14,2.75e+14,18022400
1120,5.5190,5.5147,2.75e+14,2.80e+14,18350080
1140,5.5015,5.5030,2.80e+14,2.85e+14,18677760
1160,5.5250,5.4864,2.85e+14,2.90e+14,19005440
