step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.4717,8.3278,1.61e+12,1.66e+12,163840
40,7.6053,7.6146,3.21e+12,3.31e+12,327680
60,7.6709,7.6317,4.82e+12,4.97e+12,491520
80,7.5350,7.5864,6.42e+12,6.62e+12,655360
100,7.5626,7.5603,8.03e+12,8.28e+12,819200
120,7.5326,7.5425,9.63e+12,9.93e+12,983040
140,7.4954,7.5241,1.12e+13,1.16e+13,1146880
160,7.4749,7.5283,1.28e+13,1.32e+13,1310720
180,7.5129,7.5151,1.44e+13,1.49e+13,1474560
200,7.5240,7.4792,1.61e+13,1.66e+13,1638400
220,7.3697,7.3558,1.77e+13,1.82e+13,1802240
240,7.2618,7.3116,1.93e+13,1.99e+13,1966080
260,7.3034,7.2853,2.09e+13,2.15e+13,2129920
280,7.1885,7.2654,2.25e+13,2.32e+13,2293760
300,7.2036,7.2501,2.41e+13,2.48e+13,2457600
320,7.1224,7.2241,2.57e+13,2.65e+13,2621440
340,7.0711,7.1158,2.73e+13,2.81e+13,2785280
360,7.0013,7.0671,2.89e+13,2.98e+13,2949120
380,7.0138,7.0270,3.05e+13,3.15e+13,3112960
400,7.0138,7.0078,3.21e+13,3.31e+13,3276800
420,7.0183,6.9801,3.37e+13,3.48e+13,3440640
440,6.9800,6.9558,3.53e+13,3.64e+13,3604480
460,6.8650,6.9034,3.69e+13,3.81e+13,3768320
480,6.9597,6.8695,3.85e+13,3.97e+13,3932160
500,6.8779,6.8273,4.01e+13,4.14e+13,4096000
520,6.8092,6.7822,4.17e+13,4.30e+13,4259840
540,6.7283,6.7138,4.33e+13,4.47e+13,4423680
560,6.6657,6.6648,4.49e+13,4.64e+13,4587520
580,6.5707,6.5952,4.66e+13,4.80e+13,4751360
600,6.6136,6.5315,4.82e+13,4.97e+13,4915200
620,6.4613,6.4648,4.98e+13,5.13e+13,5079040
640,6.5205,6.3975,5.14e+13,5.30e+13,5242880
660,6.3486,6.3512,5.30e+13,5.46e+13,5406720
680,6.3923,6.3180,5.46e+13,5.63e+13,5570560
700,6.3318,6.2885,5.62e+13,5.79e+13,5734400
720,6.2802,6.2590,5.78e+13,5.96e+13,5898240
740,6.2307,6.2330,5.94e+13,6.12e+13,6062080
760,6.2167,6.2056,6.10e+13,6.29e+13,6225920
780,6.1732,6.1835,6.26e+13,6.46e+13,6389760
800,6.1583,6.1650,6.42e+13,6.62e+13,6553600
820,6.0881,6.1386,6.58e+13,6.79e+13,6717440
840,6.1199,6.1188,6.74e+13,6.95e+13,6881280
860,6.0141,6.1008,6.90e+13,7.12e+13,7045120
880,6.1011,6.0862,7.06e+13,7.28e+13,7208960
900,6.1104,6.0696,7.22e+13,7.45e+13,7372800
920,6.0921,6.0517,7.38e+13,7.61e+13,7536640
940,6.0432,6.0352,7.54e+13,7.78e+13,7700480
960,5.9231,6.0192,7.70e+13,7.95e+13,7864320
980,5.9792,6.0060,7.87e+13,8.11e+13,8028160
1000,5.8757,5.9942,8.03e+13,8.28e+13,8192000
1020,5.9384,5.9819,8.19e+13,8.44e+13,8355840
1040,5.9472,5.9671,8.35e+13,8.61e+13,8519680
1060,5.9024,5.9598,8.51e+13,8.77e+13,8683520
1080,6.0099,5.9473,8.67e+13,8.94e+13,8847360
1100,5.8918,5.9368,8.83e+13,9.10e+13,9011200
1120,5.9461,5.9258,8.99e+13,9.27e+13,9175040
1140,5.9643,5.9147,9.15e+13,9.44e+13,9338880
1160,5.7768,5.9049,9.31e+13,9.60e+13,9502720
1180,5.9321,5.8964,9.47e+13,9.77e+13,9666560
1200,5.8800,5.8883,9.63e+13,9.93e+13,9830400
1220,5.8854,5.8813,9.79e+13,1.01e+14,9994240
1240,5.9050,5.8749,9.95e+13,1.03e+14,10158080
1260,5.7829,5.8664,1.01e+14,1.04e+14,10321920
1280,5.8706,5.8585,1.03e+14,1.06e+14,10485760
1300,5.7066,5.8517,1.04e+14,1.08e+14,10649600
1320,5.8035,5.8449,1.06e+14,1.09e+14,10813440
1340,5.8967,5.8411,1.08e+14,1.11e+14,10977280
1360,5.8182,5.8364,1.09e+14,1.13e+14,11141120
1380,5.8082,5.8291,1.11e+14,1.14e+14,11304960
1400,5.8346,5.8244,1.12e+14,1.16e+14,11468800
1420,5.7640,5.8197,1.14e+14,1.18e+14,11632640
1440,5.8331,5.8152,1.16e+14,1.19e+14,11796480
1460,5.8058,5.8117,1.17e+14,1.21e+14,11960320
1480,5.8450,5.8073,1.19e+14,1.22e+14,12124160
1500,5.8342,5.8032,1.20e+14,1.24e+14,12288000
1520,5.6941,5.8000,1.22e+14,1.26e+14,12451840
1540,5.7409,5.7956,1.24e+14,1.27e+14,12615680
1560,5.7276,5.7926,1.25e+14,1.29e+14,12779520
