step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.9318,8.7918,4.33e+12,4.38e+12,163840
40,7.5638,7.5652,8.66e+12,8.77e+12,327680
60,7.5147,7.4690,1.30e+13,1.32e+13,491520
80,7.3699,7.4220,1.73e+13,1.75e+13,655360
100,7.3216,7.3030,2.17e+13,2.19e+13,819200
120,7.1719,7.1763,2.60e+13,2.63e+13,983040
140,7.0617,7.0924,3.03e+13,3.07e+13,1146880
160,6.9408,7.0094,3.46e+13,3.51e+13,1310720
180,6.9356,6.9338,3.90e+13,3.95e+13,1474560
200,6.9016,6.8740,4.33e+13,4.38e+13,1638400
220,6.8191,6.7967,4.76e+13,4.82e+13,1802240
240,6.6941,6.7405,5.20e+13,5.26e+13,1966080
260,6.6827,6.6663,5.63e+13,5.70e+13,2129920
280,6.5152,6.6031,6.06e+13,6.14e+13,2293760
300,6.4945,6.5473,6.50e+13,6.58e+13,2457600
320,6.3792,6.4856,6.93e+13,7.02e+13,2621440
340,6.3640,6.4321,7.36e+13,7.45e+13,2785280
360,6.3100,6.3806,7.80e+13,7.89e+13,2949120
380,6.3273,6.3391,8.23e+13,8.33e+13,3112960
400,6.3090,6.2939,8.66e+13,8.77e+13,3276800
420,6.2700,6.2545,9.09e+13,9.21e+13,3440640
440,6.2318,6.2099,9.53e+13,9.65e+13,3604480
460,6.1519,6.1820,9.96e+13,1.01e+14,3768320
480,6.2860,6.1534,1.04e+14,1.05e+14,3932160
500,6.2135,6.1226,1.08e+14,1.10e+14,4096000
520,6.1024,6.0877,1.13e+14,1.14e+14,4259840
540,6.0650,6.0431,1.17e+14,1.18e+14,4423680
560,5.9953,6.0159,1.21e+14,1.23e+14,4587520
580,5.9339,5.9853,1.26e+14,1.27e+14,4751360
600,6.0122,5.9516,1.30e+14,1.32e+14,4915200
620,5.8952,5.9213,1.34e+14,1.36e+14,5079040
640,6.0412,5.9069,1.39e+14,1.40e+14,5242880
660,5.8608,5.8723,1.43e+14,1.45e+14,5406720
680,5.9344,5.8498,1.47e+14,1.49e+14,5570560
700,5.8492,5.8203,1.52e+14,1.53e+14,5734400
720,5.7923,5.7937,1.56e+14,1.58e+14,5898240
740,5.7816,5.7690,1.60e+14,1.62e+14,6062080
760,5.7734,5.7513,1.65e+14,1.67e+14,6225920
780,5.7156,5.7244,1.69e+14,1.71e+14,6389760
800,5.6662,5.7053,1.73e+14,1.75e+14,6553600
820,5.6017,5.6818,1.78e+14,1.80e+14,6717440
840,5.6571,5.6603,1.82e+14,1.84e+14,6881280
860,5.5191,5.6400,1.86e+14,1.89e+14,7045120
880,5.6330,5.6177,1.91e+14,1.93e+14,7208960
900,5.6559,5.6004,1.95e+14,1.97e+14,7372800
920,5.6295,5.5841,1.99e+14,2.02e+14,7536640
940,5.5836,5.5680,2.04e+14,2.06e+14,7700480
960,5.4313,5.5467,2.08e+14,2.10e+14,7864320
980,5.4788,5.5314,2.12e+14,2.15e+14,8028160
1000,5.3874,5.5140,2.17e+14,2.19e+14,8192000
1020,5.4529,5.4984,2.21e+14,2.24e+14,8355840
1040,5.4603,5.4830,2.25e+14,2.28e+14,8519680
1060,5.4068,5.4662,2.30e+14,2.32e+14,8683520
1080,5.5290,5.4547,2.34e+14,2.37e+14,8847360
1100,5.3790,5.4379,2.38e+14,2.41e+14,9011200
1120,5.4108,5.4233,2.43e+14,2.46e+14,9175040
1140,5.4375,5.4129,2.47e+14,2.50e+14,9338880
1160,5.2764,5.4046,2.51e+14,2.54e+14,9502720
1180,5.4402,5.3906,2.56e+14,2.59e+14,9666560
1200,5.3675,5.3776,2.60e+14,2.63e+14,9830400
1220,5.3453,5.3675,2.64e+14,2.67e+14,9994240
1240,5.4002,5.3566,2.69e+14,2.72e+14,10158080
1260,5.2816,5.3471,2.73e+14,2.76e+14,10321920
1280,5.3677,5.3364,2.77e+14,2.81e+14,10485760
1300,5.1446,5.3318,2.82e+14,2.85e+14,10649600
1320,5.2726,5.3199,2.86e+14,2.89e+14,10813440
1340,5.3946,5.3105,2.90e+14,2.94e+14,10977280
1360,5.2854,5.3017,2.94e+14,2.98e+14,11141120
1380,5.2728,5.2954,2.99e+14,3.03e+14,11304960
1400,5.3132,5.2903,3.03e+14,3.07e+14,11468800
1420,5.2417,5.2815,3.07e+14,3.11e+14,11632640
1440,5.2666,5.2760,3.12e+14,3.16e+14,11796480
1460,5.2650,5.2716,3.16e+14,3.20e+14,11960320
1480,5.2744,5.2635,3.20e+14,3.24e+14,12124160
1500,5.2727,5.2584,3.25e+14,3.29e+14,12288000
1520,5.1486,5.2544,3.29e+14,3.33e+14,12451840
1540,5.1973,5.2498,3.33e+14,3.38e+14,12615680
1560,5.1627,5.2462,3.38e+14,3.42e+14,12779520
