step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.6024,9.5258,3.63e+13,3.62e+13,409600
100,8.8002,8.7782,7.25e+13,7.25e+13,819200
150,8.2908,8.3315,1.09e+14,1.09e+14,1228800
200,7.9551,8.0722,1.45e+14,1.45e+14,1638400
250,7.9534,7.9239,1.81e+14,1.81e+14,2048000
300,7.9221,7.8285,2.18e+14,2.17e+14,2457600
350,7.7867,7.7701,2.54e+14,2.54e+14,2867200
400,7.7350,7.7287,2.90e+14,2.90e+14,3276800
450,7.6060,7.6620,3.26e+14,3.26e+14,3686400
500,7.5027,7.5837,3.63e+14,3.62e+14,4096000
550,7.6032,7.5226,3.99e+14,3.99e+14,4505600
600,7.5047,7.4455,4.35e+14,4.35e+14,4915200
650,7.3869,7.3692,4.71e+14,4.71e+14,5324800
700,7.3403,7.3098,5.08e+14,5.07e+14,5734400
750,7.2675,7.2212,5.44e+14,5.43e+14,6144000
800,7.1128,7.1272,5.80e+14,5.80e+14,6553600
850,7.0553,7.0449,6.16e+14,6.16e+14,6963200
900,6.9368,6.9836,6.53e+14,6.52e+14,7372800
950,6.8993,6.9203,6.89e+14,6.88e+14,7782400
1000,6.8009,6.8353,7.25e+14,7.25e+14,8192000
1050,7.0003,6.7897,7.61e+14,7.61e+14,8601600
1100,6.7775,6.7424,7.98e+14,7.97e+14,9011200
1150,6.6613,6.6855,8.34e+14,8.33e+14,9420800
1200,6.6840,6.6424,8.70e+14,8.69e+14,9830400
1250,6.6199,6.5939,9.06e+14,9.06e+14,10240000
1300,6.4918,6.5454,9.43e+14,9.42e+14,10649600
1350,6.3016,6.5043,9.79e+14,9.78e+14,11059200
1400,6.4319,6.4509,1.02e+15,1.01e+15,11468800
1450,6.2937,6.4143,1.05e+15,1.05e+15,11878400
1500,6.2059,6.3642,1.09e+15,1.09e+15,12288000
1550,6.4140,6.3357,1.12e+15,1.12e+15,12697600
1600,6.4340,6.2989,1.16e+15,1.16e+15,13107200
1650,6.3006,6.2663,1.20e+15,1.20e+15,13516800
1700,6.2861,6.2229,1.23e+15,1.23e+15,13926400
1750,6.1648,6.1944,1.27e+15,1.27e+15,14336000
1800,6.2874,6.1540,1.31e+15,1.30e+15,14745600
1850,6.1846,6.1392,1.34e+15,1.34e+15,15155200
1900,6.0693,6.1035,1.38e+15,1.38e+15,15564800
1950,6.0719,6.0692,1.41e+15,1.41e+15,15974400
2000,5.9217,6.0394,1.45e+15,1.45e+15,16384000
2050,6.1299,6.0239,1.49e+15,1.49e+15,16793600
2100,5.9806,5.9904,1.52e+15,1.52e+15,17203200
2150,5.9615,5.9651,1.56e+15,1.56e+15,17612800
2200,6.1010,5.9581,1.60e+15,1.59e+15,18022400
2250,5.9721,5.9357,1.63e+15,1.63e+15,18432000
2300,5.9688,5.9031,1.67e+15,1.67e+15,18841600
2350,5.9241,5.8866,1.70e+15,1.70e+15,19251200
2400,5.6761,5.8716,1.74e+15,1.74e+15,19660800
2450,5.8633,5.8475,1.78e+15,1.78e+15,20070400
2500,5.7504,5.8322,1.81e+15,1.81e+15,20480000
2550,5.7175,5.8109,1.85e+15,1.85e+15,20889600
2600,5.7564,5.7948,1.89e+15,1.88e+15,21299200
2650,5.8720,5.7751,1.92e+15,1.92e+15,21708800
2700,5.9796,5.7635,1.96e+15,1.96e+15,22118400
2750,5.7215,5.7411,1.99e+15,1.99e+15,22528000
2800,5.6874,5.7239,2.03e+15,2.03e+15,22937600
2850,5.7249,5.7189,2.07e+15,2.07e+15,23347200
2900,5.8523,5.6974,2.10e+15,2.10e+15,23756800
2950,5.5829,5.6807,2.14e+15,2.14e+15,24166400
3000,5.5787,5.6692,2.18e+15,2.17e+15,24576000
3050,5.5119,5.6476,2.21e+15,2.21e+15,24985600
3100,5.4993,5.6370,2.25e+15,2.25e+15,25395200
3150,5.5423,5.6260,2.28e+15,2.28e+15,25804800
3200,5.5744,5.6125,2.32e+15,2.32e+15,26214400
3250,5.6302,5.5989,2.36e+15,2.35e+15,26624000
3300,5.6898,5.5973,2.39e+15,2.39e+15,27033600
3350,5.5470,5.5899,2.43e+15,2.43e+15,27443200
3400,5.6707,5.5732,2.47e+15,2.46e+15,27852800
3450,5.5380,5.5567,2.50e+15,2.50e+15,28262400
3500,5.6192,5.5472,2.54e+15,2.54e+15,28672000
3550,5.5379,5.5340,2.57e+15,2.57e+15,29081600
3600,5.5706,5.5272,2.61e+15,2.61e+15,29491200
3650,5.4372,5.5120,2.65e+15,2.64e+15,29900800
3700,5.5436,5.5086,2.68e+15,2.68e+15,30310400
