step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,8.0563,8.2072,2.45e+14,2.45e+14,1638400
400,7.8909,7.8112,4.91e+14,4.90e+14,3276800
600,7.7603,7.7408,7.36e+14,7.35e+14,4915200
800,7.4949,7.6704,9.81e+14,9.80e+14,6553600
1000,7.3287,7.4861,1.23e+15,1.23e+15,8192000
1200,7.4058,7.4033,1.47e+15,1.47e+15,9830400
1400,7.3162,7.3425,1.72e+15,1.72e+15,11468800
1600,7.3838,7.2725,1.96e+15,1.96e+15,13107200
1800,7.0922,7.1800,2.21e+15,2.21e+15,14745600
2000,7.1566,7.1180,2.45e+15,2.45e+15,16384000
2200,7.1036,7.0755,2.70e+15,2.70e+15,18022400
2400,7.0222,7.0440,2.94e+15,2.94e+15,19660800
