step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.5548,9.5308,8.55e+12,8.68e+12,409600
100,7.7432,7.7021,1.71e+13,1.74e+13,819200
150,7.3067,7.2749,2.57e+13,2.61e+13,1228800
200,6.8214,6.9126,3.42e+13,3.47e+13,1638400
250,6.6073,6.6689,4.28e+13,4.34e+13,2048000
300,6.4074,6.4960,5.13e+13,5.21e+13,2457600
350,6.4960,6.3813,5.99e+13,6.08e+13,2867200
400,6.3018,6.2820,6.84e+13,6.95e+13,3276800
450,6.1870,6.2058,7.70e+13,7.82e+13,3686400
500,6.0686,6.1484,8.55e+13,8.68e+13,4096000
550,6.0088,6.0837,9.41e+13,9.55e+13,4505600
600,5.9711,6.0368,1.03e+14,1.04e+14,4915200
650,6.0253,5.9904,1.11e+14,1.13e+14,5324800
700,5.9648,5.9551,1.20e+14,1.22e+14,5734400
750,5.9062,5.9211,1.28e+14,1.30e+14,6144000
800,5.7984,5.9024,1.37e+14,1.39e+14,6553600
850,5.8416,5.8573,1.45e+14,1.48e+14,6963200
900,5.8587,5.8222,1.54e+14,1.56e+14,7372800
950,5.7520,5.7906,1.62e+14,1.65e+14,7782400
1000,5.6429,5.7596,1.71e+14,1.74e+14,8192000
1050,5.8057,5.7429,1.80e+14,1.82e+14,8601600
1100,5.6092,5.7170,1.88e+14,1.91e+14,9011200
1150,5.6288,5.6986,1.97e+14,2.00e+14,9420800
1200,5.7494,5.6836,2.05e+14,2.08e+14,9830400
1250,5.6318,5.6612,2.14e+14,2.17e+14,10240000
1300,5.5983,5.6507,2.22e+14,2.26e+14,10649600
1350,5.5457,5.6346,2.31e+14,2.34e+14,11059200
1400,5.7022,5.6258,2.39e+14,2.43e+14,11468800
1450,5.4787,5.6114,2.48e+14,2.52e+14,11878400
1500,5.4276,5.6069,2.57e+14,2.61e+14,12288000
1550,5.4741,5.5912,2.65e+14,2.69e+14,12697600
1600,5.4634,5.5807,2.74e+14,2.78e+14,13107200
1650,5.6167,5.5664,2.82e+14,2.87e+14,13516800
1700,5.5973,5.5594,2.91e+14,2.95e+14,13926400
1750,5.3905,5.5540,2.99e+14,3.04e+14,14336000
1800,5.6218,5.5421,3.08e+14,3.13e+14,14745600
1850,5.4057,5.5377,3.16e+14,3.21e+14,15155200
1900,5.5230,5.5168,3.25e+14,3.30e+14,15564800
1950,5.5354,5.5141,3.34e+14,3.39e+14,15974400
2000,5.3128,5.5049,3.42e+14,3.47e+14,16384000
2050,5.5472,5.4942,3.51e+14,3.56e+14,16793600
2100,5.4729,5.4951,3.59e+14,3.65e+14,17203200
2150,5.4152,5.4797,3.68e+14,3.73e+14,17612800
2200,5.4385,5.4772,3.76e+14,3.82e+14,18022400
2250,5.4514,5.4728,3.85e+14,3.91e+14,18432000
2300,5.3799,5.4649,3.93e+14,3.99e+14,18841600
2350,5.3936,5.4588,4.02e+14,4.08e+14,19251200
2400,5.3862,5.4476,4.10e+14,4.17e+14,19660800
2450,5.4555,5.4473,4.19e+14,4.25e+14,20070400
2500,5.3018,5.4391,4.28e+14,4.34e+14,20480000
2550,5.3719,5.4357,4.36e+14,4.43e+14,20889600
2600,5.2236,5.4295,4.45e+14,4.52e+14,21299200
2650,5.3167,5.4282,4.53e+14,4.60e+14,21708800
2700,5.2927,5.4231,4.62e+14,4.69e+14,22118400
2750,5.4305,5.4182,4.70e+14,4.78e+14,22528000
2800,5.3893,5.4119,4.79e+14,4.86e+14,22937600
2850,5.3145,5.4111,4.87e+14,4.95e+14,23347200
2900,5.3425,5.4024,4.96e+14,5.04e+14,23756800
2950,5.2444,5.3975,5.05e+14,5.12e+14,24166400
3000,5.3775,5.3899,5.13e+14,5.21e+14,24576000
3050,5.3541,5.3879,5.22e+14,5.30e+14,24985600
3100,5.3472,5.3831,5.30e+14,5.38e+14,25395200
3150,5.2457,5.3782,5.39e+14,5.47e+14,25804800
3200,5.4525,5.3825,5.47e+14,5.56e+14,26214400
3250,5.2899,5.3706,5.56e+14,5.64e+14,26624000
3300,5.3319,5.3678,5.64e+14,5.73e+14,27033600
3350,5.2357,5.3629,5.73e+14,5.82e+14,27443200
3400,5.3043,5.3565,5.82e+14,5.90e+14,27852800
3450,5.3162,5.3567,5.90e+14,5.99e+14,28262400
3500,5.3128,5.3501,5.99e+14,6.08e+14,28672000
3550,5.4352,5.3449,6.07e+14,6.17e+14,29081600
3600,5.3093,5.3422,6.16e+14,6.25e+14,29491200
3650,5.1506,5.3370,6.24e+14,6.34e+14,29900800
3700,5.3231,5.3352,6.33e+14,6.43e+14,30310400
3750,5.3494,5.3335,6.41e+14,6.51e+14,30720000
3800,5.3793,5.3301,6.50e+14,6.60e+14,31129600
3850,5.2179,5.3231,6.58e+14,6.69e+14,31539200
3900,5.3740,5.3198,6.67e+14,6.77e+14,31948800
3950,5.1981,5.3170,6.76e+14,6.86e+14,32358400
4000,5.3329,5.3125,6.84e+14,6.95e+14,32768000
4050,5.3936,5.3076,6.93e+14,7.03e+14,33177600
4100,5.2750,5.3066,7.01e+14,7.12e+14,33587200
4150,5.1942,5.3051,7.10e+14,7.21e+14,33996800
4200,5.3370,5.2976,7.18e+14,7.29e+14,34406400
4250,5.1280,5.2944,7.27e+14,7.38e+14,34816000
4300,5.2528,5.2893,7.35e+14,7.47e+14,35225600
4350,5.3667,5.2884,7.44e+14,7.55e+14,35635200
4400,5.1771,5.2853,7.53e+14,7.64e+14,36044800
4450,5.2351,5.2811,7.61e+14,7.73e+14,36454400
4500,5.2970,5.2781,7.70e+14,7.82e+14,36864000
4550,5.1003,5.2751,7.78e+14,7.90e+14,37273600
4600,5.2841,5.2722,7.87e+14,7.99e+14,37683200
4650,5.1555,5.2684,7.95e+14,8.08e+14,38092800
4700,5.1274,5.2628,8.04e+14,8.16e+14,38502400
4750,5.1605,5.2616,8.12e+14,8.25e+14,38912000
4800,5.1919,5.2598,8.21e+14,8.34e+14,39321600
4850,5.2628,5.2534,8.30e+14,8.42e+14,39731200
4900,5.2664,5.2530,8.38e+14,8.51e+14,40140800
4950,5.1048,5.2530,8.47e+14,8.60e+14,40550400
5000,5.2552,5.2461,8.55e+14,8.68e+14,40960000
5050,5.1433,5.2475,8.64e+14,8.77e+14,41369600
5100,5.1392,5.2404,8.72e+14,8.86e+14,41779200
5150,5.2688,5.2440,8.81e+14,8.94e+14,42188800
5200,5.1859,5.2363,8.89e+14,9.03e+14,42598400
5250,5.2386,5.2352,8.98e+14,9.12e+14,43008000
5300,5.2463,5.2336,9.06e+14,9.20e+14,43417600
5350,5.3218,5.2268,9.15e+14,9.29e+14,43827200
5400,5.2615,5.2244,9.24e+14,9.38e+14,44236800
5450,5.1823,5.2256,9.32e+14,9.47e+14,44646400
5500,5.1726,5.2218,9.41e+14,9.55e+14,45056000
5550,5.1700,5.2187,9.49e+14,9.64e+14,45465600
5600,5.1372,5.2166,9.58e+14,9.73e+14,45875200
5650,5.0997,5.2127,9.66e+14,9.81e+14,46284800
5700,5.0710,5.2132,9.75e+14,9.90e+14,46694400
5750,5.1555,5.2094,9.83e+14,9.99e+14,47104000
5800,5.2457,5.2055,9.92e+14,1.01e+15,47513600
5850,5.0528,5.2052,1.00e+15,1.02e+15,47923200
5900,5.1539,5.2017,1.01e+15,1.02e+15,48332800
5950,5.1036,5.2015,1.02e+15,1.03e+15,48742400
6000,5.2238,5.1975,1.03e+15,1.04e+15,49152000
6050,5.1719,5.1953,1.03e+15,1.05e+15,49561600
6100,5.1123,5.1922,1.04e+15,1.06e+15,49971200
6150,5.0964,5.1895,1.05e+15,1.07e+15,50380800
6200,5.0908,5.1907,1.06e+15,1.08e+15,50790400
6250,5.0897,5.1882,1.07e+15,1.09e+15,51200000
6300,5.1791,5.1845,1.08e+15,1.09e+15,51609600
6350,5.0239,5.1851,1.09e+15,1.10e+15,52019200
