step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.4998,10.4718,8.39e+12,8.54e+12,409600
100,9.1373,9.1449,1.68e+13,1.71e+13,819200
150,8.0566,7.9071,2.52e+13,2.56e+13,1228800
200,7.7221,7.6657,3.36e+13,3.42e+13,1638400
250,7.7059,7.6150,4.19e+13,4.27e+13,2048000
300,7.4510,7.4206,5.03e+13,5.12e+13,2457600
350,7.1846,7.1324,5.87e+13,5.98e+13,2867200
400,6.8799,6.8773,6.71e+13,6.83e+13,3276800
450,6.7491,6.7155,7.55e+13,7.69e+13,3686400
500,6.7149,6.6032,8.39e+13,8.54e+13,4096000
550,6.4211,6.5079,9.23e+13,9.39e+13,4505600
600,6.4814,6.4214,1.01e+14,1.02e+14,4915200
650,6.4057,6.3385,1.09e+14,1.11e+14,5324800
700,6.2172,6.2594,1.17e+14,1.20e+14,5734400
750,6.1995,6.1983,1.26e+14,1.28e+14,6144000
800,6.2515,6.1224,1.34e+14,1.37e+14,6553600
850,6.0512,6.0634,1.43e+14,1.45e+14,6963200
900,6.0281,6.0010,1.51e+14,1.54e+14,7372800
950,5.9838,5.9661,1.59e+14,1.62e+14,7782400
1000,5.7561,5.9098,1.68e+14,1.71e+14,8192000
1050,5.7708,5.8816,1.76e+14,1.79e+14,8601600
1100,5.7922,5.8516,1.85e+14,1.88e+14,9011200
1150,5.8838,5.8303,1.93e+14,1.96e+14,9420800
1200,5.8066,5.7953,2.01e+14,2.05e+14,9830400
1250,5.6793,5.7753,2.10e+14,2.14e+14,10240000
1300,5.8455,5.7470,2.18e+14,2.22e+14,10649600
1350,5.6815,5.7284,2.26e+14,2.31e+14,11059200
1400,5.6835,5.7104,2.35e+14,2.39e+14,11468800
1450,5.6534,5.6891,2.43e+14,2.48e+14,11878400
1500,5.6603,5.6730,2.52e+14,2.56e+14,12288000
1550,5.6854,5.6518,2.60e+14,2.65e+14,12697600
1600,5.7579,5.6397,2.68e+14,2.73e+14,13107200
1650,5.6971,5.6334,2.77e+14,2.82e+14,13516800
1700,5.6319,5.6158,2.85e+14,2.90e+14,13926400
1750,5.6146,5.6051,2.94e+14,2.99e+14,14336000
1800,5.6359,5.5970,3.02e+14,3.07e+14,14745600
1850,5.4708,5.5857,3.10e+14,3.16e+14,15155200
1900,5.5534,5.5701,3.19e+14,3.25e+14,15564800
1950,5.5863,5.5667,3.27e+14,3.33e+14,15974400
2000,5.6926,5.5547,3.36e+14,3.42e+14,16384000
2050,5.5736,5.5440,3.44e+14,3.50e+14,16793600
2100,5.5159,5.5397,3.52e+14,3.59e+14,17203200
2150,5.4226,5.5310,3.61e+14,3.67e+14,17612800
2200,5.5242,5.5223,3.69e+14,3.76e+14,18022400
2250,5.4464,5.5143,3.77e+14,3.84e+14,18432000
2300,5.5510,5.5119,3.86e+14,3.93e+14,18841600
2350,5.5152,5.4989,3.94e+14,4.01e+14,19251200
2400,5.4935,5.4939,4.03e+14,4.10e+14,19660800
2450,5.6325,5.4849,4.11e+14,4.18e+14,20070400
2500,5.5870,5.4830,4.19e+14,4.27e+14,20480000
2550,5.4869,5.4760,4.28e+14,4.36e+14,20889600
2600,5.4565,5.4702,4.36e+14,4.44e+14,21299200
2650,5.6167,5.4669,4.45e+14,4.53e+14,21708800
2700,5.3829,5.4589,4.53e+14,4.61e+14,22118400
2750,5.3334,5.4554,4.61e+14,4.70e+14,22528000
2800,5.4117,5.4433,4.70e+14,4.78e+14,22937600
2850,5.4839,5.4418,4.78e+14,4.87e+14,23347200
2900,5.4204,5.4377,4.87e+14,4.95e+14,23756800
2950,5.3820,5.4319,4.95e+14,5.04e+14,24166400
3000,5.5296,5.4263,5.03e+14,5.12e+14,24576000
3050,5.4130,5.4227,5.12e+14,5.21e+14,24985600
3100,5.4302,5.4201,5.20e+14,5.29e+14,25395200
3150,5.4614,5.4080,5.28e+14,5.38e+14,25804800
3200,5.3436,5.4080,5.37e+14,5.47e+14,26214400
3250,5.3929,5.4056,5.45e+14,5.55e+14,26624000
3300,5.3753,5.3986,5.54e+14,5.64e+14,27033600
3350,5.3968,5.3964,5.62e+14,5.72e+14,27443200
3400,5.4985,5.3908,5.70e+14,5.81e+14,27852800
3450,5.3512,5.3879,5.79e+14,5.89e+14,28262400
3500,5.4050,5.3799,5.87e+14,5.98e+14,28672000
3550,5.3271,5.3769,5.96e+14,6.06e+14,29081600
3600,5.5262,5.3799,6.04e+14,6.15e+14,29491200
3650,5.3868,5.3753,6.12e+14,6.23e+14,29900800
3700,5.2091,5.3705,6.21e+14,6.32e+14,30310400
3750,5.3073,5.3632,6.29e+14,6.41e+14,30720000
3800,5.3026,5.3610,6.38e+14,6.49e+14,31129600
3850,5.3324,5.3565,6.46e+14,6.58e+14,31539200
3900,5.2675,5.3518,6.54e+14,6.66e+14,31948800
3950,5.2576,5.3523,6.63e+14,6.75e+14,32358400
4000,5.4404,5.3469,6.71e+14,6.83e+14,32768000
4050,5.3788,5.3465,6.79e+14,6.92e+14,33177600
4100,5.2670,5.3432,6.88e+14,7.00e+14,33587200
4150,5.2165,5.3364,6.96e+14,7.09e+14,33996800
4200,5.3840,5.3332,7.05e+14,7.17e+14,34406400
4250,5.1687,5.3303,7.13e+14,7.26e+14,34816000
4300,5.2649,5.3268,7.21e+14,7.34e+14,35225600
4350,5.2609,5.3278,7.30e+14,7.43e+14,35635200
4400,5.3442,5.3230,7.38e+14,7.52e+14,36044800
4450,5.2146,5.3206,7.47e+14,7.60e+14,36454400
4500,5.2600,5.3168,7.55e+14,7.69e+14,36864000
4550,5.3474,5.3145,7.63e+14,7.77e+14,37273600
4600,5.2084,5.3098,7.72e+14,7.86e+14,37683200
4650,5.3149,5.3110,7.80e+14,7.94e+14,38092800
4700,5.3078,5.3082,7.89e+14,8.03e+14,38502400
4750,5.3597,5.3054,7.97e+14,8.11e+14,38912000
4800,5.2550,5.3003,8.05e+14,8.20e+14,39321600
4850,5.3021,5.2980,8.14e+14,8.28e+14,39731200
4900,5.3521,5.2962,8.22e+14,8.37e+14,40140800
4950,5.1547,5.2918,8.30e+14,8.45e+14,40550400
5000,5.3267,5.2894,8.39e+14,8.54e+14,40960000
5050,5.2114,5.2867,8.47e+14,8.63e+14,41369600
5100,5.1478,5.2841,8.56e+14,8.71e+14,41779200
5150,5.3609,5.2804,8.64e+14,8.80e+14,42188800
5200,5.2208,5.2782,8.72e+14,8.88e+14,42598400
5250,5.2072,5.2783,8.81e+14,8.97e+14,43008000
5300,5.1990,5.2730,8.89e+14,9.05e+14,43417600
5350,5.1098,5.2734,8.98e+14,9.14e+14,43827200
5400,5.2378,5.2684,9.06e+14,9.22e+14,44236800
5450,5.1897,5.2659,9.14e+14,9.31e+14,44646400
5500,5.3425,5.2656,9.23e+14,9.39e+14,45056000
5550,5.1811,5.2624,9.31e+14,9.48e+14,45465600
5600,5.1878,5.2585,9.40e+14,9.56e+14,45875200
5650,5.3099,5.2591,9.48e+14,9.65e+14,46284800
5700,5.1808,5.2573,9.56e+14,9.74e+14,46694400
5750,5.3458,5.2530,9.65e+14,9.82e+14,47104000
5800,5.2084,5.2502,9.73e+14,9.91e+14,47513600
5850,5.0870,5.2501,9.81e+14,9.99e+14,47923200
5900,5.1975,5.2479,9.90e+14,1.01e+15,48332800
5950,5.1633,5.2451,9.98e+14,1.02e+15,48742400
6000,5.3319,5.2420,1.01e+15,1.02e+15,49152000
6050,5.2474,5.2448,1.01e+15,1.03e+15,49561600
6100,5.1839,5.2395,1.02e+15,1.04e+15,49971200
6150,5.2379,5.2398,1.03e+15,1.05e+15,50380800
6200,5.1486,5.2328,1.04e+15,1.06e+15,50790400
6250,5.2673,5.2319,1.05e+15,1.07e+15,51200000
6300,5.2175,5.2303,1.06e+15,1.08e+15,51609600
6350,5.2868,5.2295,1.07e+15,1.08e+15,52019200
6400,5.2408,5.2262,1.07e+15,1.09e+15,52428800
6450,5.0846,5.2249,1.08e+15,1.10e+15,52838400
6500,5.2283,5.2221,1.09e+15,1.11e+15,53248000
6550,5.1455,5.2215,1.10e+15,1.12e+15,53657600
6600,5.1882,5.2187,1.11e+15,1.13e+15,54067200
6650,5.2048,5.2171,1.12e+15,1.14e+15,54476800
6700,5.2399,5.2150,1.12e+15,1.14e+15,54886400
6750,5.1712,5.2137,1.13e+15,1.15e+15,55296000
6800,5.1755,5.2115,1.14e+15,1.16e+15,55705600
6850,5.3494,5.2106,1.15e+15,1.17e+15,56115200
6900,5.1985,5.2084,1.16e+15,1.18e+15,56524800
6950,5.2514,5.2081,1.17e+15,1.19e+15,56934400
7000,5.1677,5.2061,1.17e+15,1.20e+15,57344000
7050,5.1033,5.2050,1.18e+15,1.20e+15,57753600
7100,5.2119,5.2029,1.19e+15,1.21e+15,58163200
7150,5.1649,5.2027,1.20e+15,1.22e+15,58572800
7200,5.3042,5.2003,1.21e+15,1.23e+15,58982400
7250,5.3546,5.1988,1.22e+15,1.24e+15,59392000
7300,5.2410,5.1977,1.22e+15,1.25e+15,59801600
7350,5.1905,5.1970,1.23e+15,1.26e+15,60211200
7400,5.0375,5.1958,1.24e+15,1.26e+15,60620800
7450,5.2010,5.1951,1.25e+15,1.27e+15,61030400
7500,5.1808,5.1947,1.26e+15,1.28e+15,61440000
