step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.6905,9.6681,8.55e+12,8.55e+12,409600
100,7.7522,7.7213,1.71e+13,1.71e+13,819200
150,7.3307,7.2983,2.57e+13,2.57e+13,1228800
200,6.8623,6.9341,3.42e+13,3.42e+13,1638400
250,6.6261,6.6852,4.28e+13,4.28e+13,2048000
300,6.4226,6.5152,5.13e+13,5.13e+13,2457600
350,6.4870,6.4030,5.99e+13,5.99e+13,2867200
400,6.3220,6.3067,6.84e+13,6.84e+13,3276800
450,6.2000,6.2253,7.70e+13,7.70e+13,3686400
500,6.0862,6.1697,8.55e+13,8.55e+13,4096000
550,6.0383,6.1069,9.41e+13,9.41e+13,4505600
600,5.9984,6.0567,1.03e+14,1.03e+14,4915200
650,6.0329,6.0070,1.11e+14,1.11e+14,5324800
700,5.9685,5.9685,1.20e+14,1.20e+14,5734400
750,5.9519,5.9514,1.28e+14,1.28e+14,6144000
800,5.8144,5.9141,1.37e+14,1.37e+14,6553600
850,5.8714,5.8768,1.45e+14,1.45e+14,6963200
900,5.8713,5.8446,1.54e+14,1.54e+14,7372800
950,5.7767,5.8099,1.63e+14,1.62e+14,7782400
1000,5.6709,5.7782,1.71e+14,1.71e+14,8192000
1050,5.8100,5.7637,1.80e+14,1.80e+14,8601600
1100,5.6316,5.7403,1.88e+14,1.88e+14,9011200
1150,5.6420,5.7217,1.97e+14,1.97e+14,9420800
1200,5.7540,5.7019,2.05e+14,2.05e+14,9830400
1250,5.6646,5.6832,2.14e+14,2.14e+14,10240000
1300,5.6190,5.6680,2.22e+14,2.22e+14,10649600
1350,5.5651,5.6588,2.31e+14,2.31e+14,11059200
1400,5.7255,5.6492,2.39e+14,2.39e+14,11468800
1450,5.5030,5.6333,2.48e+14,2.48e+14,11878400
1500,5.4613,5.6211,2.57e+14,2.57e+14,12288000
1550,5.4942,5.6098,2.65e+14,2.65e+14,12697600
1600,5.4764,5.6060,2.74e+14,2.74e+14,13107200
1650,5.6202,5.5894,2.82e+14,2.82e+14,13516800
1700,5.6133,5.5775,2.91e+14,2.91e+14,13926400
1750,5.4196,5.5725,2.99e+14,2.99e+14,14336000
1800,5.6357,5.5634,3.08e+14,3.08e+14,14745600
1850,5.4300,5.5531,3.16e+14,3.16e+14,15155200
1900,5.5455,5.5371,3.25e+14,3.25e+14,15564800
1950,5.5672,5.5348,3.34e+14,3.33e+14,15974400
2000,5.3369,5.5252,3.42e+14,3.42e+14,16384000
2050,5.5795,5.5235,3.51e+14,3.51e+14,16793600
2100,5.5074,5.5108,3.59e+14,3.59e+14,17203200
2150,5.4281,5.4998,3.68e+14,3.68e+14,17612800
2200,5.4311,5.5044,3.76e+14,3.76e+14,18022400
2250,5.4788,5.4945,3.85e+14,3.85e+14,18432000
2300,5.4033,5.4898,3.93e+14,3.93e+14,18841600
2350,5.4203,5.4776,4.02e+14,4.02e+14,19251200
2400,5.4134,5.4716,4.11e+14,4.10e+14,19660800
2450,5.4817,5.4667,4.19e+14,4.19e+14,20070400
2500,5.3209,5.4605,4.28e+14,4.28e+14,20480000
2550,5.3809,5.4599,4.36e+14,4.36e+14,20889600
2600,5.2477,5.4537,4.45e+14,4.45e+14,21299200
2650,5.3366,5.4508,4.53e+14,4.53e+14,21708800
2700,5.3327,5.4442,4.62e+14,4.62e+14,22118400
2750,5.4422,5.4420,4.70e+14,4.70e+14,22528000
2800,5.4033,5.4359,4.79e+14,4.79e+14,22937600
2850,5.3412,5.4276,4.88e+14,4.87e+14,23347200
2900,5.3884,5.4264,4.96e+14,4.96e+14,23756800
2950,5.2690,5.4234,5.05e+14,5.04e+14,24166400
3000,5.4209,5.4155,5.13e+14,5.13e+14,24576000
3050,5.3766,5.4108,5.22e+14,5.22e+14,24985600
3100,5.3820,5.4078,5.30e+14,5.30e+14,25395200
3150,5.2650,5.4046,5.39e+14,5.39e+14,25804800
3200,5.4803,5.4048,5.47e+14,5.47e+14,26214400
3250,5.3098,5.3980,5.56e+14,5.56e+14,26624000
3300,5.3622,5.3894,5.65e+14,5.64e+14,27033600
3350,5.2699,5.3935,5.73e+14,5.73e+14,27443200
3400,5.3366,5.3815,5.82e+14,5.81e+14,27852800
3450,5.3440,5.3816,5.90e+14,5.90e+14,28262400
3500,5.3314,5.3773,5.99e+14,5.99e+14,28672000
3550,5.4627,5.3699,6.07e+14,6.07e+14,29081600
3600,5.3432,5.3713,6.16e+14,6.16e+14,29491200
3650,5.1854,5.3614,6.24e+14,6.24e+14,29900800
3700,5.3446,5.3582,6.33e+14,6.33e+14,30310400
3750,5.3710,5.3576,6.42e+14,6.41e+14,30720000
3800,5.3955,5.3542,6.50e+14,6.50e+14,31129600
3850,5.2387,5.3470,6.59e+14,6.58e+14,31539200
3900,5.3839,5.3403,6.67e+14,6.67e+14,31948800
3950,5.2341,5.3417,6.76e+14,6.75e+14,32358400
4000,5.3569,5.3372,6.84e+14,6.84e+14,32768000
4050,5.4292,5.3338,6.93e+14,6.93e+14,33177600
4100,5.3051,5.3301,7.01e+14,7.01e+14,33587200
4150,5.2197,5.3269,7.10e+14,7.10e+14,33996800
4200,5.3604,5.3211,7.18e+14,7.18e+14,34406400
4250,5.1403,5.3166,7.27e+14,7.27e+14,34816000
4300,5.2630,5.3135,7.36e+14,7.35e+14,35225600
4350,5.3753,5.3113,7.44e+14,7.44e+14,35635200
4400,5.1903,5.3033,7.53e+14,7.52e+14,36044800
4450,5.2583,5.3049,7.61e+14,7.61e+14,36454400
4500,5.3294,5.2990,7.70e+14,7.70e+14,36864000
4550,5.1200,5.2951,7.78e+14,7.78e+14,37273600
4600,5.3007,5.2925,7.87e+14,7.87e+14,37683200
4650,5.1603,5.2843,7.95e+14,7.95e+14,38092800
4700,5.1575,5.2824,8.04e+14,8.04e+14,38502400
4750,5.1845,5.2802,8.13e+14,8.12e+14,38912000
4800,5.2171,5.2803,8.21e+14,8.21e+14,39321600
4850,5.2704,5.2739,8.30e+14,8.29e+14,39731200
4900,5.2629,5.2732,8.38e+14,8.38e+14,40140800
4950,5.1110,5.2715,8.47e+14,8.47e+14,40550400
5000,5.2799,5.2660,8.55e+14,8.55e+14,40960000
5050,5.1526,5.2651,8.64e+14,8.64e+14,41369600
5100,5.1598,5.2602,8.72e+14,8.72e+14,41779200
5150,5.2994,5.2574,8.81e+14,8.81e+14,42188800
5200,5.1766,5.2516,8.90e+14,8.89e+14,42598400
5250,5.2561,5.2540,8.98e+14,8.98e+14,43008000
5300,5.2452,5.2468,9.07e+14,9.06e+14,43417600
5350,5.3325,5.2431,9.15e+14,9.15e+14,43827200
5400,5.2815,5.2408,9.24e+14,9.23e+14,44236800
5450,5.1947,5.2400,9.32e+14,9.32e+14,44646400
5500,5.2077,5.2365,9.41e+14,9.41e+14,45056000
5550,5.1839,5.2340,9.49e+14,9.49e+14,45465600
5600,5.1415,5.2287,9.58e+14,9.58e+14,45875200
5650,5.1280,5.2257,9.67e+14,9.66e+14,46284800
5700,5.0854,5.2256,9.75e+14,9.75e+14,46694400
5750,5.1625,5.2227,9.84e+14,9.83e+14,47104000
5800,5.2640,5.2183,9.92e+14,9.92e+14,47513600
5850,5.0714,5.2164,1.00e+15,1.00e+15,47923200
5900,5.1679,5.2132,1.01e+15,1.01e+15,48332800
5950,5.1248,5.2105,1.02e+15,1.02e+15,48742400
6000,5.2310,5.2090,1.03e+15,1.03e+15,49152000
6050,5.1881,5.2071,1.03e+15,1.03e+15,49561600
6100,5.1342,5.2003,1.04e+15,1.04e+15,49971200
6150,5.1145,5.1991,1.05e+15,1.05e+15,50380800
6200,5.1077,5.1989,1.06e+15,1.06e+15,50790400
6250,5.1191,5.1960,1.07e+15,1.07e+15,51200000
6300,5.1668,5.1924,1.08e+15,1.08e+15,51609600
6350,5.0279,5.1923,1.09e+15,1.09e+15,52019200
6400,5.0500,5.1897,1.09e+15,1.09e+15,52428800
6450,5.0577,5.1872,1.10e+15,1.10e+15,52838400
6500,5.1035,5.1860,1.11e+15,1.11e+15,53248000
6550,5.0380,5.1832,1.12e+15,1.12e+15,53657600
6600,4.9749,5.1824,1.13e+15,1.13e+15,54067200
6650,5.0687,5.1794,1.14e+15,1.14e+15,54476800
6700,5.0209,5.1771,1.15e+15,1.15e+15,54886400
6750,5.1457,5.1761,1.15e+15,1.15e+15,55296000
6800,5.0677,5.1745,1.16e+15,1.16e+15,55705600
6850,5.0726,5.1725,1.17e+15,1.17e+15,56115200
6900,5.2079,5.1715,1.18e+15,1.18e+15,56524800
6950,5.0997,5.1694,1.19e+15,1.19e+15,56934400
7000,5.2185,5.1680,1.20e+15,1.20e+15,57344000
7050,5.0410,5.1667,1.21e+15,1.21e+15,57753600
7100,5.1723,5.1657,1.21e+15,1.21e+15,58163200
7150,5.1441,5.1646,1.22e+15,1.22e+15,58572800
7200,5.1119,5.1631,1.23e+15,1.23e+15,58982400
7250,5.1208,5.1620,1.24e+15,1.24e+15,59392000
7300,5.0751,5.1613,1.25e+15,1.25e+15,59801600
7350,5.0814,5.1599,1.26e+15,1.26e+15,60211200
7400,5.1001,5.1593,1.27e+15,1.27e+15,60620800
7450,5.0980,5.1591,1.27e+15,1.27e+15,61030400
