step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.5124,9.4268,6.42e+12,6.62e+12,655360
40,8.5248,8.5233,1.28e+13,1.32e+13,1310720
60,8.3271,8.2857,1.93e+13,1.99e+13,1966080
80,8.1132,8.0989,2.57e+13,2.65e+13,2621440
100,7.8764,7.8678,3.21e+13,3.31e+13,3276800
120,7.6732,7.6952,3.85e+13,3.97e+13,3932160
140,7.5445,7.5249,4.49e+13,4.64e+13,4587520
160,7.4412,7.4312,5.14e+13,5.30e+13,5242880
180,7.4288,7.4270,5.78e+13,5.96e+13,5898240
200,7.4087,7.3908,6.42e+13,6.62e+13,6553600
220,7.3594,7.4256,7.06e+13,7.28e+13,7208960
240,7.4132,7.4143,7.71e+13,7.95e+13,7864320
260,7.3541,7.3602,8.35e+13,8.61e+13,8519680
280,7.3429,7.3436,8.99e+13,9.27e+13,9175040
300,7.3593,7.3540,9.63e+13,9.93e+13,9830400
320,7.4123,7.3585,1.03e+14,1.06e+14,10485760
340,7.3846,7.3528,1.09e+14,1.13e+14,11141120
360,7.3154,7.3323,1.16e+14,1.19e+14,11796480
380,7.3905,7.3589,1.22e+14,1.26e+14,12451840
400,7.3282,7.3522,1.28e+14,1.32e+14,13107200
420,7.3632,7.3417,1.35e+14,1.39e+14,13762560
440,7.3662,7.3113,1.41e+14,1.46e+14,14417920
460,7.3276,7.3246,1.48e+14,1.52e+14,15073280
480,7.3501,7.3208,1.54e+14,1.59e+14,15728640
500,7.3275,7.3294,1.61e+14,1.66e+14,16384000
520,7.2966,7.2964,1.67e+14,1.72e+14,17039360
540,7.3141,7.2836,1.73e+14,1.79e+14,17694720
560,7.3022,7.2797,1.80e+14,1.85e+14,18350080
580,7.3114,7.2840,1.86e+14,1.92e+14,19005440
600,7.3162,7.2738,1.93e+14,1.99e+14,19660800
620,7.2637,7.2624,1.99e+14,2.05e+14,20316160
640,7.2820,7.2657,2.05e+14,2.12e+14,20971520
660,7.2504,7.2673,2.12e+14,2.19e+14,21626880
680,7.2439,7.2538,2.18e+14,2.25e+14,22282240
700,7.2589,7.2444,2.25e+14,2.32e+14,22937600
720,7.2171,7.2371,2.31e+14,2.38e+14,23592960
740,7.2242,7.2297,2.38e+14,2.45e+14,24248320
760,7.2197,7.2244,2.44e+14,2.52e+14,24903680
780,7.2598,7.2207,2.50e+14,2.58e+14,25559040
800,7.2237,7.2296,2.57e+14,2.65e+14,26214400
