step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.7534,10.7475,6.42e+12,6.62e+12,655360
40,10.6322,10.6278,1.28e+13,1.32e+13,1310720
60,10.5201,10.5180,1.93e+13,1.99e+13,1966080
80,10.4325,10.4262,2.57e+13,2.65e+13,2621440
100,10.3490,10.3476,3.21e+13,3.31e+13,3276800
120,10.2829,10.2764,3.85e+13,3.97e+13,3932160
140,10.2183,10.2085,4.49e+13,4.64e+13,4587520
160,10.1436,10.1392,5.14e+13,5.30e+13,5242880
180,10.0702,10.0641,5.78e+13,5.96e+13,5898240
200,9.9906,9.9765,6.42e+13,6.62e+13,6553600
220,9.8773,9.8677,7.06e+13,7.28e+13,7208960
240,9.7365,9.7309,7.71e+13,7.95e+13,7864320
260,9.6055,9.5726,8.35e+13,8.61e+13,8519680
280,9.4118,9.4275,8.99e+13,9.27e+13,9175040
300,9.3322,9.3058,9.63e+13,9.93e+13,9830400
320,9.2278,9.1951,1.03e+14,1.06e+14,10485760
340,9.0968,9.0943,1.09e+14,1.13e+14,11141120
360,9.0014,9.0061,1.16e+14,1.19e+14,11796480
380,8.9255,8.9307,1.22e+14,1.26e+14,12451840
400,8.8737,8.8652,1.28e+14,1.32e+14,13107200
420,8.7988,8.8087,1.35e+14,1.39e+14,13762560
440,8.7560,8.7609,1.41e+14,1.46e+14,14417920
460,8.7322,8.7199,1.48e+14,1.52e+14,15073280
480,8.6777,8.6851,1.54e+14,1.59e+14,15728640
500,8.6711,8.6563,1.61e+14,1.66e+14,16384000
520,8.6487,8.6322,1.67e+14,1.72e+14,17039360
540,8.6402,8.6123,1.73e+14,1.79e+14,17694720
560,8.6035,8.5956,1.80e+14,1.85e+14,18350080
580,8.5895,8.5816,1.86e+14,1.92e+14,19005440
600,8.5966,8.5699,1.93e+14,1.99e+14,19660800
620,8.5515,8.5599,1.99e+14,2.05e+14,20316160
640,8.5402,8.5514,2.05e+14,2.12e+14,20971520
660,8.5680,8.5442,2.12e+14,2.19e+14,21626880
680,8.5379,8.5380,2.18e+14,2.25e+14,22282240
700,8.5408,8.5326,2.25e+14,2.32e+14,22937600
720,8.5423,8.5278,2.31e+14,2.38e+14,23592960
740,8.5500,8.5233,2.38e+14,2.45e+14,24248320
760,8.5487,8.5195,2.44e+14,2.52e+14,24903680
780,8.5423,8.5157,2.50e+14,2.58e+14,25559040
