step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.2248,9.0550,9.81e+12,1.00e+13,655360
40,8.4595,8.4636,1.96e+13,2.00e+13,1310720
60,8.2511,8.2475,2.94e+13,3.01e+13,1966080
80,8.1078,8.0742,3.93e+13,4.01e+13,2621440
100,7.8880,7.8915,4.91e+13,5.01e+13,3276800
120,8.3789,8.0182,5.89e+13,6.01e+13,3932160
140,7.6138,7.5829,6.87e+13,7.01e+13,4587520
160,7.7635,7.6644,7.85e+13,8.01e+13,5242880
180,7.5005,7.5398,8.83e+13,9.02e+13,5898240
200,7.5838,7.5477,9.81e+13,1.00e+14,6553600
220,7.4474,7.4917,1.08e+14,1.10e+14,7208960
240,7.5202,7.5792,1.18e+14,1.20e+14,7864320
260,7.5045,7.5417,1.28e+14,1.30e+14,8519680
280,7.4576,7.4733,1.37e+14,1.40e+14,9175040
300,7.4970,7.4663,1.47e+14,1.50e+14,9830400
320,7.4260,7.4501,1.57e+14,1.60e+14,10485760
340,7.6208,7.4547,1.67e+14,1.70e+14,11141120
360,7.4498,7.4764,1.77e+14,1.80e+14,11796480
380,7.4239,7.4281,1.86e+14,1.90e+14,12451840
400,7.4088,7.3940,1.96e+14,2.00e+14,13107200
420,7.3938,7.3810,2.06e+14,2.10e+14,13762560
440,7.3436,7.3769,2.16e+14,2.20e+14,14417920
460,7.3877,7.3597,2.26e+14,2.30e+14,15073280
480,7.3283,7.3744,2.36e+14,2.40e+14,15728640
500,7.4253,7.4213,2.45e+14,2.50e+14,16384000
520,7.3631,7.3794,2.55e+14,2.60e+14,17039360
540,7.4366,7.3569,2.65e+14,2.70e+14,17694720
560,7.3721,7.3910,2.75e+14,2.80e+14,18350080
580,7.3860,7.3584,2.85e+14,2.90e+14,19005440
600,7.3535,7.3304,2.94e+14,3.01e+14,19660800
620,7.3291,7.3408,3.04e+14,3.11e+14,20316160
640,7.3061,7.3144,3.14e+14,3.21e+14,20971520
660,7.3444,7.3255,3.24e+14,3.31e+14,21626880
680,7.3080,7.3092,3.34e+14,3.41e+14,22282240
700,7.3063,7.3085,3.43e+14,3.51e+14,22937600
720,7.2955,7.3020,3.53e+14,3.61e+14,23592960
740,7.3281,7.2967,3.63e+14,3.71e+14,24248320
760,7.3238,7.2913,3.73e+14,3.81e+14,24903680
780,7.3290,7.2869,3.83e+14,3.91e+14,25559040
