step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.8085,10.8054,1.48e+13,1.49e+13,409600
100,10.6357,10.6305,2.95e+13,2.98e+13,819200
150,10.3333,10.3259,4.43e+13,4.47e+13,1228800
200,9.9756,9.9638,5.91e+13,5.96e+13,1638400
250,9.5287,9.5437,7.38e+13,7.45e+13,2048000
300,9.1261,9.0907,8.86e+13,8.94e+13,2457600
350,8.6554,8.6416,1.03e+14,1.04e+14,2867200
400,8.2720,8.2437,1.18e+14,1.19e+14,3276800
450,7.9095,7.9349,1.33e+14,1.34e+14,3686400
500,7.8377,7.7488,1.48e+14,1.49e+14,4096000
550,7.6084,7.6777,1.62e+14,1.64e+14,4505600
600,7.6938,7.6342,1.77e+14,1.79e+14,4915200
650,7.6282,7.5737,1.92e+14,1.94e+14,5324800
700,7.5629,7.4991,2.07e+14,2.09e+14,5734400
750,7.4594,7.4202,2.21e+14,2.23e+14,6144000
800,7.3805,7.3343,2.36e+14,2.38e+14,6553600
850,7.1671,7.2291,2.51e+14,2.53e+14,6963200
900,7.1003,7.1271,2.66e+14,2.68e+14,7372800
950,7.0074,7.0314,2.81e+14,2.83e+14,7782400
1000,7.0705,6.9511,2.95e+14,2.98e+14,8192000
1050,6.9800,6.8829,3.10e+14,3.13e+14,8601600
1100,6.8024,6.8248,3.25e+14,3.28e+14,9011200
1150,6.7364,6.7706,3.40e+14,3.43e+14,9420800
1200,6.7881,6.7202,3.54e+14,3.58e+14,9830400
1250,6.5063,6.6805,3.69e+14,3.72e+14,10240000
1300,6.8114,6.6386,3.84e+14,3.87e+14,10649600
1350,6.6753,6.6002,3.99e+14,4.02e+14,11059200
1400,6.6118,6.5641,4.13e+14,4.17e+14,11468800
1450,6.5487,6.5228,4.28e+14,4.32e+14,11878400
1500,6.3961,6.4844,4.43e+14,4.47e+14,12288000
1550,6.4353,6.4432,4.58e+14,4.62e+14,12697600
1600,6.5001,6.4078,4.72e+14,4.77e+14,13107200
1650,6.2847,6.3748,4.87e+14,4.92e+14,13516800
1700,6.3630,6.3295,5.02e+14,5.07e+14,13926400
1750,6.3853,6.2995,5.17e+14,5.21e+14,14336000
1800,6.2578,6.2571,5.32e+14,5.36e+14,14745600
1850,6.2407,6.2245,5.46e+14,5.51e+14,15155200
1900,6.1068,6.1977,5.61e+14,5.66e+14,15564800
1950,6.1227,6.1592,5.76e+14,5.81e+14,15974400
2000,6.1697,6.1312,5.91e+14,5.96e+14,16384000
2050,6.1839,6.0999,6.05e+14,6.11e+14,16793600
2100,6.0194,6.0644,6.20e+14,6.26e+14,17203200
2150,6.1486,6.0374,6.35e+14,6.41e+14,17612800
2200,6.0086,6.0112,6.50e+14,6.56e+14,18022400
2250,6.0448,5.9797,6.64e+14,6.70e+14,18432000
2300,5.9392,5.9502,6.79e+14,6.85e+14,18841600
2350,5.8075,5.9275,6.94e+14,7.00e+14,19251200
2400,5.8022,5.9062,7.09e+14,7.15e+14,19660800
2450,5.9291,5.8828,7.23e+14,7.30e+14,20070400
2500,5.8477,5.8587,7.38e+14,7.45e+14,20480000
2550,5.7023,5.8325,7.53e+14,7.60e+14,20889600
2600,5.9505,5.8226,7.68e+14,7.75e+14,21299200
2650,5.8404,5.8017,7.83e+14,7.90e+14,21708800
2700,5.8570,5.7746,7.97e+14,8.05e+14,22118400
2750,5.7942,5.7569,8.12e+14,8.19e+14,22528000
2800,5.6748,5.7347,8.27e+14,8.34e+14,22937600
2850,5.8242,5.7144,8.42e+14,8.49e+14,23347200
2900,5.6991,5.7043,8.56e+14,8.64e+14,23756800
2950,5.6222,5.6838,8.71e+14,8.79e+14,24166400
3000,5.5385,5.6717,8.86e+14,8.94e+14,24576000
3050,5.7832,5.6524,9.01e+14,9.09e+14,24985600
3100,5.5402,5.6373,9.15e+14,9.24e+14,25395200
3150,5.5501,5.6249,9.30e+14,9.39e+14,25804800
3200,5.4875,5.6087,9.45e+14,9.54e+14,26214400
3250,5.7249,5.5948,9.60e+14,9.68e+14,26624000
3300,5.6136,5.5821,9.74e+14,9.83e+14,27033600
3350,5.4899,5.5685,9.89e+14,9.98e+14,27443200
3400,5.5425,5.5555,1.00e+15,1.01e+15,27852800
