step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.9870,8.9467,1.61e+13,1.65e+13,1310720
40,8.4186,8.3815,3.22e+13,3.30e+13,2621440
60,8.2003,8.1829,4.83e+13,4.95e+13,3932160
80,7.9888,7.9805,6.45e+13,6.61e+13,5242880
100,7.7734,7.7753,8.06e+13,8.26e+13,6553600
120,7.6332,7.5882,9.67e+13,9.91e+13,7864320
140,7.5214,7.5384,1.13e+14,1.16e+14,9175040
160,7.5530,7.4716,1.29e+14,1.32e+14,10485760
180,7.4896,7.4748,1.45e+14,1.49e+14,11796480
200,7.4094,7.4140,1.61e+14,1.65e+14,13107200
220,7.4062,7.4252,1.77e+14,1.82e+14,14417920
240,7.3306,7.3489,1.93e+14,1.98e+14,15728640
260,7.3801,7.3935,2.09e+14,2.15e+14,17039360
280,7.3219,7.3555,2.26e+14,2.31e+14,18350080
300,7.3599,7.3277,2.42e+14,2.48e+14,19660800
320,7.3082,7.3077,2.58e+14,2.64e+14,20971520
340,7.3088,7.2958,2.74e+14,2.81e+14,22282240
360,7.3036,7.2880,2.90e+14,2.97e+14,23592960
380,7.3012,7.2797,3.06e+14,3.14e+14,24903680
