step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.7614,10.7578,1.61e+13,1.65e+13,1310720
40,10.7067,10.7035,3.22e+13,3.30e+13,2621440
60,10.6479,10.6445,4.83e+13,4.95e+13,3932160
80,10.5873,10.5857,6.45e+13,6.61e+13,5242880
100,10.5320,10.5286,8.06e+13,8.26e+13,6553600
120,10.4751,10.4740,9.67e+13,9.91e+13,7864320
140,10.4262,10.4222,1.13e+14,1.16e+14,9175040
160,10.3811,10.3741,1.29e+14,1.32e+14,10485760
180,10.3391,10.3298,1.45e+14,1.49e+14,11796480
200,10.2859,10.2898,1.61e+14,1.65e+14,13107200
220,10.2622,10.2546,1.77e+14,1.82e+14,14417920
240,10.2304,10.2240,1.93e+14,1.98e+14,15728640
260,10.2029,10.1977,2.09e+14,2.15e+14,17039360
280,10.1711,10.1759,2.26e+14,2.31e+14,18350080
300,10.1731,10.1580,2.42e+14,2.48e+14,19660800
320,10.1400,10.1437,2.58e+14,2.64e+14,20971520
340,10.1307,10.1323,2.74e+14,2.81e+14,22282240
360,10.1356,10.1229,2.90e+14,2.97e+14,23592960
380,10.1232,10.1149,3.06e+14,3.14e+14,24903680
