step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,9.2049,9.2268,4.01e+12,4.14e+12,409600
100,8.5584,8.5609,8.03e+12,8.28e+12,819200
150,8.4780,8.3123,1.20e+13,1.24e+13,1228800
200,8.1217,8.1008,1.61e+13,1.66e+13,1638400
250,8.0252,7.9329,2.01e+13,2.07e+13,2048000
300,7.8627,7.7384,2.41e+13,2.48e+13,2457600
350,7.7342,7.5925,2.81e+13,2.90e+13,2867200
400,7.4312,7.4455,3.21e+13,3.31e+13,3276800
450,7.2949,7.2517,3.61e+13,3.72e+13,3686400
500,7.2801,7.1460,4.01e+13,4.14e+13,4096000
550,6.9809,7.0514,4.41e+13,4.55e+13,4505600
600,7.0162,6.9707,4.82e+13,4.97e+13,4915200
650,7.0788,6.9162,5.22e+13,5.38e+13,5324800
700,6.8724,6.8400,5.62e+13,5.79e+13,5734400
750,6.7671,6.7820,6.02e+13,6.21e+13,6144000
800,6.7522,6.7401,6.42e+13,6.62e+13,6553600
850,6.7015,6.7044,6.82e+13,7.04e+13,6963200
900,6.6958,6.6420,7.22e+13,7.45e+13,7372800
950,6.6768,6.6033,7.63e+13,7.86e+13,7782400
1000,6.3125,6.5621,8.03e+13,8.28e+13,8192000
1050,6.5786,6.5269,8.43e+13,8.69e+13,8601600
1100,6.5536,6.4999,8.83e+13,9.10e+13,9011200
1150,6.4207,6.4599,9.23e+13,9.52e+13,9420800
1200,6.2790,6.4252,9.63e+13,9.93e+13,9830400
1250,6.4144,6.3892,1.00e+14,1.03e+14,10240000
1300,6.3432,6.3729,1.04e+14,1.08e+14,10649600
1350,6.4475,6.3397,1.08e+14,1.12e+14,11059200
1400,6.4147,6.3262,1.12e+14,1.16e+14,11468800
1450,6.3278,6.3091,1.16e+14,1.20e+14,11878400
1500,6.3154,6.2898,1.20e+14,1.24e+14,12288000
1550,6.3095,6.2716,1.24e+14,1.28e+14,12697600
1600,6.1898,6.2417,1.28e+14,1.32e+14,13107200
1650,6.1134,6.2224,1.32e+14,1.37e+14,13516800
1700,6.1752,6.2153,1.36e+14,1.41e+14,13926400
1750,6.2144,6.1932,1.40e+14,1.45e+14,14336000
1800,6.1598,6.1791,1.44e+14,1.49e+14,14745600
1850,6.1202,6.1519,1.48e+14,1.53e+14,15155200
1900,6.1075,6.1443,1.53e+14,1.57e+14,15564800
1950,6.0979,6.1410,1.57e+14,1.61e+14,15974400
2000,6.0479,6.1258,1.61e+14,1.66e+14,16384000
2050,6.1484,6.1018,1.65e+14,1.70e+14,16793600
2100,6.1042,6.0960,1.69e+14,1.74e+14,17203200
2150,6.1087,6.0861,1.73e+14,1.78e+14,17612800
2200,6.0333,6.0706,1.77e+14,1.82e+14,18022400
2250,6.1291,6.0664,1.81e+14,1.86e+14,18432000
2300,6.0280,6.0498,1.85e+14,1.90e+14,18841600
2350,5.9386,6.0382,1.89e+14,1.95e+14,19251200
2400,6.1198,6.0414,1.93e+14,1.99e+14,19660800
2450,6.0918,6.0298,1.97e+14,2.03e+14,20070400
2500,6.0241,6.0196,2.01e+14,2.07e+14,20480000
2550,5.9244,6.0079,2.05e+14,2.11e+14,20889600
2600,5.9155,5.9941,2.09e+14,2.15e+14,21299200
2650,6.0035,5.9865,2.13e+14,2.19e+14,21708800
2700,6.0808,5.9795,2.17e+14,2.23e+14,22118400
2750,6.0448,5.9757,2.21e+14,2.28e+14,22528000
2800,5.9522,5.9684,2.25e+14,2.32e+14,22937600
2850,5.9166,5.9624,2.29e+14,2.36e+14,23347200
2900,5.9852,5.9577,2.33e+14,2.40e+14,23756800
2950,5.9506,5.9514,2.37e+14,2.44e+14,24166400
3000,5.9175,5.9445,2.41e+14,2.48e+14,24576000
3050,5.9593,5.9391,2.45e+14,2.52e+14,24985600
3100,5.9964,5.9355,2.49e+14,2.57e+14,25395200
3150,5.8059,5.9303,2.53e+14,2.61e+14,25804800
3200,5.9151,5.9269,2.57e+14,2.65e+14,26214400
3250,6.0471,5.9207,2.61e+14,2.69e+14,26624000
3300,6.1510,5.9154,2.65e+14,2.73e+14,27033600
3350,5.8842,5.9144,2.69e+14,2.77e+14,27443200
3400,5.9869,5.9139,2.73e+14,2.81e+14,27852800
3450,5.9840,5.9105,2.77e+14,2.86e+14,28262400
3500,5.7126,5.9026,2.81e+14,2.90e+14,28672000
3550,5.9719,5.9008,2.85e+14,2.94e+14,29081600
3600,5.8620,5.8994,2.89e+14,2.98e+14,29491200
3650,5.8037,5.8973,2.93e+14,3.02e+14,29900800
