step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.6920,10.6706,7.29e+13,7.31e+13,409600
100,9.9711,9.9283,1.46e+14,1.46e+14,819200
150,9.1968,9.1779,2.19e+14,2.19e+14,1228800
200,8.8816,8.8170,2.92e+14,2.93e+14,1638400
250,8.5687,8.5488,3.64e+14,3.66e+14,2048000
300,8.2955,8.3824,4.37e+14,4.39e+14,2457600
350,8.2997,8.2394,5.10e+14,5.12e+14,2867200
400,8.1047,8.1331,5.83e+14,5.85e+14,3276800
450,8.0333,8.0531,6.56e+14,6.58e+14,3686400
500,8.1981,7.9838,7.29e+14,7.31e+14,4096000
550,7.9808,7.9253,8.02e+14,8.05e+14,4505600
600,7.9647,7.8715,8.75e+14,8.78e+14,4915200
650,7.8281,7.7890,9.48e+14,9.51e+14,5324800
700,7.7991,7.7132,1.02e+15,1.02e+15,5734400
750,7.7375,7.6398,1.09e+15,1.10e+15,6144000
800,7.6014,7.5754,1.17e+15,1.17e+15,6553600
850,7.6537,7.5072,1.24e+15,1.24e+15,6963200
900,7.4698,7.4448,1.31e+15,1.32e+15,7372800
950,7.4174,7.3785,1.38e+15,1.39e+15,7782400
1000,7.3846,7.3141,1.46e+15,1.46e+15,8192000
1050,7.3102,7.2503,1.53e+15,1.54e+15,8601600
1100,7.1609,7.1869,1.60e+15,1.61e+15,9011200
1150,7.1307,7.1215,1.68e+15,1.68e+15,9420800
1200,7.1875,7.0711,1.75e+15,1.76e+15,9830400
1250,6.9964,7.0188,1.82e+15,1.83e+15,10240000
1300,7.1345,6.9643,1.90e+15,1.90e+15,10649600
1350,7.1372,6.9160,1.97e+15,1.97e+15,11059200
1400,7.0213,6.8699,2.04e+15,2.05e+15,11468800
1450,6.9647,6.8217,2.11e+15,2.12e+15,11878400
1500,6.8316,6.7764,2.19e+15,2.19e+15,12288000
1550,6.8703,6.7385,2.26e+15,2.27e+15,12697600
1600,6.6649,6.7124,2.33e+15,2.34e+15,13107200
1650,6.7918,6.6833,2.41e+15,2.41e+15,13516800
1700,6.7483,6.6462,2.48e+15,2.49e+15,13926400
1750,6.6447,6.6136,2.55e+15,2.56e+15,14336000
1800,6.6717,6.5846,2.62e+15,2.63e+15,14745600
1850,6.6189,6.5469,2.70e+15,2.71e+15,15155200
1900,6.6358,6.5129,2.77e+15,2.78e+15,15564800
1950,6.6776,6.4849,2.84e+15,2.85e+15,15974400
2000,6.4758,6.4486,2.92e+15,2.93e+15,16384000
2050,6.5749,6.4281,2.99e+15,3.00e+15,16793600
2100,6.6876,6.4000,3.06e+15,3.07e+15,17203200
2150,6.4104,6.3647,3.13e+15,3.15e+15,17612800
2200,6.2599,6.3329,3.21e+15,3.22e+15,18022400
2250,6.3936,6.3094,3.28e+15,3.29e+15,18432000
2300,6.3168,6.2726,3.35e+15,3.36e+15,18841600
2350,6.2562,6.2601,3.43e+15,3.44e+15,19251200
2400,6.2679,6.2310,3.50e+15,3.51e+15,19660800
2450,6.1803,6.2085,3.57e+15,3.58e+15,20070400
2500,6.1860,6.1783,3.64e+15,3.66e+15,20480000
2550,6.1940,6.1587,3.72e+15,3.73e+15,20889600
2600,6.1819,6.1389,3.79e+15,3.80e+15,21299200
2650,6.0803,6.1134,3.86e+15,3.88e+15,21708800
2700,6.0633,6.0908,3.94e+15,3.95e+15,22118400
2750,6.1773,6.0765,4.01e+15,4.02e+15,22528000
2800,6.0856,6.0611,4.08e+15,4.10e+15,22937600
2850,6.0959,6.0422,4.15e+15,4.17e+15,23347200
2900,5.9853,6.0121,4.23e+15,4.24e+15,23756800
2950,6.0695,5.9982,4.30e+15,4.32e+15,24166400
3000,5.8987,5.9832,4.37e+15,4.39e+15,24576000
3050,5.9269,5.9640,4.45e+15,4.46e+15,24985600
