step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.2497,10.1526,1.61e+12,1.66e+12,163840
40,9.7668,9.4269,3.21e+12,3.31e+12,327680
60,9.1664,8.9119,4.82e+12,4.97e+12,491520
80,8.6185,8.6868,6.42e+12,6.62e+12,655360
100,8.3836,8.3968,8.03e+12,8.28e+12,819200
120,8.3274,8.3244,9.63e+12,9.93e+12,983040
140,8.2418,8.2207,1.12e+13,1.16e+13,1146880
160,8.0601,8.1260,1.28e+13,1.32e+13,1310720
180,8.0072,8.0071,1.44e+13,1.49e+13,1474560
200,7.9358,7.8914,1.61e+13,1.66e+13,1638400
220,7.7687,7.7712,1.77e+13,1.82e+13,1802240
240,7.6306,7.6468,1.93e+13,1.99e+13,1966080
260,7.5699,7.5524,2.09e+13,2.15e+13,2129920
280,7.4184,7.4806,2.25e+13,2.32e+13,2293760
300,7.3237,7.4011,2.41e+13,2.48e+13,2457600
320,7.2432,7.3235,2.57e+13,2.65e+13,2621440
340,7.1880,7.2334,2.73e+13,2.81e+13,2785280
360,7.1067,7.1727,2.89e+13,2.98e+13,2949120
380,7.1359,7.1233,3.05e+13,3.15e+13,3112960
400,7.1157,7.1155,3.21e+13,3.31e+13,3276800
420,7.0887,7.0591,3.37e+13,3.48e+13,3440640
440,7.0572,7.0152,3.53e+13,3.64e+13,3604480
460,6.9721,6.9967,3.69e+13,3.81e+13,3768320
480,7.0759,6.9630,3.85e+13,3.97e+13,3932160
500,6.9768,6.9366,4.01e+13,4.14e+13,4096000
520,6.9399,6.9060,4.17e+13,4.30e+13,4259840
540,6.9000,6.8822,4.33e+13,4.47e+13,4423680
560,6.9107,6.9726,4.49e+13,4.64e+13,4587520
580,6.8633,6.8668,4.66e+13,4.80e+13,4751360
600,6.9192,6.8483,4.82e+13,4.97e+13,4915200
620,6.8188,6.8155,4.98e+13,5.13e+13,5079040
640,6.8954,6.7959,5.14e+13,5.30e+13,5242880
660,6.7387,6.7539,5.30e+13,5.46e+13,5406720
680,6.8330,6.7375,5.46e+13,5.63e+13,5570560
700,6.7778,6.7370,5.62e+13,5.79e+13,5734400
720,6.7812,6.7528,5.78e+13,5.96e+13,5898240
740,6.7173,6.7529,5.94e+13,6.12e+13,6062080
760,6.7079,6.6922,6.10e+13,6.29e+13,6225920
780,6.6483,6.6846,6.26e+13,6.46e+13,6389760
800,6.6458,6.6351,6.42e+13,6.62e+13,6553600
820,6.6042,6.6173,6.58e+13,6.79e+13,6717440
840,6.5995,6.5901,6.74e+13,6.95e+13,6881280
860,6.4889,6.5766,6.90e+13,7.12e+13,7045120
880,6.5824,6.5553,7.06e+13,7.28e+13,7208960
900,6.5917,6.5412,7.22e+13,7.45e+13,7372800
920,6.5692,6.5260,7.38e+13,7.61e+13,7536640
940,6.5594,6.5119,7.54e+13,7.78e+13,7700480
960,6.4058,6.5012,7.71e+13,7.95e+13,7864320
980,6.4540,6.4882,7.87e+13,8.11e+13,8028160
1000,6.3370,6.4816,8.03e+13,8.28e+13,8192000
1020,6.4131,6.4752,8.19e+13,8.44e+13,8355840
1040,6.4587,6.4616,8.35e+13,8.61e+13,8519680
1060,6.3736,6.4447,8.51e+13,8.77e+13,8683520
1080,6.5147,6.4420,8.67e+13,8.94e+13,8847360
1100,6.3744,6.4276,8.83e+13,9.10e+13,9011200
1120,6.4289,6.4168,8.99e+13,9.27e+13,9175040
1140,6.4192,6.4046,9.15e+13,9.44e+13,9338880
1160,6.2964,6.3971,9.31e+13,9.60e+13,9502720
1180,6.4291,6.3942,9.47e+13,9.77e+13,9666560
1200,6.3788,6.3807,9.63e+13,9.93e+13,9830400
1220,6.3783,6.3692,9.79e+13,1.01e+14,9994240
1240,6.4048,6.3631,9.95e+13,1.03e+14,10158080
1260,6.3268,6.3580,1.01e+14,1.04e+14,10321920
1280,6.3394,6.3521,1.03e+14,1.06e+14,10485760
1300,6.1674,6.3461,1.04e+14,1.08e+14,10649600
1320,6.3164,6.3421,1.06e+14,1.09e+14,10813440
1340,6.3856,6.3352,1.08e+14,1.11e+14,10977280
1360,6.3132,6.3364,1.09e+14,1.13e+14,11141120
1380,6.2989,6.3232,1.11e+14,1.14e+14,11304960
1400,6.3135,6.3196,1.12e+14,1.16e+14,11468800
1420,6.2586,6.3139,1.14e+14,1.18e+14,11632640
1440,6.3751,6.3064,1.16e+14,1.19e+14,11796480
1460,6.2920,6.3007,1.17e+14,1.21e+14,11960320
1480,6.3704,6.3014,1.19e+14,1.22e+14,12124160
1500,6.3343,6.2937,1.20e+14,1.24e+14,12288000
1520,6.1513,6.2887,1.22e+14,1.26e+14,12451840
1540,6.2195,6.2846,1.24e+14,1.27e+14,12615680
1560,6.2309,6.2809,1.25e+14,1.29e+14,12779520
