step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,9.5919,9.3277,4.19e+11,4.26e+11,20480
20,8.2519,12.8254,8.39e+11,8.52e+11,40960
30,7.8959,7.9516,1.26e+12,1.28e+12,61440
40,8.0919,7.9595,1.68e+12,1.70e+12,81920
50,7.9292,7.9108,2.10e+12,2.13e+12,102400
60,7.7473,7.8545,2.52e+12,2.56e+12,122880
70,7.6860,7.7781,2.94e+12,2.98e+12,143360
80,7.7966,7.7449,3.36e+12,3.41e+12,163840
90,7.6863,7.7162,3.78e+12,3.83e+12,184320
100,7.7045,7.7271,4.19e+12,4.26e+12,204800
110,7.6782,7.7096,4.61e+12,4.69e+12,225280
120,7.7812,7.7003,5.03e+12,5.11e+12,245760
130,7.9529,7.7076,5.45e+12,5.54e+12,266240
140,7.5236,7.6872,5.87e+12,5.96e+12,286720
150,7.6727,7.7110,6.29e+12,6.39e+12,307200
160,7.7354,7.6684,6.71e+12,6.82e+12,327680
170,7.7660,7.6836,7.13e+12,7.24e+12,348160
180,7.9015,7.7098,7.55e+12,7.67e+12,368640
190,7.8888,7.7647,7.97e+12,8.09e+12,389120
200,7.6141,7.6966,8.39e+12,8.52e+12,409600
210,7.5815,7.6523,8.81e+12,8.95e+12,430080
220,7.6641,7.6267,9.23e+12,9.37e+12,450560
230,7.6129,7.6473,9.65e+12,9.80e+12,471040
240,7.5785,7.6837,1.01e+13,1.02e+13,491520
250,7.5108,7.6924,1.05e+13,1.06e+13,512000
260,7.7256,7.6365,1.09e+13,1.11e+13,532480
270,7.9892,7.8158,1.13e+13,1.15e+13,552960
280,7.6409,7.6752,1.17e+13,1.19e+13,573440
290,7.7328,7.6905,1.22e+13,1.24e+13,593920
300,7.6592,7.6721,1.26e+13,1.28e+13,614400
310,7.6414,7.6720,1.30e+13,1.32e+13,634880
320,7.8193,7.6542,1.34e+13,1.36e+13,655360
330,7.6099,7.6896,1.38e+13,1.41e+13,675840
340,7.8128,7.7162,1.43e+13,1.45e+13,696320
350,7.6823,7.7592,1.47e+13,1.49e+13,716800
360,7.7539,7.7102,1.51e+13,1.53e+13,737280
370,7.7131,7.7275,1.55e+13,1.58e+13,757760
380,7.8014,7.7737,1.59e+13,1.62e+13,778240
390,7.8057,7.7033,1.64e+13,1.66e+13,798720
400,7.6768,7.9156,1.68e+13,1.70e+13,819200
410,7.9799,7.9159,1.72e+13,1.75e+13,839680
420,7.7258,7.6752,1.76e+13,1.79e+13,860160
430,7.6785,7.6673,1.80e+13,1.83e+13,880640
440,7.6907,7.7539,1.85e+13,1.87e+13,901120
450,7.9310,7.8765,1.89e+13,1.92e+13,921600
460,7.7214,7.7550,1.93e+13,1.96e+13,942080
470,7.7079,7.9084,1.97e+13,2.00e+13,962560
480,7.6449,7.7869,2.01e+13,2.04e+13,983040
490,7.8523,7.8290,2.06e+13,2.09e+13,1003520
500,7.8488,7.9140,2.10e+13,2.13e+13,1024000
510,7.9584,7.9770,2.14e+13,2.17e+13,1044480
520,7.8112,7.9211,2.18e+13,2.22e+13,1064960
530,8.2125,8.1635,2.22e+13,2.26e+13,1085440
540,7.9417,7.9103,2.27e+13,2.30e+13,1105920
550,8.0854,8.3175,2.31e+13,2.34e+13,1126400
560,8.1097,8.1218,2.35e+13,2.39e+13,1146880
570,8.1298,8.0081,2.39e+13,2.43e+13,1167360
580,7.9239,7.9445,2.43e+13,2.47e+13,1187840
590,8.2448,7.9887,2.48e+13,2.51e+13,1208320
600,8.1756,7.9752,2.52e+13,2.56e+13,1228800
610,7.8105,8.0822,2.56e+13,2.60e+13,1249280
620,7.9019,8.0219,2.60e+13,2.64e+13,1269760
630,8.1814,7.9217,2.64e+13,2.68e+13,1290240
640,7.8079,7.9856,2.68e+13,2.73e+13,1310720
650,7.7693,7.9285,2.73e+13,2.77e+13,1331200
660,8.0577,8.1762,2.77e+13,2.81e+13,1351680
670,8.2448,8.3185,2.81e+13,2.85e+13,1372160
680,8.3630,8.1513,2.85e+13,2.90e+13,1392640
690,8.0556,8.1556,2.89e+13,2.94e+13,1413120
700,7.8474,7.9238,2.94e+13,2.98e+13,1433600
710,7.7778,7.8818,2.98e+13,3.02e+13,1454080
720,7.8832,8.0498,3.02e+13,3.07e+13,1474560
730,8.8181,8.2447,3.06e+13,3.11e+13,1495040
740,7.8852,7.9726,3.10e+13,3.15e+13,1515520
750,8.1959,7.9084,3.15e+13,3.19e+13,1536000
760,8.0358,7.8708,3.19e+13,3.24e+13,1556480
770,7.8439,7.8674,3.23e+13,3.28e+13,1576960
780,7.9328,7.9590,3.27e+13,3.32e+13,1597440
790,7.7703,7.8816,3.31e+13,3.37e+13,1617920
800,7.8287,7.9269,3.36e+13,3.41e+13,1638400
810,7.8236,7.9493,3.40e+13,3.45e+13,1658880
820,7.7753,7.9466,3.44e+13,3.49e+13,1679360
830,7.8075,7.9005,3.48e+13,3.54e+13,1699840
840,7.9136,7.9084,3.52e+13,3.58e+13,1720320
850,7.9589,7.8837,3.57e+13,3.62e+13,1740800
860,8.1607,7.9489,3.61e+13,3.66e+13,1761280
870,7.9694,7.9509,3.65e+13,3.71e+13,1781760
880,8.3315,8.1018,3.69e+13,3.75e+13,1802240
890,8.0072,7.9330,3.73e+13,3.79e+13,1822720
900,7.9009,7.8489,3.78e+13,3.83e+13,1843200
910,7.7606,7.8790,3.82e+13,3.88e+13,1863680
920,7.7951,7.8972,3.86e+13,3.92e+13,1884160
930,8.0003,7.9253,3.90e+13,3.96e+13,1904640
940,7.9086,7.9295,3.94e+13,4.00e+13,1925120
950,8.0598,7.9068,3.99e+13,4.05e+13,1945600
960,8.0122,7.9162,4.03e+13,4.09e+13,1966080
970,7.8754,7.8774,4.07e+13,4.13e+13,1986560
980,7.7320,7.8844,4.11e+13,4.17e+13,2007040
990,7.9172,7.8956,4.15e+13,4.22e+13,2027520
1000,7.7445,8.0287,4.19e+13,4.26e+13,2048000
1010,7.8332,7.8959,4.24e+13,4.30e+13,2068480
1020,7.9433,7.9876,4.28e+13,4.35e+13,2088960
1030,7.8562,7.8926,4.32e+13,4.39e+13,2109440
1040,8.0202,7.9599,4.36e+13,4.43e+13,2129920
1050,7.9633,7.9092,4.40e+13,4.47e+13,2150400
1060,7.7365,7.8491,4.45e+13,4.52e+13,2170880
1070,7.6654,7.8547,4.49e+13,4.56e+13,2191360
1080,7.7666,7.8897,4.53e+13,4.60e+13,2211840
1090,7.7739,7.8900,4.57e+13,4.64e+13,2232320
1100,7.8772,7.8931,4.61e+13,4.69e+13,2252800
1110,7.7926,7.9032,4.66e+13,4.73e+13,2273280
1120,7.9555,7.9092,4.70e+13,4.77e+13,2293760
1130,7.9134,7.9043,4.74e+13,4.81e+13,2314240
1140,7.9145,7.8928,4.78e+13,4.86e+13,2334720
1150,7.9583,7.8850,4.82e+13,4.90e+13,2355200
1160,7.6615,7.8775,4.87e+13,4.94e+13,2375680
1170,7.9696,7.8739,4.91e+13,4.98e+13,2396160
1180,7.9296,7.9144,4.95e+13,5.03e+13,2416640
1190,8.0298,7.9044,4.99e+13,5.07e+13,2437120
1200,7.6589,7.9169,5.03e+13,5.11e+13,2457600
1210,7.9718,8.0079,5.08e+13,5.15e+13,2478080
1220,7.9692,7.9227,5.12e+13,5.20e+13,2498560
1230,8.1336,7.9071,5.16e+13,5.24e+13,2519040
1240,7.8053,7.8452,5.20e+13,5.28e+13,2539520
1250,8.2456,7.8514,5.24e+13,5.32e+13,2560000
1260,7.9614,7.8682,5.29e+13,5.37e+13,2580480
1270,7.8232,7.8821,5.33e+13,5.41e+13,2600960
1280,7.8650,7.8915,5.37e+13,5.45e+13,2621440
1290,7.9384,8.0260,5.41e+13,5.50e+13,2641920
1300,8.0180,7.8931,5.45e+13,5.54e+13,2662400
1310,7.7125,7.8528,5.50e+13,5.58e+13,2682880
1320,7.9110,7.9178,5.54e+13,5.62e+13,2703360
1330,7.9841,7.9370,5.58e+13,5.67e+13,2723840
1340,7.9154,7.8598,5.62e+13,5.71e+13,2744320
1350,7.7444,7.8658,5.66e+13,5.75e+13,2764800
1360,7.8116,7.8703,5.71e+13,5.79e+13,2785280
1370,7.8412,7.9693,5.75e+13,5.84e+13,2805760
1380,7.8771,7.8570,5.79e+13,5.88e+13,2826240
1390,7.7987,7.8334,5.83e+13,5.92e+13,2846720
1400,7.8850,8.1005,5.87e+13,5.96e+13,2867200
1410,7.9838,7.8945,5.91e+13,6.01e+13,2887680
1420,7.7992,7.8560,5.96e+13,6.05e+13,2908160
1430,7.9211,7.8713,6.00e+13,6.09e+13,2928640
1440,7.8133,7.8623,6.04e+13,6.13e+13,2949120
1450,8.0475,7.9006,6.08e+13,6.18e+13,2969600
1460,8.0472,7.9040,6.12e+13,6.22e+13,2990080
1470,7.9403,7.9506,6.17e+13,6.26e+13,3010560
1480,7.9086,8.0099,6.21e+13,6.30e+13,3031040
1490,7.8962,7.8669,6.25e+13,6.35e+13,3051520
1500,7.8424,7.8514,6.29e+13,6.39e+13,3072000
1510,7.7621,7.8637,6.33e+13,6.43e+13,3092480
1520,7.9082,7.9493,6.38e+13,6.48e+13,3112960
1530,7.8985,7.9230,6.42e+13,6.52e+13,3133440
1540,7.9070,7.8731,6.46e+13,6.56e+13,3153920
1550,7.8392,7.8560,6.50e+13,6.60e+13,3174400
1560,7.7123,7.9266,6.54e+13,6.65e+13,3194880
1570,7.8259,7.8958,6.59e+13,6.69e+13,3215360
1580,7.8421,7.8293,6.63e+13,6.73e+13,3235840
1590,7.7713,7.8814,6.67e+13,6.77e+13,3256320
1600,7.7943,7.8888,6.71e+13,6.82e+13,3276800
1610,7.7805,7.8546,6.75e+13,6.86e+13,3297280
1620,7.9719,7.8549,6.80e+13,6.90e+13,3317760
1630,8.0244,7.8854,6.84e+13,6.94e+13,3338240
1640,7.9357,7.8642,6.88e+13,6.99e+13,3358720
1650,7.8402,7.9418,6.92e+13,7.03e+13,3379200
1660,7.6346,7.9889,6.96e+13,7.07e+13,3399680
1670,7.8384,7.8382,7.01e+13,7.11e+13,3420160
1680,7.8222,7.8486,7.05e+13,7.16e+13,3440640
1690,7.8370,7.9169,7.09e+13,7.20e+13,3461120
1700,8.2450,7.9036,7.13e+13,7.24e+13,3481600
