step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.6129,10.5832,8.66e+12,8.77e+12,327680
40,9.7546,9.7100,1.73e+13,1.75e+13,655360
60,8.6409,8.5820,2.60e+13,2.63e+13,983040
80,7.7384,7.6827,3.46e+13,3.51e+13,1310720
100,7.4878,7.4981,4.33e+13,4.38e+13,1638400
120,7.5375,7.4903,5.20e+13,5.26e+13,1966080
140,7.4434,7.4932,6.06e+13,6.14e+13,2293760
160,7.5235,7.4970,6.93e+13,7.02e+13,2621440
180,7.5385,7.4975,7.79e+13,7.89e+13,2949120
200,7.5035,7.5020,8.66e+13,8.77e+13,3276800
220,7.4217,7.4936,9.53e+13,9.65e+13,3604480
240,7.3408,7.3346,1.04e+14,1.05e+14,3932160
260,7.2840,7.2639,1.13e+14,1.14e+14,4259840
280,7.2428,7.2164,1.21e+14,1.23e+14,4587520
300,7.1779,7.1585,1.30e+14,1.32e+14,4915200
320,7.1070,7.0978,1.39e+14,1.40e+14,5242880
340,7.0437,7.0323,1.47e+14,1.49e+14,5570560
360,6.9269,6.9366,1.56e+14,1.58e+14,5898240
380,6.9366,6.8519,1.65e+14,1.67e+14,6225920
400,6.7429,6.7576,1.73e+14,1.75e+14,6553600
420,6.7001,6.6860,1.82e+14,1.84e+14,6881280
440,6.5826,6.5885,1.91e+14,1.93e+14,7208960
460,6.5008,6.5001,1.99e+14,2.02e+14,7536640
480,6.3481,6.4202,2.08e+14,2.10e+14,7864320
500,6.3517,6.3514,2.17e+14,2.19e+14,8192000
520,6.2949,6.2917,2.25e+14,2.28e+14,8519680
540,6.1772,6.2287,2.34e+14,2.37e+14,8847360
560,6.1333,6.1791,2.42e+14,2.46e+14,9175040
580,6.1041,6.1356,2.51e+14,2.54e+14,9502720
600,6.0803,6.0924,2.60e+14,2.63e+14,9830400
620,6.0259,6.0363,2.68e+14,2.72e+14,10158080
640,5.9565,5.9963,2.77e+14,2.81e+14,10485760
660,5.9466,5.9634,2.86e+14,2.89e+14,10813440
