step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.7336,10.7206,4.33e+12,4.38e+12,163840
40,10.2953,10.2707,8.66e+12,8.77e+12,327680
60,9.6121,9.5776,1.30e+13,1.32e+13,491520
80,8.7879,8.7699,1.73e+13,1.75e+13,655360
100,8.1116,8.0325,2.17e+13,2.19e+13,819200
120,7.5861,7.5720,2.60e+13,2.63e+13,983040
140,7.4730,7.4960,3.03e+13,3.07e+13,1146880
160,7.4289,7.4955,3.46e+13,3.51e+13,1310720
180,7.4403,7.4954,3.90e+13,3.95e+13,1474560
200,7.5069,7.4978,4.33e+13,4.38e+13,1638400
220,7.4669,7.4975,4.76e+13,4.82e+13,1802240
240,7.5671,7.4814,5.20e+13,5.26e+13,1966080
260,7.3069,7.3599,5.63e+13,5.70e+13,2129920
280,7.2016,7.2733,6.06e+13,6.14e+13,2293760
300,7.2985,7.2118,6.50e+13,6.58e+13,2457600
320,7.1328,7.1363,6.93e+13,7.02e+13,2621440
340,7.0664,7.0686,7.36e+13,7.45e+13,2785280
360,6.9869,6.9211,7.79e+13,7.89e+13,2949120
380,6.9124,6.8226,8.23e+13,8.33e+13,3112960
400,6.7812,6.7924,8.66e+13,8.77e+13,3276800
420,6.6927,6.6476,9.09e+13,9.21e+13,3440640
440,6.4840,6.5621,9.53e+13,9.65e+13,3604480
460,6.4945,6.4991,9.96e+13,1.01e+14,3768320
480,6.4872,6.4316,1.04e+14,1.05e+14,3932160
500,6.3938,6.3766,1.08e+14,1.10e+14,4096000
520,6.3149,6.3301,1.13e+14,1.14e+14,4259840
540,6.1991,6.2821,1.17e+14,1.18e+14,4423680
560,6.2842,6.2400,1.21e+14,1.23e+14,4587520
580,6.2179,6.2046,1.26e+14,1.27e+14,4751360
600,6.1240,6.1680,1.30e+14,1.32e+14,4915200
620,6.1138,6.1323,1.34e+14,1.36e+14,5079040
640,6.1345,6.1078,1.39e+14,1.40e+14,5242880
660,6.0013,6.0739,1.43e+14,1.45e+14,5406720
680,6.0731,6.0462,1.47e+14,1.49e+14,5570560
700,6.0970,6.0107,1.52e+14,1.53e+14,5734400
720,5.9809,5.9753,1.56e+14,1.58e+14,5898240
740,5.9318,5.9472,1.60e+14,1.62e+14,6062080
760,5.9832,5.9141,1.65e+14,1.67e+14,6225920
780,5.8771,5.8969,1.69e+14,1.71e+14,6389760
800,5.8074,5.8609,1.73e+14,1.75e+14,6553600
820,5.8922,5.8203,1.78e+14,1.80e+14,6717440
840,5.7990,5.8003,1.82e+14,1.84e+14,6881280
860,5.6975,5.7659,1.86e+14,1.89e+14,7045120
880,5.7968,5.7447,1.91e+14,1.93e+14,7208960
900,5.7660,5.7234,1.95e+14,1.97e+14,7372800
920,5.6968,5.6993,1.99e+14,2.02e+14,7536640
940,5.6882,5.6676,2.04e+14,2.06e+14,7700480
