step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.1399,10.0973,8.37e+12,8.37e+12,409600
100,8.4056,8.3524,1.67e+13,1.67e+13,819200
150,7.5894,7.5673,2.51e+13,2.51e+13,1228800
200,7.1916,7.2212,3.35e+13,3.35e+13,1638400
250,6.9060,6.9015,4.19e+13,4.18e+13,2048000
300,6.5395,6.6877,5.02e+13,5.02e+13,2457600
350,6.4442,6.5308,5.86e+13,5.86e+13,2867200
400,6.3304,6.4114,6.70e+13,6.70e+13,3276800
450,6.3059,6.3011,7.53e+13,7.53e+13,3686400
500,6.1806,6.2182,8.37e+13,8.37e+13,4096000
550,6.0599,6.1517,9.21e+13,9.21e+13,4505600
600,6.0619,6.0920,1.00e+14,1.00e+14,4915200
650,6.0313,6.0464,1.09e+14,1.09e+14,5324800
700,6.0303,6.0009,1.17e+14,1.17e+14,5734400
750,5.9752,5.9789,1.26e+14,1.26e+14,6144000
800,6.0974,5.9443,1.34e+14,1.34e+14,6553600
850,5.7663,5.8988,1.42e+14,1.42e+14,6963200
900,5.7956,5.8643,1.51e+14,1.51e+14,7372800
950,5.8784,5.8328,1.59e+14,1.59e+14,7782400
1000,5.7381,5.8102,1.67e+14,1.67e+14,8192000
1050,5.8180,5.7880,1.76e+14,1.76e+14,8601600
1100,5.7166,5.7686,1.84e+14,1.84e+14,9011200
1150,5.6176,5.7470,1.93e+14,1.92e+14,9420800
1200,5.6611,5.7293,2.01e+14,2.01e+14,9830400
1250,5.6669,5.7110,2.09e+14,2.09e+14,10240000
1300,5.7306,5.6919,2.18e+14,2.18e+14,10649600
1350,5.6245,5.6766,2.26e+14,2.26e+14,11059200
1400,5.6796,5.6727,2.34e+14,2.34e+14,11468800
1450,5.6987,5.6531,2.43e+14,2.43e+14,11878400
1500,5.5946,5.6436,2.51e+14,2.51e+14,12288000
1550,5.4186,5.6309,2.59e+14,2.59e+14,12697600
1600,5.5748,5.6176,2.68e+14,2.68e+14,13107200
1650,5.5810,5.6064,2.76e+14,2.76e+14,13516800
1700,5.4704,5.5999,2.85e+14,2.85e+14,13926400
1750,5.6574,5.5889,2.93e+14,2.93e+14,14336000
1800,5.6989,5.5805,3.01e+14,3.01e+14,14745600
1850,5.4675,5.5713,3.10e+14,3.10e+14,15155200
1900,5.4865,5.5682,3.18e+14,3.18e+14,15564800
1950,5.5284,5.5595,3.26e+14,3.26e+14,15974400
2000,5.4055,5.5473,3.35e+14,3.35e+14,16384000
2050,5.4511,5.5387,3.43e+14,3.43e+14,16793600
2100,5.4394,5.5349,3.52e+14,3.52e+14,17203200
2150,5.5446,5.5292,3.60e+14,3.60e+14,17612800
2200,5.6222,5.5220,3.68e+14,3.68e+14,18022400
2250,5.5788,5.5144,3.77e+14,3.77e+14,18432000
2300,5.3782,5.5070,3.85e+14,3.85e+14,18841600
2350,5.3540,5.5017,3.93e+14,3.93e+14,19251200
2400,5.4931,5.4914,4.02e+14,4.02e+14,19660800
2450,5.4937,5.4889,4.10e+14,4.10e+14,20070400
2500,5.5919,5.4797,4.19e+14,4.18e+14,20480000
2550,5.5655,5.4772,4.27e+14,4.27e+14,20889600
2600,5.3345,5.4712,4.35e+14,4.35e+14,21299200
2650,5.3797,5.4698,4.44e+14,4.44e+14,21708800
2700,5.4660,5.4641,4.52e+14,4.52e+14,22118400
2750,5.4228,5.4557,4.60e+14,4.60e+14,22528000
2800,5.4119,5.4561,4.69e+14,4.69e+14,22937600
2850,5.3646,5.4474,4.77e+14,4.77e+14,23347200
2900,5.5857,5.4425,4.85e+14,4.85e+14,23756800
2950,5.3592,5.4413,4.94e+14,4.94e+14,24166400
3000,5.4141,5.4350,5.02e+14,5.02e+14,24576000
3050,5.2952,5.4334,5.11e+14,5.11e+14,24985600
3100,5.3749,5.4252,5.19e+14,5.19e+14,25395200
3150,5.4130,5.4265,5.27e+14,5.27e+14,25804800
3200,5.3003,5.4214,5.36e+14,5.36e+14,26214400
3250,5.2872,5.4128,5.44e+14,5.44e+14,26624000
3300,5.3729,5.4109,5.52e+14,5.52e+14,27033600
3350,5.3995,5.4132,5.61e+14,5.61e+14,27443200
3400,5.3649,5.4014,5.69e+14,5.69e+14,27852800
3450,5.4200,5.3961,5.78e+14,5.77e+14,28262400
3500,5.4349,5.3930,5.86e+14,5.86e+14,28672000
3550,5.3509,5.3947,5.94e+14,5.94e+14,29081600
3600,5.2883,5.3869,6.03e+14,6.03e+14,29491200
3650,5.3493,5.3849,6.11e+14,6.11e+14,29900800
3700,5.3715,5.3768,6.19e+14,6.19e+14,30310400
3750,5.5562,5.3770,6.28e+14,6.28e+14,30720000
3800,5.2729,5.3753,6.36e+14,6.36e+14,31129600
3850,5.2685,5.3756,6.44e+14,6.44e+14,31539200
3900,5.0906,5.3724,6.53e+14,6.53e+14,31948800
3950,5.2464,5.3665,6.61e+14,6.61e+14,32358400
4000,5.3866,5.3604,6.70e+14,6.70e+14,32768000
4050,5.3681,5.3589,6.78e+14,6.78e+14,33177600
4100,5.2758,5.3544,6.86e+14,6.86e+14,33587200
4150,5.2870,5.3511,6.95e+14,6.95e+14,33996800
4200,5.3057,5.3471,7.03e+14,7.03e+14,34406400
4250,5.3421,5.3466,7.11e+14,7.11e+14,34816000
4300,5.2985,5.3394,7.20e+14,7.20e+14,35225600
4350,5.2639,5.3379,7.28e+14,7.28e+14,35635200
4400,5.2239,5.3348,7.37e+14,7.37e+14,36044800
4450,5.3503,5.3328,7.45e+14,7.45e+14,36454400
4500,5.2686,5.3324,7.53e+14,7.53e+14,36864000
4550,5.3651,5.3241,7.62e+14,7.62e+14,37273600
4600,5.2245,5.3230,7.70e+14,7.70e+14,37683200
4650,5.2143,5.3204,7.78e+14,7.78e+14,38092800
4700,5.2443,5.3160,7.87e+14,7.87e+14,38502400
4750,5.2917,5.3137,7.95e+14,7.95e+14,38912000
4800,5.1678,5.3123,8.04e+14,8.03e+14,39321600
4850,5.3200,5.3077,8.12e+14,8.12e+14,39731200
4900,5.2695,5.3055,8.20e+14,8.20e+14,40140800
4950,5.2730,5.3012,8.29e+14,8.29e+14,40550400
5000,5.2284,5.2999,8.37e+14,8.37e+14,40960000
5050,5.3974,5.2978,8.45e+14,8.45e+14,41369600
5100,5.3013,5.2952,8.54e+14,8.54e+14,41779200
5150,5.2380,5.2904,8.62e+14,8.62e+14,42188800
5200,5.1430,5.2896,8.70e+14,8.70e+14,42598400
5250,5.2474,5.2862,8.79e+14,8.79e+14,43008000
5300,5.2063,5.2826,8.87e+14,8.87e+14,43417600
5350,5.3105,5.2803,8.96e+14,8.96e+14,43827200
5400,5.0929,5.2781,9.04e+14,9.04e+14,44236800
5450,5.2420,5.2743,9.12e+14,9.12e+14,44646400
5500,5.2385,5.2704,9.21e+14,9.21e+14,45056000
5550,5.1902,5.2697,9.29e+14,9.29e+14,45465600
5600,5.2996,5.2687,9.37e+14,9.37e+14,45875200
5650,5.1698,5.2660,9.46e+14,9.46e+14,46284800
5700,5.2289,5.2636,9.54e+14,9.54e+14,46694400
5750,5.1372,5.2618,9.63e+14,9.62e+14,47104000
5800,5.2558,5.2599,9.71e+14,9.71e+14,47513600
5850,5.1776,5.2568,9.79e+14,9.79e+14,47923200
5900,5.2113,5.2552,9.88e+14,9.88e+14,48332800
5950,5.1884,5.2537,9.96e+14,9.96e+14,48742400
6000,5.1892,5.2514,1.00e+15,1.00e+15,49152000
6050,5.2842,5.2497,1.01e+15,1.01e+15,49561600
6100,5.0825,5.2477,1.02e+15,1.02e+15,49971200
6150,5.2437,5.2455,1.03e+15,1.03e+15,50380800
6200,5.1133,5.2427,1.04e+15,1.04e+15,50790400
6250,5.2130,5.2419,1.05e+15,1.05e+15,51200000
6300,5.2818,5.2397,1.05e+15,1.05e+15,51609600
6350,5.1728,5.2394,1.06e+15,1.06e+15,52019200
6400,5.1607,5.2374,1.07e+15,1.07e+15,52428800
6450,5.0639,5.2365,1.08e+15,1.08e+15,52838400
6500,5.0444,5.2347,1.09e+15,1.09e+15,53248000
6550,5.1439,5.2333,1.10e+15,1.10e+15,53657600
6600,5.1931,5.2313,1.10e+15,1.10e+15,54067200
6650,5.2125,5.2300,1.11e+15,1.11e+15,54476800
6700,5.2091,5.2289,1.12e+15,1.12e+15,54886400
6750,5.1604,5.2284,1.13e+15,1.13e+15,55296000
6800,5.2906,5.2276,1.14e+15,1.14e+15,55705600
6850,5.0563,5.2257,1.15e+15,1.15e+15,56115200
6900,5.0298,5.2251,1.16e+15,1.15e+15,56524800
6950,5.1323,5.2238,1.16e+15,1.16e+15,56934400
7000,5.1681,5.2240,1.17e+15,1.17e+15,57344000
7050,5.1456,5.2226,1.18e+15,1.18e+15,57753600
7100,5.1824,5.2214,1.19e+15,1.19e+15,58163200
7150,5.2116,5.2210,1.20e+15,1.20e+15,58572800
7200,5.1988,5.2205,1.21e+15,1.21e+15,58982400
7250,5.1077,5.2199,1.21e+15,1.21e+15,59392000
7300,5.1371,5.2190,1.22e+15,1.22e+15,59801600
7350,5.1037,5.2175,1.23e+15,1.23e+15,60211200
