step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.1466,10.1028,8.37e+12,8.37e+12,409600
100,8.3810,8.3296,1.67e+13,1.67e+13,819200
150,7.5763,7.5474,2.51e+13,2.51e+13,1228800
200,7.1694,7.2010,3.35e+13,3.35e+13,1638400
250,6.9092,6.8976,4.19e+13,4.18e+13,2048000
300,6.5444,6.6824,5.02e+13,5.02e+13,2457600
350,6.4387,6.5269,5.86e+13,5.86e+13,2867200
400,6.3275,6.4019,6.70e+13,6.70e+13,3276800
450,6.2974,6.2998,7.53e+13,7.53e+13,3686400
500,6.1826,6.2219,8.37e+13,8.37e+13,4096000
550,6.0439,6.1506,9.21e+13,9.21e+13,4505600
600,6.0556,6.0869,1.00e+14,1.00e+14,4915200
650,6.0147,6.0444,1.09e+14,1.09e+14,5324800
700,6.0232,6.0019,1.17e+14,1.17e+14,5734400
750,5.9696,5.9767,1.26e+14,1.26e+14,6144000
800,6.0934,5.9293,1.34e+14,1.34e+14,6553600
850,5.7557,5.8913,1.42e+14,1.42e+14,6963200
900,5.7743,5.8483,1.51e+14,1.51e+14,7372800
950,5.8624,5.8184,1.59e+14,1.59e+14,7782400
1000,5.7236,5.7926,1.67e+14,1.67e+14,8192000
1050,5.7907,5.7681,1.76e+14,1.76e+14,8601600
1100,5.6801,5.7458,1.84e+14,1.84e+14,9011200
1150,5.5985,5.7229,1.93e+14,1.92e+14,9420800
1200,5.6232,5.7042,2.01e+14,2.01e+14,9830400
1250,5.6226,5.6862,2.09e+14,2.09e+14,10240000
1300,5.7202,5.6684,2.18e+14,2.18e+14,10649600
1350,5.5948,5.6494,2.26e+14,2.26e+14,11059200
1400,5.6534,5.6393,2.34e+14,2.34e+14,11468800
1450,5.6708,5.6256,2.43e+14,2.43e+14,11878400
1500,5.5763,5.6137,2.51e+14,2.51e+14,12288000
1550,5.3843,5.6039,2.60e+14,2.59e+14,12697600
1600,5.5462,5.5873,2.68e+14,2.68e+14,13107200
1650,5.5474,5.5767,2.76e+14,2.76e+14,13516800
1700,5.4198,5.5664,2.85e+14,2.85e+14,13926400
1750,5.6335,5.5575,2.93e+14,2.93e+14,14336000
1800,5.6709,5.5494,3.01e+14,3.01e+14,14745600
1850,5.4329,5.5390,3.10e+14,3.10e+14,15155200
1900,5.4674,5.5337,3.18e+14,3.18e+14,15564800
1950,5.4907,5.5256,3.26e+14,3.26e+14,15974400
2000,5.3881,5.5162,3.35e+14,3.35e+14,16384000
2050,5.4067,5.5098,3.43e+14,3.43e+14,16793600
2100,5.3975,5.5012,3.52e+14,3.52e+14,17203200
2150,5.5180,5.4945,3.60e+14,3.60e+14,17612800
2200,5.5845,5.4878,3.68e+14,3.68e+14,18022400
2250,5.5513,5.4811,3.77e+14,3.77e+14,18432000
2300,5.3484,5.4754,3.85e+14,3.85e+14,18841600
2350,5.3317,5.4687,3.93e+14,3.93e+14,19251200
