step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.8371,10.8359,8.37e+12,8.37e+12,409600
100,10.8260,10.8248,1.67e+13,1.67e+13,819200
150,10.7957,10.8017,2.51e+13,2.51e+13,1228800
200,10.7659,10.7603,3.35e+13,3.35e+13,1638400
250,10.7096,10.7089,4.19e+13,4.18e+13,2048000
300,10.6572,10.6598,5.02e+13,5.02e+13,2457600
350,10.6075,10.6115,5.86e+13,5.86e+13,2867200
400,10.5565,10.5608,6.70e+13,6.70e+13,3276800
450,10.5037,10.5056,7.53e+13,7.53e+13,3686400
500,10.4460,10.4445,8.37e+13,8.37e+13,4096000
550,10.3738,10.3773,9.21e+13,9.21e+13,4505600
600,10.3042,10.3036,1.00e+14,1.00e+14,4915200
650,10.2195,10.2236,1.09e+14,1.09e+14,5324800
700,10.1498,10.1371,1.17e+14,1.17e+14,5734400
750,10.0481,10.0446,1.26e+14,1.26e+14,6144000
800,9.9717,9.9526,1.34e+14,1.34e+14,6553600
850,9.8558,9.8639,1.42e+14,1.42e+14,6963200
900,9.7756,9.7789,1.51e+14,1.51e+14,7372800
950,9.7200,9.6974,1.59e+14,1.59e+14,7782400
1000,9.5961,9.6200,1.67e+14,1.67e+14,8192000
1050,9.5394,9.5454,1.76e+14,1.76e+14,8601600
1100,9.4626,9.4742,1.84e+14,1.84e+14,9011200
1150,9.3913,9.4057,1.93e+14,1.92e+14,9420800
1200,9.3320,9.3399,2.01e+14,2.01e+14,9830400
1250,9.2732,9.2768,2.09e+14,2.09e+14,10240000
1300,9.2534,9.2160,2.18e+14,2.18e+14,10649600
1350,9.1427,9.1577,2.26e+14,2.26e+14,11059200
1400,9.1121,9.1017,2.34e+14,2.34e+14,11468800
1450,9.0595,9.0476,2.43e+14,2.43e+14,11878400
1500,8.9879,8.9958,2.51e+14,2.51e+14,12288000
1550,8.9006,8.9457,2.60e+14,2.59e+14,12697600
1600,8.9037,8.8972,2.68e+14,2.68e+14,13107200
1650,8.8498,8.8505,2.76e+14,2.76e+14,13516800
1700,8.7922,8.8058,2.85e+14,2.85e+14,13926400
1750,8.7550,8.7625,2.93e+14,2.93e+14,14336000
1800,8.7792,8.7209,3.01e+14,3.01e+14,14745600
1850,8.6573,8.6806,3.10e+14,3.10e+14,15155200
1900,8.6522,8.6416,3.18e+14,3.18e+14,15564800
1950,8.5884,8.6042,3.26e+14,3.26e+14,15974400
2000,8.5318,8.5681,3.35e+14,3.35e+14,16384000
2050,8.5351,8.5332,3.43e+14,3.43e+14,16793600
2100,8.5083,8.4993,3.52e+14,3.52e+14,17203200
2150,8.5237,8.4668,3.60e+14,3.60e+14,17612800
2200,8.4725,8.4350,3.68e+14,3.68e+14,18022400
2250,8.4308,8.4047,3.77e+14,3.77e+14,18432000
2300,8.3856,8.3752,3.85e+14,3.85e+14,18841600
2350,8.2859,8.3465,3.93e+14,3.93e+14,19251200
2400,8.3924,8.3188,4.02e+14,4.02e+14,19660800
2450,8.2762,8.2922,4.10e+14,4.10e+14,20070400
2500,8.3285,8.2664,4.19e+14,4.18e+14,20480000
2550,8.2644,8.2414,4.27e+14,4.27e+14,20889600
2600,8.1286,8.2172,4.35e+14,4.35e+14,21299200
2650,8.1587,8.1944,4.44e+14,4.44e+14,21708800
2700,8.1897,8.1712,4.52e+14,4.52e+14,22118400
2750,8.1301,8.1493,4.60e+14,4.60e+14,22528000
2800,8.1200,8.1288,4.69e+14,4.69e+14,22937600
2850,8.0952,8.1079,4.77e+14,4.77e+14,23347200
2900,8.1996,8.0886,4.86e+14,4.85e+14,23756800
2950,8.0341,8.0690,4.94e+14,4.94e+14,24166400
3000,8.0446,8.0505,5.02e+14,5.02e+14,24576000
3050,7.9582,8.0328,5.11e+14,5.11e+14,24985600
3100,8.0783,8.0153,5.19e+14,5.19e+14,25395200
3150,8.0544,7.9986,5.27e+14,5.27e+14,25804800
3200,7.8760,7.9823,5.36e+14,5.36e+14,26214400
3250,7.9311,7.9664,5.44e+14,5.44e+14,26624000
3300,7.9839,7.9511,5.53e+14,5.52e+14,27033600
3350,7.9704,7.9362,5.61e+14,5.61e+14,27443200
3400,7.9857,7.9217,5.69e+14,5.69e+14,27852800
3450,7.9488,7.9080,5.78e+14,5.77e+14,28262400
3500,7.9440,7.8944,5.86e+14,5.86e+14,28672000
3550,7.9071,7.8810,5.94e+14,5.94e+14,29081600
3600,7.8468,7.8683,6.03e+14,6.03e+14,29491200
3650,7.7920,7.8558,6.11e+14,6.11e+14,29900800
3700,7.8440,7.8435,6.20e+14,6.19e+14,30310400
3750,7.8649,7.8317,6.28e+14,6.28e+14,30720000
3800,7.8041,7.8203,6.36e+14,6.36e+14,31129600
3850,7.7015,7.8090,6.45e+14,6.44e+14,31539200
3900,7.6889,7.7981,6.53e+14,6.53e+14,31948800
3950,7.7308,7.7877,6.61e+14,6.61e+14,32358400
4000,7.8421,7.7774,6.70e+14,6.70e+14,32768000
4050,7.8101,7.7674,6.78e+14,6.78e+14,33177600
4100,7.7652,7.7579,6.86e+14,6.86e+14,33587200
4150,7.7656,7.7485,6.95e+14,6.95e+14,33996800
4200,7.7170,7.7392,7.03e+14,7.03e+14,34406400
4250,7.7704,7.7304,7.12e+14,7.11e+14,34816000
4300,7.8386,7.7219,7.20e+14,7.20e+14,35225600
4350,7.6995,7.7133,7.28e+14,7.28e+14,35635200
4400,7.6457,7.7051,7.37e+14,7.37e+14,36044800
