step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.1466,10.1028,8.37e+12,8.37e+12,409600
100,8.3810,8.3296,1.67e+13,1.67e+13,819200
150,7.5763,7.5474,2.51e+13,2.51e+13,1228800
200,7.1694,7.2010,3.35e+13,3.35e+13,1638400
250,6.9092,6.8976,4.19e+13,4.18e+13,2048000
300,6.5444,6.6824,5.02e+13,5.02e+13,2457600
350,6.4387,6.5269,5.86e+13,5.86e+13,2867200
400,6.3275,6.4019,6.70e+13,6.70e+13,3276800
450,6.2974,6.2998,7.53e+13,7.53e+13,3686400
500,6.1826,6.2219,8.37e+13,8.37e+13,4096000
550,6.0439,6.1506,9.21e+13,9.21e+13,4505600
600,6.0556,6.0869,1.00e+14,1.00e+14,4915200
650,6.0147,6.0444,1.09e+14,1.09e+14,5324800
700,6.0232,6.0019,1.17e+14,1.17e+14,5734400
750,5.9701,5.9770,1.26e+14,1.26e+14,6144000
800,6.0981,5.9341,1.34e+14,1.34e+14,6553600
850,5.7653,5.9018,1.42e+14,1.42e+14,6963200
900,5.7870,5.8591,1.51e+14,1.51e+14,7372800
950,5.8754,5.8310,1.59e+14,1.59e+14,7782400
1000,5.7389,5.8051,1.67e+14,1.67e+14,8192000
1050,5.8079,5.7821,1.76e+14,1.76e+14,8601600
1100,5.6974,5.7620,1.84e+14,1.84e+14,9011200
1150,5.6176,5.7401,1.93e+14,1.92e+14,9420800
1200,5.6437,5.7243,2.01e+14,2.01e+14,9830400
1250,5.6437,5.7097,2.09e+14,2.09e+14,10240000
1300,5.7432,5.6880,2.18e+14,2.18e+14,10649600
1350,5.6193,5.6718,2.26e+14,2.26e+14,11059200
1400,5.6788,5.6633,2.34e+14,2.34e+14,11468800
1450,5.6916,5.6470,2.43e+14,2.43e+14,11878400
1500,5.5993,5.6372,2.51e+14,2.51e+14,12288000
1550,5.4027,5.6257,2.60e+14,2.59e+14,12697600
1600,5.5703,5.6114,2.68e+14,2.68e+14,13107200
1650,5.5688,5.5969,2.76e+14,2.76e+14,13516800
1700,5.4429,5.5909,2.85e+14,2.85e+14,13926400
1750,5.6612,5.5818,2.93e+14,2.93e+14,14336000
1800,5.6924,5.5715,3.01e+14,3.01e+14,14745600
1850,5.4579,5.5621,3.10e+14,3.10e+14,15155200
1900,5.4896,5.5580,3.18e+14,3.18e+14,15564800
1950,5.5099,5.5485,3.26e+14,3.26e+14,15974400
2000,5.4084,5.5380,3.35e+14,3.35e+14,16384000
2050,5.4329,5.5319,3.43e+14,3.43e+14,16793600
2100,5.4225,5.5252,3.52e+14,3.52e+14,17203200
2150,5.5401,5.5150,3.60e+14,3.60e+14,17612800
2200,5.6051,5.5092,3.68e+14,3.68e+14,18022400
2250,5.5730,5.5042,3.77e+14,3.77e+14,18432000
2300,5.3701,5.4957,3.85e+14,3.85e+14,18841600
2350,5.3563,5.4920,3.93e+14,3.93e+14,19251200
