step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.1966,10.1523,8.37e+12,8.37e+12,409600
100,8.4155,8.3660,1.67e+13,1.67e+13,819200
150,7.6475,7.6215,2.51e+13,2.51e+13,1228800
200,7.3883,7.4268,3.35e+13,3.35e+13,1638400
250,7.2510,7.2141,4.19e+13,4.18e+13,2048000
300,6.8396,6.9914,5.02e+13,5.02e+13,2457600
350,6.7167,6.7949,5.86e+13,5.86e+13,2867200
400,6.6113,6.6877,6.70e+13,6.70e+13,3276800
450,6.6149,6.5941,7.53e+13,7.53e+13,3686400
500,6.4892,6.5193,8.37e+13,8.37e+13,4096000
550,6.3661,6.4474,9.21e+13,9.21e+13,4505600
600,6.3446,6.3753,1.00e+14,1.00e+14,4915200
650,6.3003,6.3196,1.09e+14,1.09e+14,5324800
700,6.2747,6.2492,1.17e+14,1.17e+14,5734400
750,6.2060,6.2083,1.26e+14,1.26e+14,6144000
800,6.3039,6.1595,1.34e+14,1.34e+14,6553600
850,5.9777,6.1027,1.42e+14,1.42e+14,6963200
900,6.0074,6.0612,1.51e+14,1.51e+14,7372800
950,6.0527,6.0267,1.59e+14,1.59e+14,7782400
1000,5.9231,5.9858,1.67e+14,1.67e+14,8192000
1050,5.9783,5.9603,1.76e+14,1.76e+14,8601600
1100,5.8799,5.9295,1.84e+14,1.84e+14,9011200
1150,5.7971,5.9077,1.93e+14,1.92e+14,9420800
1200,5.8032,5.8791,2.01e+14,2.01e+14,9830400
1250,5.8173,5.8568,2.09e+14,2.09e+14,10240000
1300,5.8631,5.8322,2.18e+14,2.18e+14,10649600
1350,5.7511,5.8114,2.26e+14,2.26e+14,11059200
1400,5.7981,5.7991,2.34e+14,2.34e+14,11468800
1450,5.8318,5.7842,2.43e+14,2.43e+14,11878400
1500,5.7249,5.7680,2.51e+14,2.51e+14,12288000
1550,5.5341,5.7518,2.59e+14,2.59e+14,12697600
1600,5.6888,5.7383,2.68e+14,2.68e+14,13107200
1650,5.7145,5.7231,2.76e+14,2.76e+14,13516800
1700,5.5855,5.7078,2.85e+14,2.85e+14,13926400
1750,5.7622,5.6999,2.93e+14,2.93e+14,14336000
1800,5.7928,5.6835,3.01e+14,3.01e+14,14745600
1850,5.5721,5.6737,3.10e+14,3.10e+14,15155200
1900,5.6020,5.6643,3.18e+14,3.18e+14,15564800
1950,5.6270,5.6595,3.26e+14,3.26e+14,15974400
2000,5.5188,5.6438,3.35e+14,3.35e+14,16384000
2050,5.5368,5.6353,3.43e+14,3.43e+14,16793600
2100,5.5440,5.6282,3.52e+14,3.52e+14,17203200
2150,5.6520,5.6156,3.60e+14,3.60e+14,17612800
2200,5.7123,5.6100,3.68e+14,3.68e+14,18022400
2250,5.6579,5.5999,3.77e+14,3.77e+14,18432000
2300,5.4797,5.5898,3.85e+14,3.85e+14,18841600
2350,5.4352,5.5867,3.93e+14,3.93e+14,19251200
2400,5.5617,5.5724,4.02e+14,4.02e+14,19660800
2450,5.5773,5.5732,4.10e+14,4.10e+14,20070400
2500,5.6928,5.5616,4.19e+14,4.18e+14,20480000
2550,5.6386,5.5598,4.27e+14,4.27e+14,20889600
2600,5.4258,5.5520,4.35e+14,4.35e+14,21299200
2650,5.4436,5.5454,4.44e+14,4.44e+14,21708800
2700,5.5255,5.5375,4.52e+14,4.52e+14,22118400
2750,5.4837,5.5295,4.60e+14,4.60e+14,22528000
2800,5.4966,5.5312,4.69e+14,4.69e+14,22937600
2850,5.4586,5.5213,4.77e+14,4.77e+14,23347200
2900,5.6602,5.5154,4.86e+14,4.85e+14,23756800
2950,5.4412,5.5086,4.94e+14,4.94e+14,24166400
3000,5.4692,5.5067,5.02e+14,5.02e+14,24576000
3050,5.3573,5.5020,5.11e+14,5.11e+14,24985600
3100,5.4460,5.4922,5.19e+14,5.19e+14,25395200
3150,5.4856,5.4939,5.27e+14,5.27e+14,25804800
3200,5.3643,5.4902,5.36e+14,5.36e+14,26214400
3250,5.3646,5.4794,5.44e+14,5.44e+14,26624000
3300,5.4486,5.4746,5.52e+14,5.52e+14,27033600
3350,5.4738,5.4730,5.61e+14,5.61e+14,27443200
3400,5.4241,5.4647,5.69e+14,5.69e+14,27852800
3450,5.4952,5.4625,5.78e+14,5.77e+14,28262400
3500,5.4843,5.4568,5.86e+14,5.86e+14,28672000
3550,5.4218,5.4553,5.94e+14,5.94e+14,29081600
3600,5.3464,5.4484,6.03e+14,6.03e+14,29491200
3650,5.4141,5.4445,6.11e+14,6.11e+14,29900800
3700,5.4437,5.4423,6.19e+14,6.19e+14,30310400
3750,5.6020,5.4407,6.28e+14,6.28e+14,30720000
3800,5.3335,5.4364,6.36e+14,6.36e+14,31129600
3850,5.3148,5.4348,6.45e+14,6.44e+14,31539200
3900,5.1668,5.4320,6.53e+14,6.53e+14,31948800
3950,5.3217,5.4253,6.61e+14,6.61e+14,32358400
4000,5.4397,5.4224,6.70e+14,6.70e+14,32768000
4050,5.4192,5.4208,6.78e+14,6.78e+14,33177600
4100,5.3459,5.4121,6.86e+14,6.86e+14,33587200
4150,5.3302,5.4077,6.95e+14,6.95e+14,33996800
4200,5.3497,5.4038,7.03e+14,7.03e+14,34406400
4250,5.3948,5.4027,7.12e+14,7.11e+14,34816000
4300,5.3533,5.3948,7.20e+14,7.20e+14,35225600
4350,5.3216,5.3960,7.28e+14,7.28e+14,35635200
4400,5.2963,5.3919,7.37e+14,7.37e+14,36044800
4450,5.4168,5.3876,7.45e+14,7.45e+14,36454400
4500,5.3192,5.3873,7.53e+14,7.53e+14,36864000
4550,5.4407,5.3786,7.62e+14,7.62e+14,37273600
4600,5.2958,5.3773,7.70e+14,7.70e+14,37683200
4650,5.2718,5.3767,7.78e+14,7.78e+14,38092800
4700,5.3015,5.3703,7.87e+14,7.87e+14,38502400
4750,5.3649,5.3670,7.95e+14,7.95e+14,38912000
4800,5.2391,5.3639,8.04e+14,8.03e+14,39321600
4850,5.3725,5.3606,8.12e+14,8.12e+14,39731200
4900,5.3164,5.3566,8.20e+14,8.20e+14,40140800
4950,5.3193,5.3541,8.29e+14,8.29e+14,40550400
5000,5.2757,5.3531,8.37e+14,8.37e+14,40960000
5050,5.4567,5.3487,8.45e+14,8.45e+14,41369600
5100,5.3424,5.3457,8.54e+14,8.54e+14,41779200
5150,5.3135,5.3406,8.62e+14,8.62e+14,42188800
5200,5.2138,5.3412,8.71e+14,8.70e+14,42598400
5250,5.2929,5.3386,8.79e+14,8.79e+14,43008000
5300,5.2534,5.3353,8.87e+14,8.87e+14,43417600
5350,5.3769,5.3340,8.96e+14,8.96e+14,43827200
5400,5.1463,5.3318,9.04e+14,9.04e+14,44236800
5450,5.2840,5.3279,9.12e+14,9.12e+14,44646400
5500,5.2922,5.3238,9.21e+14,9.21e+14,45056000
5550,5.2382,5.3235,9.29e+14,9.29e+14,45465600
5600,5.3537,5.3199,9.38e+14,9.37e+14,45875200
5650,5.2448,5.3180,9.46e+14,9.46e+14,46284800
5700,5.2807,5.3156,9.54e+14,9.54e+14,46694400
5750,5.1940,5.3148,9.63e+14,9.62e+14,47104000
5800,5.3262,5.3121,9.71e+14,9.71e+14,47513600
5850,5.2271,5.3082,9.79e+14,9.79e+14,47923200
5900,5.2684,5.3068,9.88e+14,9.88e+14,48332800
5950,5.2469,5.3043,9.96e+14,9.96e+14,48742400
6000,5.2480,5.3032,1.00e+15,1.00e+15,49152000
6050,5.3232,5.3004,1.01e+15,1.01e+15,49561600
6100,5.1221,5.2989,1.02e+15,1.02e+15,49971200
6150,5.2816,5.2965,1.03e+15,1.03e+15,50380800
6200,5.1672,5.2956,1.04e+15,1.04e+15,50790400
6250,5.2461,5.2925,1.05e+15,1.05e+15,51200000
6300,5.3320,5.2903,1.05e+15,1.05e+15,51609600
6350,5.2356,5.2917,1.06e+15,1.06e+15,52019200
6400,5.2354,5.2886,1.07e+15,1.07e+15,52428800
6450,5.1255,5.2875,1.08e+15,1.08e+15,52838400
6500,5.0898,5.2855,1.09e+15,1.09e+15,53248000
6550,5.1916,5.2846,1.10e+15,1.10e+15,53657600
6600,5.2500,5.2826,1.10e+15,1.10e+15,54067200
6650,5.2765,5.2815,1.11e+15,1.11e+15,54476800
6700,5.2664,5.2802,1.12e+15,1.12e+15,54886400
6750,5.2146,5.2778,1.13e+15,1.13e+15,55296000
6800,5.3265,5.2774,1.14e+15,1.14e+15,55705600
6850,5.1316,5.2754,1.15e+15,1.15e+15,56115200
6900,5.0625,5.2748,1.16e+15,1.15e+15,56524800
6950,5.1900,5.2738,1.16e+15,1.16e+15,56934400
7000,5.2205,5.2742,1.17e+15,1.17e+15,57344000
7050,5.2007,5.2725,1.18e+15,1.18e+15,57753600
7100,5.2256,5.2719,1.19e+15,1.19e+15,58163200
7150,5.2624,5.2714,1.20e+15,1.20e+15,58572800
7200,5.2417,5.2708,1.21e+15,1.21e+15,58982400
7250,5.1708,5.2700,1.21e+15,1.21e+15,59392000
7300,5.1901,5.2688,1.22e+15,1.22e+15,59801600
7350,5.1664,5.2682,1.23e+15,1.23e+15,60211200
