step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.1123,10.0684,8.37e+12,8.37e+12,409600
100,8.4053,8.3538,1.67e+13,1.67e+13,819200
150,7.6552,7.6279,2.51e+13,2.51e+13,1228800
200,7.3016,7.3326,3.35e+13,3.35e+13,1638400
250,7.0664,7.0681,4.19e+13,4.18e+13,2048000
300,6.6667,6.8051,5.02e+13,5.02e+13,2457600
350,6.5508,6.6327,5.86e+13,5.86e+13,2867200
400,6.4223,6.5054,6.70e+13,6.70e+13,3276800
450,6.4019,6.3962,7.53e+13,7.53e+13,3686400
500,6.2789,6.3032,8.37e+13,8.37e+13,4096000
550,6.1450,6.2365,9.21e+13,9.21e+13,4505600
600,6.1315,6.1709,1.00e+14,1.00e+14,4915200
650,6.1060,6.1144,1.09e+14,1.09e+14,5324800
700,6.0903,6.0627,1.17e+14,1.17e+14,5734400
750,6.0314,6.0285,1.26e+14,1.26e+14,6144000
800,6.1374,5.9924,1.34e+14,1.34e+14,6553600
850,5.8136,5.9426,1.42e+14,1.42e+14,6963200
900,5.8324,5.9084,1.51e+14,1.51e+14,7372800
950,5.9105,5.8735,1.59e+14,1.59e+14,7782400
1000,5.7811,5.8461,1.67e+14,1.67e+14,8192000
1050,5.8434,5.8234,1.76e+14,1.76e+14,8601600
1100,5.7582,5.8016,1.84e+14,1.84e+14,9011200
1150,5.6548,5.7803,1.93e+14,1.92e+14,9420800
1200,5.6686,5.7551,2.01e+14,2.01e+14,9830400
1250,5.6994,5.7394,2.09e+14,2.09e+14,10240000
1300,5.7531,5.7186,2.18e+14,2.18e+14,10649600
1350,5.6390,5.7003,2.26e+14,2.26e+14,11059200
1400,5.7006,5.6925,2.34e+14,2.34e+14,11468800
1450,5.7208,5.6749,2.43e+14,2.43e+14,11878400
1500,5.6285,5.6712,2.51e+14,2.51e+14,12288000
1550,5.4266,5.6515,2.60e+14,2.59e+14,12697600
1600,5.5948,5.6396,2.68e+14,2.68e+14,13107200
1650,5.5989,5.6223,2.76e+14,2.76e+14,13516800
1700,5.4715,5.6165,2.85e+14,2.85e+14,13926400
1750,5.6773,5.6068,2.93e+14,2.93e+14,14336000
1800,5.7277,5.5960,3.01e+14,3.01e+14,14745600
1850,5.4825,5.5823,3.10e+14,3.10e+14,15155200
1900,5.5156,5.5796,3.18e+14,3.18e+14,15564800
1950,5.5617,5.5747,3.26e+14,3.26e+14,15974400
2000,5.4263,5.5627,3.35e+14,3.35e+14,16384000
2050,5.4532,5.5518,3.43e+14,3.43e+14,16793600
2100,5.4581,5.5458,3.52e+14,3.52e+14,17203200
2150,5.5591,5.5368,3.60e+14,3.60e+14,17612800
2200,5.6317,5.5313,3.68e+14,3.68e+14,18022400
2250,5.5928,5.5259,3.77e+14,3.77e+14,18432000
2300,5.3980,5.5211,3.85e+14,3.85e+14,18841600
2350,5.3598,5.5096,3.93e+14,3.93e+14,19251200
2400,5.4917,5.5066,4.02e+14,4.02e+14,19660800
2450,5.5044,5.5014,4.10e+14,4.10e+14,20070400
2500,5.6012,5.4905,4.19e+14,4.18e+14,20480000
2550,5.5606,5.4834,4.27e+14,4.27e+14,20889600
2600,5.3520,5.4790,4.35e+14,4.35e+14,21299200
2650,5.3806,5.4762,4.44e+14,4.44e+14,21708800
2700,5.4636,5.4685,4.52e+14,4.52e+14,22118400
2750,5.4377,5.4627,4.60e+14,4.60e+14,22528000
2800,5.4142,5.4604,4.69e+14,4.69e+14,22937600
2850,5.3702,5.4542,4.77e+14,4.77e+14,23347200
2900,5.6019,5.4492,4.86e+14,4.85e+14,23756800
2950,5.3722,5.4466,4.94e+14,4.94e+14,24166400
3000,5.4047,5.4396,5.02e+14,5.02e+14,24576000
3050,5.3071,5.4345,5.11e+14,5.11e+14,24985600
3100,5.3706,5.4314,5.19e+14,5.19e+14,25395200
3150,5.4267,5.4315,5.27e+14,5.27e+14,25804800
3200,5.3084,5.4255,5.36e+14,5.36e+14,26214400
3250,5.2944,5.4171,5.44e+14,5.44e+14,26624000
3300,5.3939,5.4174,5.53e+14,5.52e+14,27033600
3350,5.4075,5.4148,5.61e+14,5.61e+14,27443200
3400,5.3772,5.4023,5.69e+14,5.69e+14,27852800
3450,5.4267,5.3972,5.78e+14,5.77e+14,28262400
3500,5.4331,5.3975,5.86e+14,5.86e+14,28672000
3550,5.3458,5.4003,5.94e+14,5.94e+14,29081600
3600,5.2829,5.3891,6.03e+14,6.03e+14,29491200
3650,5.3585,5.3884,6.11e+14,6.11e+14,29900800
3700,5.3675,5.3813,6.20e+14,6.19e+14,30310400
3750,5.5508,5.3778,6.28e+14,6.28e+14,30720000
3800,5.2733,5.3771,6.36e+14,6.36e+14,31129600
3850,5.2518,5.3776,6.45e+14,6.44e+14,31539200
3900,5.1022,5.3725,6.53e+14,6.53e+14,31948800
3950,5.2558,5.3695,6.61e+14,6.61e+14,32358400
4000,5.3879,5.3620,6.70e+14,6.70e+14,32768000
4050,5.3686,5.3611,6.78e+14,6.78e+14,33177600
4100,5.2703,5.3557,6.86e+14,6.86e+14,33587200
4150,5.2866,5.3508,6.95e+14,6.95e+14,33996800
4200,5.3038,5.3483,7.03e+14,7.03e+14,34406400
4250,5.3264,5.3459,7.12e+14,7.11e+14,34816000
4300,5.2979,5.3403,7.20e+14,7.20e+14,35225600
4350,5.2707,5.3414,7.28e+14,7.28e+14,35635200
4400,5.2257,5.3348,7.37e+14,7.37e+14,36044800
4450,5.3552,5.3333,7.45e+14,7.45e+14,36454400
4500,5.2719,5.3299,7.53e+14,7.53e+14,36864000
4550,5.3785,5.3219,7.62e+14,7.62e+14,37273600
4600,5.2303,5.3218,7.70e+14,7.70e+14,37683200
4650,5.2095,5.3220,7.79e+14,7.78e+14,38092800
4700,5.2508,5.3150,7.87e+14,7.87e+14,38502400
4750,5.2862,5.3127,7.95e+14,7.95e+14,38912000
4800,5.1563,5.3116,8.04e+14,8.03e+14,39321600
4850,5.3121,5.3076,8.12e+14,8.12e+14,39731200
4900,5.2574,5.3048,8.20e+14,8.20e+14,40140800
4950,5.2655,5.3000,8.29e+14,8.29e+14,40550400
5000,5.2283,5.2996,8.37e+14,8.37e+14,40960000
5050,5.4057,5.2964,8.46e+14,8.45e+14,41369600
5100,5.2987,5.2929,8.54e+14,8.54e+14,41779200
5150,5.2594,5.2885,8.62e+14,8.62e+14,42188800
5200,5.1576,5.2869,8.71e+14,8.70e+14,42598400
5250,5.2344,5.2838,8.79e+14,8.79e+14,43008000
5300,5.2086,5.2812,8.87e+14,8.87e+14,43417600
5350,5.3249,5.2792,8.96e+14,8.96e+14,43827200
5400,5.0974,5.2774,9.04e+14,9.04e+14,44236800
5450,5.2310,5.2731,9.13e+14,9.12e+14,44646400
5500,5.2512,5.2696,9.21e+14,9.21e+14,45056000
5550,5.1920,5.2690,9.29e+14,9.29e+14,45465600
5600,5.3000,5.2669,9.38e+14,9.37e+14,45875200
5650,5.1768,5.2653,9.46e+14,9.46e+14,46284800
5700,5.2263,5.2619,9.54e+14,9.54e+14,46694400
5750,5.1309,5.2603,9.63e+14,9.62e+14,47104000
5800,5.2754,5.2585,9.71e+14,9.71e+14,47513600
5850,5.1689,5.2573,9.79e+14,9.79e+14,47923200
5900,5.2159,5.2550,9.88e+14,9.88e+14,48332800
5950,5.2052,5.2522,9.96e+14,9.96e+14,48742400
6000,5.1853,5.2494,1.00e+15,1.00e+15,49152000
6050,5.2798,5.2471,1.01e+15,1.01e+15,49561600
6100,5.0859,5.2454,1.02e+15,1.02e+15,49971200
6150,5.2367,5.2436,1.03e+15,1.03e+15,50380800
6200,5.1063,5.2411,1.04e+15,1.04e+15,50790400
6250,5.2075,5.2385,1.05e+15,1.05e+15,51200000
6300,5.2828,5.2384,1.05e+15,1.05e+15,51609600
6350,5.1778,5.2371,1.06e+15,1.06e+15,52019200
6400,5.1785,5.2354,1.07e+15,1.07e+15,52428800
6450,5.0573,5.2345,1.08e+15,1.08e+15,52838400
6500,5.0458,5.2328,1.09e+15,1.09e+15,53248000
6550,5.1385,5.2314,1.10e+15,1.10e+15,53657600
6600,5.1970,5.2288,1.11e+15,1.10e+15,54067200
6650,5.2123,5.2280,1.11e+15,1.11e+15,54476800
6700,5.2206,5.2261,1.12e+15,1.12e+15,54886400
6750,5.1518,5.2256,1.13e+15,1.13e+15,55296000
6800,5.2766,5.2255,1.14e+15,1.14e+15,55705600
6850,5.0733,5.2225,1.15e+15,1.15e+15,56115200
6900,5.0167,5.2225,1.16e+15,1.15e+15,56524800
6950,5.1318,5.2216,1.16e+15,1.16e+15,56934400
7000,5.1661,5.2216,1.17e+15,1.17e+15,57344000
7050,5.1443,5.2205,1.18e+15,1.18e+15,57753600
7100,5.1897,5.2192,1.19e+15,1.19e+15,58163200
7150,5.2168,5.2192,1.20e+15,1.20e+15,58572800
7200,5.1799,5.2176,1.21e+15,1.21e+15,58982400
7250,5.1211,5.2174,1.21e+15,1.21e+15,59392000
7300,5.1373,5.2163,1.22e+15,1.22e+15,59801600
7350,5.1175,5.2156,1.23e+15,1.23e+15,60211200
