step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.3790,10.3592,1.35e+13,1.36e+13,409600
100,9.3433,9.2888,2.70e+13,2.73e+13,819200
150,8.2127,8.1880,4.05e+13,4.09e+13,1228800
200,7.7865,7.6135,5.40e+13,5.45e+13,1638400
250,7.2836,7.3576,6.75e+13,6.82e+13,2048000
300,7.0517,7.1161,8.09e+13,8.18e+13,2457600
350,6.9365,6.9295,9.44e+13,9.54e+13,2867200
400,6.7789,6.7767,1.08e+14,1.09e+14,3276800
450,6.8761,6.6566,1.21e+14,1.23e+14,3686400
500,6.6167,6.5475,1.35e+14,1.36e+14,4096000
550,6.6254,6.4614,1.48e+14,1.50e+14,4505600
600,6.3861,6.3704,1.62e+14,1.64e+14,4915200
650,6.3413,6.2971,1.75e+14,1.77e+14,5324800
700,6.3029,6.2307,1.89e+14,1.91e+14,5734400
750,6.0886,6.1587,2.02e+14,2.04e+14,6144000
800,6.0816,6.1054,2.16e+14,2.18e+14,6553600
850,5.9728,6.0453,2.29e+14,2.32e+14,6963200
900,5.9666,6.0039,2.43e+14,2.45e+14,7372800
950,5.9133,5.9621,2.56e+14,2.59e+14,7782400
1000,5.8987,5.9223,2.70e+14,2.73e+14,8192000
1050,6.0530,5.8843,2.83e+14,2.86e+14,8601600
1100,5.8907,5.8556,2.97e+14,3.00e+14,9011200
1150,5.8503,5.8218,3.10e+14,3.13e+14,9420800
1200,5.7893,5.8088,3.24e+14,3.27e+14,9830400
1250,5.7579,5.7716,3.37e+14,3.41e+14,10240000
1300,5.8663,5.7436,3.51e+14,3.54e+14,10649600
1350,5.7508,5.7145,3.64e+14,3.68e+14,11059200
1400,5.8647,5.6926,3.78e+14,3.82e+14,11468800
1450,5.5873,5.6645,3.91e+14,3.95e+14,11878400
1500,5.7980,5.6445,4.05e+14,4.09e+14,12288000
1550,5.5695,5.6200,4.18e+14,4.23e+14,12697600
1600,5.6808,5.6027,4.32e+14,4.36e+14,13107200
1650,5.6868,5.5856,4.45e+14,4.50e+14,13516800
1700,5.5730,5.5601,4.59e+14,4.63e+14,13926400
1750,5.7011,5.5433,4.72e+14,4.77e+14,14336000
1800,5.5349,5.5311,4.86e+14,4.91e+14,14745600
1850,5.6782,5.5137,4.99e+14,5.04e+14,15155200
1900,5.5877,5.5025,5.13e+14,5.18e+14,15564800
1950,5.4601,5.4888,5.26e+14,5.32e+14,15974400
2000,5.5794,5.4786,5.40e+14,5.45e+14,16384000
2050,5.4222,5.4659,5.53e+14,5.59e+14,16793600
2100,5.5129,5.4500,5.67e+14,5.72e+14,17203200
2150,5.3879,5.4410,5.80e+14,5.86e+14,17612800
2200,5.4793,5.4281,5.94e+14,6.00e+14,18022400
2250,5.3023,5.4199,6.07e+14,6.13e+14,18432000
2300,5.5415,5.4094,6.21e+14,6.27e+14,18841600
2350,5.5680,5.4002,6.34e+14,6.41e+14,19251200
2400,5.4593,5.3926,6.48e+14,6.54e+14,19660800
2450,5.3250,5.3836,6.61e+14,6.68e+14,20070400
2500,5.4304,5.3779,6.75e+14,6.82e+14,20480000
2550,5.3531,5.3637,6.88e+14,6.95e+14,20889600
2600,5.2420,5.3579,7.02e+14,7.09e+14,21299200
2650,5.3154,5.3494,7.15e+14,7.22e+14,21708800
2700,5.2653,5.3383,7.29e+14,7.36e+14,22118400
2750,5.3306,5.3317,7.42e+14,7.50e+14,22528000
2800,5.2604,5.3213,7.56e+14,7.63e+14,22937600
2850,5.3131,5.3179,7.69e+14,7.77e+14,23347200
2900,5.3384,5.3162,7.82e+14,7.91e+14,23756800
2950,5.2149,5.3038,7.96e+14,8.04e+14,24166400
3000,5.2627,5.2989,8.09e+14,8.18e+14,24576000
3050,5.3286,5.2921,8.23e+14,8.31e+14,24985600
3100,5.2752,5.2895,8.36e+14,8.45e+14,25395200
3150,5.2351,5.2788,8.50e+14,8.59e+14,25804800
3200,5.1883,5.2735,8.63e+14,8.72e+14,26214400
3250,5.1685,5.2686,8.77e+14,8.86e+14,26624000
3300,5.2312,5.2623,8.90e+14,9.00e+14,27033600
3350,5.2154,5.2540,9.04e+14,9.13e+14,27443200
3400,5.0797,5.2492,9.17e+14,9.27e+14,27852800
3450,5.2730,5.2451,9.31e+14,9.40e+14,28262400
