step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.0362,9.9481,6.71e+12,6.82e+12,327680
40,8.1442,8.0623,1.34e+13,1.36e+13,655360
60,7.5423,7.5349,2.01e+13,2.04e+13,983040
80,7.5780,7.5250,2.68e+13,2.73e+13,1310720
100,7.5261,7.5258,3.36e+13,3.41e+13,1638400
120,7.4708,7.5132,4.03e+13,4.09e+13,1966080
140,7.3235,7.3167,4.70e+13,4.77e+13,2293760
160,7.2958,7.2845,5.37e+13,5.45e+13,2621440
180,7.1594,7.1737,6.04e+13,6.13e+13,2949120
200,7.1248,7.0514,6.71e+13,6.82e+13,3276800
220,6.9691,6.9802,7.38e+13,7.50e+13,3604480
240,6.9152,6.9290,8.05e+13,8.18e+13,3932160
260,6.9017,6.8565,8.72e+13,8.86e+13,4259840
280,6.7387,6.8100,9.40e+13,9.54e+13,4587520
300,6.7507,6.7338,1.01e+14,1.02e+14,4915200
320,6.6994,6.6834,1.07e+14,1.09e+14,5242880
340,6.5656,6.6341,1.14e+14,1.16e+14,5570560
360,6.5633,6.5839,1.21e+14,1.23e+14,5898240
380,6.5129,6.5415,1.28e+14,1.30e+14,6225920
400,6.5098,6.4953,1.34e+14,1.36e+14,6553600
420,6.5433,6.4589,1.41e+14,1.43e+14,6881280
440,6.4289,6.4320,1.48e+14,1.50e+14,7208960
460,6.3827,6.3733,1.54e+14,1.57e+14,7536640
480,6.3587,6.3334,1.61e+14,1.64e+14,7864320
500,6.3493,6.2960,1.68e+14,1.70e+14,8192000
520,6.2781,6.2615,1.74e+14,1.77e+14,8519680
540,6.2216,6.2241,1.81e+14,1.84e+14,8847360
560,6.2628,6.1946,1.88e+14,1.91e+14,9175040
580,6.0982,6.1627,1.95e+14,1.98e+14,9502720
600,6.1467,6.1360,2.01e+14,2.04e+14,9830400
620,6.0897,6.1057,2.08e+14,2.11e+14,10158080
640,5.9995,6.0752,2.15e+14,2.18e+14,10485760
660,6.0325,6.0595,2.21e+14,2.25e+14,10813440
680,6.0056,6.0353,2.28e+14,2.32e+14,11141120
700,6.0307,6.0059,2.35e+14,2.39e+14,11468800
720,6.0274,5.9800,2.42e+14,2.45e+14,11796480
740,5.9128,5.9519,2.48e+14,2.52e+14,12124160
760,5.9132,5.9269,2.55e+14,2.59e+14,12451840
780,5.8996,5.9044,2.62e+14,2.66e+14,12779520
800,5.8682,5.8760,2.68e+14,2.73e+14,13107200
820,5.8979,5.8573,2.75e+14,2.79e+14,13434880
840,5.8890,5.8414,2.82e+14,2.86e+14,13762560
860,5.8043,5.8171,2.89e+14,2.93e+14,14090240
880,5.8565,5.8009,2.95e+14,3.00e+14,14417920
900,5.7544,5.7699,3.02e+14,3.07e+14,14745600
920,5.7566,5.7500,3.09e+14,3.14e+14,15073280
940,5.6965,5.7290,3.15e+14,3.20e+14,15400960
960,5.6838,5.7088,3.22e+14,3.27e+14,15728640
980,5.7383,5.6866,3.29e+14,3.34e+14,16056320
1000,5.5879,5.6655,3.36e+14,3.41e+14,16384000
1020,5.6259,5.6467,3.42e+14,3.48e+14,16711680
1040,5.6025,5.6304,3.49e+14,3.54e+14,17039360
1060,5.5962,5.6125,3.56e+14,3.61e+14,17367040
1080,5.5888,5.5904,3.62e+14,3.68e+14,17694720
1100,5.5457,5.5723,3.69e+14,3.75e+14,18022400
1120,5.5672,5.5535,3.76e+14,3.82e+14,18350080
1140,5.5202,5.5338,3.83e+14,3.89e+14,18677760
1160,5.5884,5.5175,3.89e+14,3.95e+14,19005440
1180,5.5285,5.4993,3.96e+14,4.02e+14,19333120
1200,5.4448,5.4824,4.03e+14,4.09e+14,19660800
1220,5.4794,5.4710,4.09e+14,4.16e+14,19988480
1240,5.4302,5.4517,4.16e+14,4.23e+14,20316160
1260,5.3649,5.4379,4.23e+14,4.29e+14,20643840
1280,5.4429,5.4242,4.29e+14,4.36e+14,20971520
1300,5.3495,5.4078,4.36e+14,4.43e+14,21299200
1320,5.3787,5.3944,4.43e+14,4.50e+14,21626880
1340,5.4496,5.3870,4.50e+14,4.57e+14,21954560
1360,5.3879,5.3734,4.56e+14,4.63e+14,22282240
1380,5.3911,5.3642,4.63e+14,4.70e+14,22609920
1400,5.3782,5.3529,4.70e+14,4.77e+14,22937600
1420,5.3618,5.3370,4.76e+14,4.84e+14,23265280
1440,5.2859,5.3261,4.83e+14,4.91e+14,23592960
1460,5.2734,5.3158,4.90e+14,4.98e+14,23920640
1480,5.2285,5.3065,4.97e+14,5.04e+14,24248320
1500,5.2949,5.2976,5.03e+14,5.11e+14,24576000
1520,5.2827,5.2861,5.10e+14,5.18e+14,24903680
1540,5.2685,5.2800,5.17e+14,5.25e+14,25231360
1560,5.2178,5.2745,5.23e+14,5.32e+14,25559040
1580,5.3291,5.2619,5.30e+14,5.38e+14,25886720
1600,5.2354,5.2482,5.37e+14,5.45e+14,26214400
1620,5.2800,5.2418,5.44e+14,5.52e+14,26542080
1640,5.2061,5.2330,5.50e+14,5.59e+14,26869760
1660,5.1867,5.2266,5.57e+14,5.66e+14,27197440
1680,5.2643,5.2158,5.64e+14,5.73e+14,27525120
