step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,7.7049,7.7543,4.96e+12,5.06e+12,327680
40,7.6533,7.6191,9.92e+12,1.01e+13,655360
60,7.4713,7.4682,1.49e+13,1.52e+13,983040
80,7.3428,7.3867,1.98e+13,2.03e+13,1310720
100,7.3279,7.3363,2.48e+13,2.53e+13,1638400
120,7.2776,7.2973,2.98e+13,3.04e+13,1966080
140,7.2681,7.2474,3.47e+13,3.54e+13,2293760
160,7.1603,7.1350,3.97e+13,4.05e+13,2621440
180,7.0324,7.0574,4.47e+13,4.56e+13,2949120
200,6.9915,7.0431,4.96e+13,5.06e+13,3276800
220,6.9904,6.9946,5.46e+13,5.57e+13,3604480
240,7.0183,6.9388,5.95e+13,6.08e+13,3932160
260,6.9210,6.9487,6.45e+13,6.58e+13,4259840
280,7.0652,7.0142,6.95e+13,7.09e+13,4587520
300,7.1987,7.1896,7.44e+13,7.60e+13,4915200
320,7.1267,7.1435,7.94e+13,8.10e+13,5242880
340,7.1863,7.2212,8.43e+13,8.61e+13,5570560
360,7.2511,7.2461,8.93e+13,9.12e+13,5898240
380,7.1065,7.1911,9.43e+13,9.62e+13,6225920
400,7.1366,7.1397,9.92e+13,1.01e+14,6553600
420,7.1976,7.1224,1.04e+14,1.06e+14,6881280
440,7.1246,7.0905,1.09e+14,1.11e+14,7208960
460,7.1394,7.1363,1.14e+14,1.16e+14,7536640
480,7.1099,7.0897,1.19e+14,1.22e+14,7864320
500,7.3190,7.2472,1.24e+14,1.27e+14,8192000
520,7.0907,7.0969,1.29e+14,1.32e+14,8519680
540,7.0943,7.0755,1.34e+14,1.37e+14,8847360
560,7.0670,7.0589,1.39e+14,1.42e+14,9175040
580,7.0895,7.0824,1.44e+14,1.47e+14,9502720
600,7.0440,7.0732,1.49e+14,1.52e+14,9830400
620,7.0404,7.0671,1.54e+14,1.57e+14,10158080
640,7.1358,7.1146,1.59e+14,1.62e+14,10485760
660,7.1425,7.1068,1.64e+14,1.67e+14,10813440
680,7.0142,7.0583,1.69e+14,1.72e+14,11141120
700,7.0945,7.0288,1.74e+14,1.77e+14,11468800
720,7.0022,7.0121,1.79e+14,1.82e+14,11796480
740,7.0251,7.0204,1.84e+14,1.87e+14,12124160
760,7.0727,7.0419,1.89e+14,1.92e+14,12451840
780,7.0136,7.0157,1.93e+14,1.98e+14,12779520
800,6.9794,6.9859,1.98e+14,2.03e+14,13107200
820,7.0069,6.9878,2.03e+14,2.08e+14,13434880
840,6.9744,6.9814,2.08e+14,2.13e+14,13762560
860,6.9625,6.9605,2.13e+14,2.18e+14,14090240
880,6.9737,6.9470,2.18e+14,2.23e+14,14417920
900,6.9368,6.9364,2.23e+14,2.28e+14,14745600
920,6.8788,6.9318,2.28e+14,2.33e+14,15073280
940,6.9399,6.9140,2.33e+14,2.38e+14,15400960
960,7.0327,6.9739,2.38e+14,2.43e+14,15728640
980,7.0482,6.9463,2.43e+14,2.48e+14,16056320
1000,6.9369,6.9397,2.48e+14,2.53e+14,16384000
1020,6.9743,6.9906,2.53e+14,2.58e+14,16711680
1040,6.9933,6.9590,2.58e+14,2.63e+14,17039360
1060,6.9232,6.9273,2.63e+14,2.68e+14,17367040
1080,7.0167,6.9275,2.68e+14,2.73e+14,17694720
1100,6.9196,6.9165,2.73e+14,2.79e+14,18022400
1120,6.9294,6.8984,2.78e+14,2.84e+14,18350080
1140,6.9092,6.8797,2.83e+14,2.89e+14,18677760
1160,6.8819,6.8808,2.88e+14,2.94e+14,19005440
1180,6.9021,6.8891,2.93e+14,2.99e+14,19333120
1200,6.8585,6.8666,2.98e+14,3.04e+14,19660800
1220,6.9072,6.8601,3.03e+14,3.09e+14,19988480
1240,6.8629,6.8433,3.08e+14,3.14e+14,20316160
1260,6.8019,6.8480,3.13e+14,3.19e+14,20643840
1280,6.7963,6.8560,3.18e+14,3.24e+14,20971520
1300,6.8404,6.8388,3.22e+14,3.29e+14,21299200
1320,6.8183,6.8387,3.27e+14,3.34e+14,21626880
1340,6.7886,6.8158,3.32e+14,3.39e+14,21954560
1360,6.8537,6.8134,3.37e+14,3.44e+14,22282240
1380,6.8568,6.8329,3.42e+14,3.49e+14,22609920
1400,6.8166,6.8121,3.47e+14,3.54e+14,22937600
1420,6.8005,6.8083,3.52e+14,3.60e+14,23265280
1440,6.7755,6.8398,3.57e+14,3.65e+14,23592960
1460,6.7403,6.8129,3.62e+14,3.70e+14,23920640
1480,6.8530,6.8210,3.67e+14,3.75e+14,24248320
1500,6.8743,6.8368,3.72e+14,3.80e+14,24576000
1520,6.8138,6.8161,3.77e+14,3.85e+14,24903680
1540,6.8630,6.8391,3.82e+14,3.90e+14,25231360
1560,6.7811,6.8084,3.87e+14,3.95e+14,25559040
