step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.8934,8.7187,3.21e+12,3.31e+12,327680
40,7.5912,7.6118,6.42e+12,6.62e+12,655360
60,7.5064,7.5270,9.63e+12,9.93e+12,983040
80,7.5051,7.5132,1.28e+13,1.32e+13,1310720
100,7.4983,7.5031,1.61e+13,1.66e+13,1638400
120,7.5132,7.4982,1.93e+13,1.99e+13,1966080
140,7.5235,7.4947,2.25e+13,2.32e+13,2293760
160,7.4574,7.4922,2.57e+13,2.65e+13,2621440
180,7.4448,7.4902,2.89e+13,2.98e+13,2949120
200,7.4731,7.4871,3.21e+13,3.31e+13,3276800
220,7.5316,7.4852,3.53e+13,3.64e+13,3604480
240,7.4571,7.4799,3.85e+13,3.97e+13,3932160
260,7.4799,7.4764,4.17e+13,4.30e+13,4259840
280,7.4354,7.4514,4.49e+13,4.64e+13,4587520
300,7.4077,7.3777,4.82e+13,4.97e+13,4915200
320,7.3184,7.2834,5.14e+13,5.30e+13,5242880
340,7.2779,7.2385,5.46e+13,5.63e+13,5570560
360,7.1979,7.1898,5.78e+13,5.96e+13,5898240
380,7.1636,7.1383,6.10e+13,6.29e+13,6225920
400,7.1181,7.0624,6.42e+13,6.62e+13,6553600
420,7.0126,7.0042,6.74e+13,6.95e+13,6881280
440,6.9125,6.9695,7.06e+13,7.28e+13,7208960
460,6.9199,6.8910,7.38e+13,7.61e+13,7536640
480,6.8281,6.8664,7.70e+13,7.95e+13,7864320
500,6.7930,6.8335,8.03e+13,8.28e+13,8192000
520,6.7644,6.7844,8.35e+13,8.61e+13,8519680
540,6.7304,6.7425,8.67e+13,8.94e+13,8847360
560,6.6873,6.7085,8.99e+13,9.27e+13,9175040
580,6.7202,6.6819,9.31e+13,9.60e+13,9502720
600,6.6692,6.6614,9.63e+13,9.93e+13,9830400
620,6.6596,6.6943,9.95e+13,1.03e+14,10158080
640,6.6735,6.6401,1.03e+14,1.06e+14,10485760
660,6.6064,6.6265,1.06e+14,1.09e+14,10813440
680,6.6560,6.6268,1.09e+14,1.13e+14,11141120
700,6.6557,6.6099,1.12e+14,1.16e+14,11468800
720,6.5638,6.6430,1.16e+14,1.19e+14,11796480
740,6.6024,6.5933,1.19e+14,1.22e+14,12124160
760,6.6735,6.5892,1.22e+14,1.26e+14,12451840
780,6.5524,6.5723,1.25e+14,1.29e+14,12779520
800,6.5539,6.5677,1.28e+14,1.32e+14,13107200
820,6.6335,6.5547,1.32e+14,1.36e+14,13434880
840,6.5336,6.5539,1.35e+14,1.39e+14,13762560
860,6.5868,6.5496,1.38e+14,1.42e+14,14090240
880,6.6095,6.5346,1.41e+14,1.46e+14,14417920
900,6.5812,6.5417,1.44e+14,1.49e+14,14745600
920,6.5527,6.5731,1.48e+14,1.52e+14,15073280
940,6.5015,6.5115,1.51e+14,1.56e+14,15400960
960,6.5113,6.5051,1.54e+14,1.59e+14,15728640
980,6.5391,6.5290,1.57e+14,1.62e+14,16056320
1000,6.4780,6.5020,1.61e+14,1.66e+14,16384000
1020,6.4345,6.4779,1.64e+14,1.69e+14,16711680
1040,6.4301,6.4895,1.67e+14,1.72e+14,17039360
1060,6.4122,6.4603,1.70e+14,1.75e+14,17367040
1080,6.4684,6.4630,1.73e+14,1.79e+14,17694720
1100,6.4910,6.4487,1.77e+14,1.82e+14,18022400
1120,6.4269,6.4387,1.80e+14,1.85e+14,18350080
1140,6.5006,6.4317,1.83e+14,1.89e+14,18677760
1160,6.4588,6.4245,1.86e+14,1.92e+14,19005440
1180,6.4471,6.4168,1.89e+14,1.95e+14,19333120
1200,6.4171,6.4117,1.93e+14,1.99e+14,19660800
1220,6.4543,6.3975,1.96e+14,2.02e+14,19988480
1240,6.4616,6.3975,1.99e+14,2.05e+14,20316160
1260,6.3711,6.3835,2.02e+14,2.09e+14,20643840
1280,6.3559,6.3812,2.05e+14,2.12e+14,20971520
1300,6.4011,6.3743,2.09e+14,2.15e+14,21299200
1320,6.3775,6.3684,2.12e+14,2.19e+14,21626880
1340,6.3694,6.3729,2.15e+14,2.22e+14,21954560
1360,6.3705,6.3692,2.18e+14,2.25e+14,22282240
1380,6.3366,6.3526,2.22e+14,2.28e+14,22609920
1400,6.3405,6.3450,2.25e+14,2.32e+14,22937600
1420,6.3379,6.3400,2.28e+14,2.35e+14,23265280
1440,6.3267,6.3336,2.31e+14,2.38e+14,23592960
1460,6.3437,6.3284,2.34e+14,2.42e+14,23920640
1480,6.2829,6.3234,2.38e+14,2.45e+14,24248320
1500,6.3479,6.3212,2.41e+14,2.48e+14,24576000
1520,6.3192,6.3163,2.44e+14,2.52e+14,24903680
1540,6.3438,6.3108,2.47e+14,2.55e+14,25231360
1560,6.3516,6.3103,2.50e+14,2.58e+14,25559040
1580,6.3305,6.3058,2.54e+14,2.62e+14,25886720
1600,6.3197,6.3006,2.57e+14,2.65e+14,26214400
1620,6.2813,6.2973,2.60e+14,2.68e+14,26542080
