step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.4494,8.3061,2.67e+13,2.72e+13,1305600
40,7.5096,7.4848,5.35e+13,5.43e+13,2611200
60,7.2965,7.3048,8.02e+13,8.15e+13,3916800
80,7.2516,7.2432,1.07e+14,1.09e+14,5222400
100,7.1482,7.1605,1.34e+14,1.36e+14,6528000
120,7.0536,7.0509,1.60e+14,1.63e+14,7833600
140,6.8555,6.8930,1.87e+14,1.90e+14,9139200
160,6.7030,6.7355,2.14e+14,2.17e+14,10444800
180,6.5591,6.5769,2.41e+14,2.44e+14,11750400
200,6.3943,6.4157,2.67e+14,2.72e+14,13056000
220,6.2682,6.2726,2.94e+14,2.99e+14,14361600
240,6.1753,6.1671,3.21e+14,3.26e+14,15667200
260,6.0815,6.0712,3.48e+14,3.53e+14,16972800
280,5.8928,5.9852,3.74e+14,3.80e+14,18278400
300,5.9844,5.9386,4.01e+14,4.07e+14,19584000
320,5.7952,5.8437,4.28e+14,4.35e+14,20889600
340,5.8063,5.7770,4.55e+14,4.62e+14,22195200
360,5.7724,5.7181,4.81e+14,4.89e+14,23500800
380,5.6116,5.6662,5.08e+14,5.16e+14,24806400
400,5.6190,5.6187,5.35e+14,5.43e+14,26112000
420,5.5414,5.5727,5.62e+14,5.70e+14,27417600
440,5.4914,5.5267,5.88e+14,5.97e+14,28723200
460,5.4792,5.4908,6.15e+14,6.25e+14,30028800
480,5.3829,5.4584,6.42e+14,6.52e+14,31334400
500,5.4301,5.4304,6.69e+14,6.79e+14,32640000
520,5.3776,5.4009,6.95e+14,7.06e+14,33945600
540,5.4332,5.3777,7.22e+14,7.33e+14,35251200
560,5.3408,5.3548,7.49e+14,7.60e+14,36556800
580,5.3654,5.3333,7.75e+14,7.88e+14,37862400
600,5.3599,5.3143,8.02e+14,8.15e+14,39168000
620,5.2789,5.2994,8.29e+14,8.42e+14,40473600
640,5.2419,5.2842,8.56e+14,8.69e+14,41779200
660,5.2395,5.2699,8.82e+14,8.96e+14,43084800
680,5.2513,5.2579,9.09e+14,9.23e+14,44390400
700,5.2627,5.2475,9.36e+14,9.51e+14,45696000
720,5.2450,5.2385,9.63e+14,9.78e+14,47001600
740,5.2184,5.2293,9.89e+14,1.00e+15,48307200
760,5.2588,5.2217,1.02e+15,1.03e+15,49612800
780,5.1661,5.2149,1.04e+15,1.06e+15,50918400
800,5.1940,5.2085,1.07e+15,1.09e+15,52224000
820,5.1858,5.2031,1.10e+15,1.11e+15,53529600
840,5.1403,5.1978,1.12e+15,1.14e+15,54835200
