step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.0641,9.9926,1.17e+13,1.19e+13,655360
40,8.8434,8.8069,2.33e+13,2.37e+13,1310720
60,8.0478,8.0136,3.50e+13,3.56e+13,1966080
80,7.6094,7.5790,4.66e+13,4.75e+13,2621440
100,7.4674,7.4770,5.83e+13,5.93e+13,3276800
120,7.4457,7.4668,7.00e+13,7.12e+13,3932160
140,7.4903,7.4628,8.16e+13,8.31e+13,4587520
160,7.4740,7.4607,9.33e+13,9.49e+13,5242880
180,7.4565,7.4595,1.05e+14,1.07e+14,5898240
200,7.4563,7.4584,1.17e+14,1.19e+14,6553600
220,7.4599,7.4579,1.28e+14,1.31e+14,7208960
240,7.4787,7.4570,1.40e+14,1.42e+14,7864320
260,7.4587,7.4562,1.52e+14,1.54e+14,8519680
280,7.4636,7.4562,1.63e+14,1.66e+14,9175040
300,7.4704,7.4554,1.75e+14,1.78e+14,9830400
320,7.4519,7.4550,1.87e+14,1.90e+14,10485760
340,7.4624,7.4544,1.98e+14,2.02e+14,11141120
360,7.4421,7.4541,2.10e+14,2.14e+14,11796480
380,7.4323,7.4534,2.22e+14,2.25e+14,12451840
400,7.4581,7.4531,2.33e+14,2.37e+14,13107200
420,7.4377,7.4527,2.45e+14,2.49e+14,13762560
440,7.4282,7.4522,2.56e+14,2.61e+14,14417920
460,7.4524,7.4517,2.68e+14,2.73e+14,15073280
480,7.4370,7.4513,2.80e+14,2.85e+14,15728640
500,7.4686,7.4508,2.91e+14,2.97e+14,16384000
520,7.4480,7.4506,3.03e+14,3.09e+14,17039360
540,7.4810,7.4504,3.15e+14,3.20e+14,17694720
560,7.4563,7.4502,3.26e+14,3.32e+14,18350080
580,7.4779,7.4498,3.38e+14,3.44e+14,19005440
600,7.4685,7.4494,3.50e+14,3.56e+14,19660800
620,7.4619,7.4491,3.61e+14,3.68e+14,20316160
640,7.4562,7.4488,3.73e+14,3.80e+14,20971520
660,7.4580,7.4485,3.85e+14,3.92e+14,21626880
680,7.4522,7.4480,3.96e+14,4.04e+14,22282240
700,7.4444,7.4476,4.08e+14,4.15e+14,22937600
720,7.4424,7.4470,4.20e+14,4.27e+14,23592960
740,7.4737,7.4460,4.31e+14,4.39e+14,24248320
760,7.4549,7.4441,4.43e+14,4.51e+14,24903680
780,7.4765,7.4405,4.55e+14,4.63e+14,25559040
