step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.4580,9.3447,4.30e+13,4.34e+13,1305600
40,7.9799,7.9429,8.60e+13,8.69e+13,2611200
60,7.3740,7.3712,1.29e+14,1.30e+14,3916800
80,7.1561,7.1144,1.72e+14,1.74e+14,5222400
100,6.9252,6.8841,2.15e+14,2.17e+14,6528000
120,6.7009,6.7142,2.58e+14,2.61e+14,7833600
140,6.5681,6.5845,3.01e+14,3.04e+14,9139200
160,6.3916,6.4482,3.44e+14,3.48e+14,10444800
180,6.3407,6.3333,3.87e+14,3.91e+14,11750400
200,6.2528,6.2432,4.30e+14,4.34e+14,13056000
220,6.1054,6.1524,4.73e+14,4.78e+14,14361600
240,6.1175,6.0866,5.16e+14,5.21e+14,15667200
260,5.9763,6.0117,5.59e+14,5.65e+14,16972800
280,6.0154,5.9491,6.02e+14,6.08e+14,18278400
300,5.8772,5.9013,6.45e+14,6.52e+14,19584000
320,5.8846,5.8468,6.88e+14,6.95e+14,20889600
340,5.7616,5.8039,7.31e+14,7.39e+14,22195200
360,5.7858,5.7543,7.74e+14,7.82e+14,23500800
380,5.7508,5.7192,8.17e+14,8.25e+14,24806400
400,5.6242,5.6774,8.60e+14,8.69e+14,26112000
420,5.6020,5.6404,9.03e+14,9.12e+14,27417600
440,5.5989,5.6065,9.46e+14,9.56e+14,28723200
460,5.5865,5.5803,9.89e+14,9.99e+14,30028800
480,5.5758,5.5419,1.03e+15,1.04e+15,31334400
500,5.4435,5.5133,1.08e+15,1.09e+15,32640000
520,5.4828,5.4868,1.12e+15,1.13e+15,33945600
540,5.4785,5.4575,1.16e+15,1.17e+15,35251200
560,5.4698,5.4359,1.20e+15,1.22e+15,36556800
580,5.4163,5.4097,1.25e+15,1.26e+15,37862400
600,5.3934,5.3869,1.29e+15,1.30e+15,39168000
620,5.3783,5.3672,1.33e+15,1.35e+15,40473600
640,5.3451,5.3447,1.38e+15,1.39e+15,41779200
660,5.3521,5.3252,1.42e+15,1.43e+15,43084800
680,5.4010,5.3063,1.46e+15,1.48e+15,44390400
700,5.3093,5.2881,1.51e+15,1.52e+15,45696000
720,5.2370,5.2736,1.55e+15,1.56e+15,47001600
740,5.3126,5.2580,1.59e+15,1.61e+15,48307200
760,5.1937,5.2424,1.63e+15,1.65e+15,49612800
780,5.2130,5.2292,1.68e+15,1.69e+15,50918400
800,5.1695,5.2196,1.72e+15,1.74e+15,52224000
820,5.1938,5.2015,1.76e+15,1.78e+15,53529600
840,5.2322,5.1903,1.81e+15,1.82e+15,54835200
860,5.1188,5.1802,1.85e+15,1.87e+15,56140800
880,5.1203,5.1700,1.89e+15,1.91e+15,57446400
900,5.1723,5.1596,1.94e+15,1.96e+15,58752000
920,5.1687,5.1509,1.98e+15,2.00e+15,60057600
940,5.1481,5.1422,2.02e+15,2.04e+15,61363200
960,5.0821,5.1313,2.06e+15,2.09e+15,62668800
980,5.1184,5.1235,2.11e+15,2.13e+15,63974400
1000,5.1168,5.1163,2.15e+15,2.17e+15,65280000
1020,5.0459,5.1101,2.19e+15,2.22e+15,66585600
1040,5.1047,5.1030,2.24e+15,2.26e+15,67891200
1060,5.0929,5.0977,2.28e+15,2.30e+15,69196800
1080,5.1078,5.0908,2.32e+15,2.35e+15,70502400
1100,5.0748,5.0850,2.37e+15,2.39e+15,71808000
1120,5.1077,5.0802,2.41e+15,2.43e+15,73113600
1140,5.0013,5.0756,2.45e+15,2.48e+15,74419200
1160,5.0191,5.0702,2.49e+15,2.52e+15,75724800
1180,5.0398,5.0666,2.54e+15,2.56e+15,77030400
1200,5.0502,5.0627,2.58e+15,2.61e+15,78336000
1220,5.0764,5.0598,2.62e+15,2.65e+15,79641600
1240,5.0560,5.0558,2.67e+15,2.69e+15,80947200
1260,4.9981,5.0532,2.71e+15,2.74e+15,82252800
1280,4.9896,5.0495,2.75e+15,2.78e+15,83558400
1300,5.0421,5.0464,2.80e+15,2.82e+15,84864000
1320,5.0309,5.0436,2.84e+15,2.87e+15,86169600
1340,4.9694,5.0414,2.88e+15,2.91e+15,87475200
