step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,7.5571,7.5121,6.27e+13,6.32e+13,1305600
40,7.2888,7.2463,1.25e+14,1.26e+14,2611200
60,7.1322,7.1081,1.88e+14,1.90e+14,3916800
80,7.0762,7.0469,2.51e+14,2.53e+14,5222400
100,6.9958,6.9602,3.14e+14,3.16e+14,6528000
120,6.8335,6.8802,3.76e+14,3.79e+14,7833600
140,6.8282,6.7792,4.39e+14,4.42e+14,9139200
160,6.7206,6.6843,5.02e+14,5.06e+14,10444800
180,6.6043,6.5963,5.65e+14,5.69e+14,11750400
200,6.5020,6.5188,6.27e+14,6.32e+14,13056000
220,6.4410,6.4447,6.90e+14,6.95e+14,14361600
240,6.3596,6.3825,7.53e+14,7.59e+14,15667200
260,6.2931,6.3239,8.16e+14,8.22e+14,16972800
280,6.3185,6.2709,8.78e+14,8.85e+14,18278400
300,6.2681,6.2248,9.41e+14,9.48e+14,19584000
320,6.1848,6.1879,1.00e+15,1.01e+15,20889600
340,6.1353,6.1690,1.07e+15,1.07e+15,22195200
360,6.0911,6.1292,1.13e+15,1.14e+15,23500800
380,6.2105,6.1121,1.19e+15,1.20e+15,24806400
