step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.0356,8.9492,4.30e+13,4.34e+13,1305600
40,7.8141,7.7499,8.60e+13,8.69e+13,2611200
60,7.3349,7.3260,1.29e+14,1.30e+14,3916800
80,7.0765,7.0681,1.72e+14,1.74e+14,5222400
100,6.8735,6.8399,2.15e+14,2.17e+14,6528000
120,6.6556,6.6660,2.58e+14,2.61e+14,7833600
140,6.5060,6.5224,3.01e+14,3.04e+14,9139200
160,6.4772,6.4328,3.44e+14,3.48e+14,10444800
180,6.3876,6.3448,3.87e+14,3.91e+14,11750400
200,6.2463,6.2697,4.30e+14,4.34e+14,13056000
220,6.2355,6.2082,4.73e+14,4.78e+14,14361600
240,6.1437,6.1637,5.16e+14,5.21e+14,15667200
260,6.0797,6.1222,5.59e+14,5.65e+14,16972800
280,6.1435,6.0893,6.02e+14,6.08e+14,18278400
300,6.0862,6.0627,6.45e+14,6.52e+14,19584000
320,5.9945,6.0407,6.88e+14,6.95e+14,20889600
340,6.0027,6.0236,7.31e+14,7.39e+14,22195200
360,5.9512,6.0096,7.74e+14,7.82e+14,23500800
380,6.0929,5.9978,8.17e+14,8.25e+14,24806400
