step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.1828,7.8942,9.81e+12,1.00e+13,655360
40,7.9041,7.9110,1.96e+13,2.00e+13,1310720
60,7.8550,7.8563,2.94e+13,3.01e+13,1966080
80,7.8102,7.7903,3.93e+13,4.01e+13,2621440
100,7.7470,7.7322,4.91e+13,5.01e+13,3276800
120,7.7034,7.6769,5.89e+13,6.01e+13,3932160
140,7.7329,7.7533,6.87e+13,7.01e+13,4587520
160,7.5805,7.6013,7.85e+13,8.01e+13,5242880
180,7.5849,7.5167,8.83e+13,9.02e+13,5898240
200,7.4515,7.4672,9.81e+13,1.00e+14,6553600
220,7.5612,7.4566,1.08e+14,1.10e+14,7208960
240,7.4441,7.4194,1.18e+14,1.20e+14,7864320
260,7.4023,7.3642,1.28e+14,1.30e+14,8519680
280,7.4111,7.3709,1.37e+14,1.40e+14,9175040
300,7.3071,7.3346,1.47e+14,1.50e+14,9830400
320,7.3491,7.3108,1.57e+14,1.60e+14,10485760
340,7.3149,7.3347,1.67e+14,1.70e+14,11141120
360,7.2728,7.9585,1.77e+14,1.80e+14,11796480
380,7.3134,7.2514,1.86e+14,1.90e+14,12451840
400,7.2083,7.2300,1.96e+14,2.00e+14,13107200
420,7.2718,7.2496,2.06e+14,2.10e+14,13762560
440,7.2663,7.2642,2.16e+14,2.20e+14,14417920
460,7.1961,7.2084,2.26e+14,2.30e+14,15073280
480,7.2204,7.1618,2.36e+14,2.40e+14,15728640
500,7.1518,7.1653,2.45e+14,2.50e+14,16384000
520,7.1477,7.1573,2.55e+14,2.60e+14,17039360
540,7.2033,7.1706,2.65e+14,2.70e+14,17694720
560,7.2005,7.1776,2.75e+14,2.80e+14,18350080
580,7.2281,7.2122,2.85e+14,2.90e+14,19005440
600,7.2026,7.1865,2.94e+14,3.01e+14,19660800
620,7.1993,7.2128,3.04e+14,3.11e+14,20316160
640,7.2077,7.2307,3.14e+14,3.21e+14,20971520
660,7.1545,7.1809,3.24e+14,3.31e+14,21626880
680,7.2163,7.2010,3.34e+14,3.41e+14,22282240
700,7.2105,7.2097,3.43e+14,3.51e+14,22937600
720,7.1491,7.2387,3.53e+14,3.61e+14,23592960
740,7.2327,7.2327,3.63e+14,3.71e+14,24248320
760,7.2084,7.2310,3.73e+14,3.81e+14,24903680
780,7.2384,7.2304,3.83e+14,3.91e+14,25559040
800,7.2097,7.2204,3.93e+14,4.01e+14,26214400
820,7.2615,7.2272,4.02e+14,4.11e+14,26869760
840,7.2117,7.2415,4.12e+14,4.21e+14,27525120
860,7.2749,7.2492,4.22e+14,4.31e+14,28180480
880,7.2102,7.2600,4.32e+14,4.41e+14,28835840
900,7.2383,7.2589,4.42e+14,4.51e+14,29491200
920,7.2778,7.2716,4.51e+14,4.61e+14,30146560
940,7.3057,7.2987,4.61e+14,4.71e+14,30801920
960,7.2799,7.2797,4.71e+14,4.81e+14,31457280
980,7.2700,7.2899,4.81e+14,4.91e+14,32112640
1000,7.3256,7.2937,4.91e+14,5.01e+14,32768000
1020,7.2919,7.2965,5.00e+14,5.11e+14,33423360
1040,7.3458,7.2950,5.10e+14,5.21e+14,34078720
1060,7.3360,7.3045,5.20e+14,5.31e+14,34734080
1080,7.3090,7.3096,5.30e+14,5.41e+14,35389440
1100,7.3005,7.3153,5.40e+14,5.51e+14,36044800
1120,7.3085,7.3226,5.50e+14,5.61e+14,36700160
1140,7.3022,7.3212,5.59e+14,5.71e+14,37355520
1160,7.3293,7.3330,5.69e+14,5.81e+14,38010880
1180,7.3759,7.3344,5.79e+14,5.91e+14,38666240
1200,7.3324,7.3406,5.89e+14,6.01e+14,39321600
1220,7.3661,7.3495,5.99e+14,6.11e+14,39976960
