step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.4402,9.3211,6.42e+12,6.62e+12,655360
40,7.7897,7.7606,1.28e+13,1.32e+13,1310720
60,7.4489,7.4403,1.93e+13,1.99e+13,1966080
80,7.2632,7.2380,2.57e+13,2.65e+13,2621440
100,7.0286,7.0338,3.21e+13,3.31e+13,3276800
120,6.8160,6.8362,3.85e+13,3.97e+13,3932160
140,6.7098,6.6618,4.49e+13,4.64e+13,4587520
160,6.5743,6.5318,5.14e+13,5.30e+13,5242880
180,6.4328,6.4306,5.78e+13,5.96e+13,5898240
200,6.3606,6.3431,6.42e+13,6.62e+13,6553600
220,6.2895,6.2700,7.06e+13,7.28e+13,7208960
240,6.2573,6.2078,7.71e+13,7.95e+13,7864320
260,6.1357,6.1480,8.35e+13,8.61e+13,8519680
280,6.1264,6.0950,8.99e+13,9.27e+13,9175040
300,6.0603,6.0516,9.63e+13,9.93e+13,9830400
320,5.9830,6.0082,1.03e+14,1.06e+14,10485760
340,6.0303,5.9706,1.09e+14,1.13e+14,11141120
360,5.9251,5.9390,1.16e+14,1.19e+14,11796480
380,5.8744,5.9071,1.22e+14,1.26e+14,12451840
400,5.8724,5.8755,1.28e+14,1.32e+14,13107200
420,5.8414,5.8505,1.35e+14,1.39e+14,13762560
440,5.7925,5.8312,1.41e+14,1.46e+14,14417920
460,5.7929,5.8057,1.48e+14,1.52e+14,15073280
480,5.7663,5.7871,1.54e+14,1.59e+14,15728640
500,5.7938,5.7695,1.61e+14,1.66e+14,16384000
520,5.7163,5.7548,1.67e+14,1.72e+14,17039360
540,5.7951,5.7405,1.73e+14,1.79e+14,17694720
560,5.7315,5.7268,1.80e+14,1.85e+14,18350080
580,5.7693,5.7160,1.86e+14,1.92e+14,19005440
600,5.7044,5.7058,1.93e+14,1.99e+14,19660800
620,5.7420,5.6976,1.99e+14,2.05e+14,20316160
640,5.6999,5.6892,2.05e+14,2.12e+14,20971520
660,5.7047,5.6828,2.12e+14,2.19e+14,21626880
680,5.6703,5.6760,2.18e+14,2.25e+14,22282240
700,5.6808,5.6710,2.25e+14,2.32e+14,22937600
720,5.6295,5.6655,2.31e+14,2.38e+14,23592960
740,5.7161,5.6613,2.38e+14,2.45e+14,24248320
760,5.7042,5.6571,2.44e+14,2.52e+14,24903680
780,5.7159,5.6532,2.50e+14,2.58e+14,25559040
