step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.1342,8.0111,9.81e+12,1.00e+13,655360
40,7.8868,7.9107,1.96e+13,2.00e+13,1310720
60,7.8967,7.9125,2.94e+13,3.01e+13,1966080
80,7.9020,7.8834,3.93e+13,4.01e+13,2621440
100,7.8461,7.8686,4.91e+13,5.01e+13,3276800
120,7.8193,7.8415,5.89e+13,6.01e+13,3932160
140,7.7790,7.7302,6.87e+13,7.01e+13,4587520
160,7.6688,7.6622,7.85e+13,8.01e+13,5242880
180,7.5513,7.5175,8.83e+13,9.02e+13,5898240
200,7.4308,7.4264,9.81e+13,1.00e+14,6553600
220,7.3845,7.3766,1.08e+14,1.10e+14,7208960
240,7.4042,7.3314,1.18e+14,1.20e+14,7864320
260,7.3037,7.2954,1.28e+14,1.30e+14,8519680
280,7.3077,7.2912,1.37e+14,1.40e+14,9175040
300,7.3709,7.3459,1.47e+14,1.50e+14,9830400
320,7.3681,7.3750,1.57e+14,1.60e+14,10485760
340,7.4104,7.3928,1.67e+14,1.70e+14,11141120
360,7.4140,7.4198,1.77e+14,1.80e+14,11796480
380,7.4186,7.4277,1.86e+14,1.90e+14,12451840
400,7.4491,7.4441,1.96e+14,2.00e+14,13107200
420,7.4256,7.4599,2.06e+14,2.10e+14,13762560
440,7.4735,7.4798,2.16e+14,2.20e+14,14417920
460,7.4769,7.4596,2.26e+14,2.30e+14,15073280
480,7.4697,7.4831,2.36e+14,2.40e+14,15728640
500,7.4943,7.4773,2.45e+14,2.50e+14,16384000
520,7.4810,7.4909,2.55e+14,2.60e+14,17039360
540,7.5571,7.5106,2.65e+14,2.70e+14,17694720
560,7.5102,7.5031,2.75e+14,2.80e+14,18350080
580,7.5395,7.5184,2.85e+14,2.90e+14,19005440
600,7.5558,7.5225,2.94e+14,3.01e+14,19660800
620,7.5188,7.5199,3.04e+14,3.11e+14,20316160
640,7.5020,7.5127,3.14e+14,3.21e+14,20971520
660,7.5247,7.4970,3.24e+14,3.31e+14,21626880
680,7.4853,7.4865,3.34e+14,3.41e+14,22282240
700,7.4691,7.4645,3.43e+14,3.51e+14,22937600
720,7.4511,7.4468,3.53e+14,3.61e+14,23592960
740,7.4703,7.4339,3.63e+14,3.71e+14,24248320
760,7.4593,7.4258,3.73e+14,3.81e+14,24903680
780,7.4702,7.4250,3.83e+14,3.91e+14,25559040
