step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,7.6625,7.6868,1.34e+13,1.36e+13,655360
40,7.4860,7.4942,2.68e+13,2.73e+13,1310720
60,7.3815,7.4165,4.03e+13,4.09e+13,1966080
80,7.3364,7.3520,5.37e+13,5.45e+13,2621440
100,7.3097,7.3101,6.71e+13,6.82e+13,3276800
120,7.2428,7.2670,8.05e+13,8.18e+13,3932160
140,7.2421,7.2127,9.40e+13,9.54e+13,4587520
160,7.1294,7.0871,1.07e+14,1.09e+14,5242880
180,6.9734,6.9765,1.21e+14,1.23e+14,5898240
200,6.8968,6.8738,1.34e+14,1.36e+14,6553600
220,6.7465,6.7908,1.48e+14,1.50e+14,7208960
240,6.7238,6.6229,1.61e+14,1.64e+14,7864320
260,6.5937,6.5632,1.74e+14,1.77e+14,8519680
280,6.3748,6.3815,1.88e+14,1.91e+14,9175040
300,6.3088,6.3133,2.01e+14,2.04e+14,9830400
320,6.1341,6.1846,2.15e+14,2.18e+14,10485760
340,6.1508,6.0887,2.28e+14,2.32e+14,11141120
360,5.9913,5.9935,2.42e+14,2.45e+14,11796480
380,5.8699,5.9179,2.55e+14,2.59e+14,12451840
400,5.8528,5.8434,2.68e+14,2.73e+14,13107200
420,5.7659,5.7726,2.82e+14,2.86e+14,13762560
440,5.6935,5.7191,2.95e+14,3.00e+14,14417920
460,5.6231,5.6504,3.09e+14,3.14e+14,15073280
480,5.5755,5.6000,3.22e+14,3.27e+14,15728640
500,5.5566,5.5416,3.36e+14,3.41e+14,16384000
520,5.4023,5.4994,3.49e+14,3.54e+14,17039360
540,5.5119,5.4510,3.62e+14,3.68e+14,17694720
560,5.4756,5.4103,3.76e+14,3.82e+14,18350080
580,5.4255,5.3768,3.89e+14,3.95e+14,19005440
600,5.3484,5.3394,4.03e+14,4.09e+14,19660800
620,5.3468,5.3120,4.16e+14,4.23e+14,20316160
640,5.3432,5.2788,4.30e+14,4.36e+14,20971520
660,5.2617,5.2576,4.43e+14,4.50e+14,21626880
680,5.2613,5.2335,4.56e+14,4.63e+14,22282240
700,5.1793,5.2142,4.70e+14,4.77e+14,22937600
720,5.1303,5.1964,4.83e+14,4.91e+14,23592960
740,5.2502,5.1781,4.97e+14,5.04e+14,24248320
760,5.2236,5.1652,5.10e+14,5.18e+14,24903680
780,5.2464,5.1502,5.23e+14,5.32e+14,25559040
