step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.8086,8.7438,1.34e+13,1.36e+13,655360
40,8.3994,8.3408,2.68e+13,2.73e+13,1310720
60,8.1402,8.1747,4.03e+13,4.09e+13,1966080
80,8.0411,8.0252,5.37e+13,5.45e+13,2621440
100,7.9252,7.8571,6.71e+13,6.82e+13,3276800
120,7.6906,7.6971,8.05e+13,8.18e+13,3932160
140,7.5692,7.5902,9.40e+13,9.54e+13,4587520
160,7.5009,7.5531,1.07e+14,1.09e+14,5242880
180,7.6895,7.6367,1.21e+14,1.23e+14,5898240
200,7.5613,7.5402,1.34e+14,1.36e+14,6553600
220,7.5099,7.5267,1.48e+14,1.50e+14,7208960
240,7.4922,7.4923,1.61e+14,1.64e+14,7864320
260,7.4981,7.5188,1.74e+14,1.77e+14,8519680
280,7.6666,7.5000,1.88e+14,1.91e+14,9175040
300,7.5318,7.5167,2.01e+14,2.04e+14,9830400
320,7.2980,7.6904,2.15e+14,2.18e+14,10485760
340,7.4693,7.4613,2.28e+14,2.32e+14,11141120
360,7.5451,7.4405,2.42e+14,2.45e+14,11796480
380,7.6264,7.6374,2.55e+14,2.59e+14,12451840
400,7.4717,7.4397,2.68e+14,2.73e+14,13107200
420,7.4582,7.5528,2.82e+14,2.86e+14,13762560
440,7.4937,7.4447,2.95e+14,3.00e+14,14417920
460,7.4738,7.4209,3.09e+14,3.14e+14,15073280
480,7.3676,7.4489,3.22e+14,3.27e+14,15728640
500,7.3443,7.4106,3.36e+14,3.41e+14,16384000
520,7.4570,7.4707,3.49e+14,3.54e+14,17039360
540,7.4056,7.4881,3.62e+14,3.68e+14,17694720
560,7.3357,7.3399,3.76e+14,3.82e+14,18350080
580,7.3143,7.3042,3.89e+14,3.95e+14,19005440
600,7.3673,7.3185,4.03e+14,4.09e+14,19660800
620,7.3777,7.3065,4.16e+14,4.23e+14,20316160
640,7.2926,7.3090,4.30e+14,4.36e+14,20971520
660,7.3493,7.2906,4.43e+14,4.50e+14,21626880
680,7.3022,7.3130,4.56e+14,4.63e+14,22282240
700,7.2506,7.3077,4.70e+14,4.77e+14,22937600
720,7.1941,7.2785,4.83e+14,4.91e+14,23592960
740,7.2168,7.2718,4.97e+14,5.04e+14,24248320
760,7.2704,7.2582,5.10e+14,5.18e+14,24903680
780,7.1619,7.2427,5.23e+14,5.32e+14,25559040
800,7.3546,7.2849,5.37e+14,5.45e+14,26214400
820,7.1681,7.2332,5.50e+14,5.59e+14,26869760
840,7.2939,7.2707,5.64e+14,5.73e+14,27525120
860,7.2572,7.2863,5.77e+14,5.86e+14,28180480
880,7.1955,7.2089,5.91e+14,6.00e+14,28835840
900,7.1953,7.2647,6.04e+14,6.13e+14,29491200
920,7.3005,7.2368,6.17e+14,6.27e+14,30146560
940,7.2867,7.2538,6.31e+14,6.41e+14,30801920
960,7.2404,7.2259,6.44e+14,6.54e+14,31457280
980,7.1800,7.2100,6.58e+14,6.68e+14,32112640
1000,7.3285,7.3687,6.71e+14,6.82e+14,32768000
1020,7.1937,7.2787,6.85e+14,6.95e+14,33423360
1040,7.2085,7.2051,6.98e+14,7.09e+14,34078720
1060,7.2384,7.2380,7.11e+14,7.22e+14,34734080
1080,7.1515,7.2329,7.25e+14,7.36e+14,35389440
1100,7.1556,7.1931,7.38e+14,7.50e+14,36044800
1120,7.2656,7.2581,7.52e+14,7.63e+14,36700160
1140,7.2315,7.2676,7.65e+14,7.77e+14,37355520
1160,7.2011,7.2284,7.79e+14,7.91e+14,38010880
1180,7.2841,7.2068,7.92e+14,8.04e+14,38666240
1200,7.2100,7.2425,8.05e+14,8.18e+14,39321600
1220,7.1954,7.2293,8.19e+14,8.32e+14,39976960
1240,7.1749,7.2332,8.32e+14,8.45e+14,40632320
1260,7.1938,7.1900,8.46e+14,8.59e+14,41287680
1280,7.1797,7.1855,8.59e+14,8.72e+14,41943040
1300,7.1823,7.2200,8.72e+14,8.86e+14,42598400
1320,7.2255,7.1866,8.86e+14,9.00e+14,43253760
1340,7.1525,7.1825,8.99e+14,9.13e+14,43909120
1360,7.1959,7.1692,9.13e+14,9.27e+14,44564480
1380,7.1769,7.1967,9.26e+14,9.41e+14,45219840
1400,7.2232,7.1723,9.40e+14,9.54e+14,45875200
1420,7.1629,7.1669,9.53e+14,9.68e+14,46530560
1440,7.1687,7.1833,9.66e+14,9.81e+14,47185920
1460,7.1083,7.1664,9.80e+14,9.95e+14,47841280
1480,7.1468,7.1602,9.93e+14,1.01e+15,48496640
1500,7.1783,7.1740,1.01e+15,1.02e+15,49152000
1520,7.1817,7.1640,1.02e+15,1.04e+15,49807360
1540,7.1742,7.1556,1.03e+15,1.05e+15,50462720
1560,7.1109,7.1694,1.05e+15,1.06e+15,51118080
1580,7.1050,7.1606,1.06e+15,1.08e+15,51773440
1600,7.1723,7.1541,1.07e+15,1.09e+15,52428800
1620,7.1837,7.1670,1.09e+15,1.10e+15,53084160
1640,7.1491,7.1571,1.10e+15,1.12e+15,53739520
1660,7.1884,7.1549,1.11e+15,1.13e+15,54394880
