step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.2297,10.1870,1.34e+13,1.36e+13,655360
40,9.4321,9.4052,2.68e+13,2.73e+13,1310720
60,9.0025,9.0009,4.03e+13,4.09e+13,1966080
80,8.7694,8.7506,5.37e+13,5.45e+13,2621440
100,8.6647,8.5921,6.71e+13,6.82e+13,3276800
120,8.4850,8.4910,8.05e+13,8.18e+13,3932160
140,8.3894,8.4190,9.40e+13,9.54e+13,4587520
160,8.3857,8.3650,1.07e+14,1.09e+14,5242880
180,8.3135,8.3209,1.21e+14,1.23e+14,5898240
200,8.2912,8.2793,1.34e+14,1.36e+14,6553600
220,8.2623,8.2370,1.48e+14,1.50e+14,7208960
240,8.2030,8.1917,1.61e+14,1.64e+14,7864320
260,8.1275,8.1412,1.74e+14,1.77e+14,8519680
280,8.1333,8.0854,1.88e+14,1.91e+14,9175040
300,8.0766,8.0267,2.01e+14,2.04e+14,9830400
320,7.8835,7.9638,2.15e+14,2.18e+14,10485760
340,7.8773,7.9034,2.28e+14,2.32e+14,11141120
360,7.8978,7.8517,2.42e+14,2.45e+14,11796480
380,7.7987,7.8089,2.55e+14,2.59e+14,12451840
400,7.7405,7.7723,2.68e+14,2.73e+14,13107200
420,7.7589,7.7397,2.82e+14,2.86e+14,13762560
440,7.7409,7.7091,2.95e+14,3.00e+14,14417920
460,7.6626,7.6796,3.09e+14,3.14e+14,15073280
480,7.6239,7.6517,3.22e+14,3.27e+14,15728640
500,7.5766,7.6253,3.36e+14,3.41e+14,16384000
520,7.5659,7.6000,3.49e+14,3.54e+14,17039360
540,7.5693,7.5851,3.62e+14,3.68e+14,17694720
560,7.5514,7.5763,3.76e+14,3.82e+14,18350080
580,7.5877,7.5641,3.89e+14,3.95e+14,19005440
600,7.5217,7.5546,4.03e+14,4.09e+14,19660800
620,7.5864,7.5448,4.16e+14,4.23e+14,20316160
640,7.5116,7.5330,4.30e+14,4.36e+14,20971520
660,7.5528,7.5239,4.43e+14,4.50e+14,21626880
680,7.5185,7.5142,4.56e+14,4.63e+14,22282240
700,7.4775,7.5046,4.70e+14,4.77e+14,22937600
720,7.4373,7.4977,4.83e+14,4.91e+14,23592960
740,7.4507,7.4904,4.97e+14,5.04e+14,24248320
760,7.4420,7.4828,5.10e+14,5.18e+14,24903680
780,7.4120,7.4797,5.23e+14,5.32e+14,25559040
800,7.4630,7.4724,5.37e+14,5.45e+14,26214400
820,7.4151,7.4669,5.50e+14,5.59e+14,26869760
840,7.5024,7.4617,5.64e+14,5.73e+14,27525120
860,7.4688,7.4562,5.77e+14,5.86e+14,28180480
880,7.4068,7.4547,5.91e+14,6.00e+14,28835840
900,7.3556,7.4412,6.04e+14,6.13e+14,29491200
920,7.4832,7.4375,6.17e+14,6.27e+14,30146560
940,7.4670,7.4325,6.31e+14,6.41e+14,30801920
960,7.4555,7.4288,6.44e+14,6.54e+14,31457280
980,7.3959,7.4267,6.58e+14,6.68e+14,32112640
1000,7.4297,7.4246,6.71e+14,6.82e+14,32768000
1020,7.3935,7.4215,6.85e+14,6.95e+14,33423360
1040,7.4187,7.4179,6.98e+14,7.09e+14,34078720
1060,7.4535,7.4130,7.11e+14,7.22e+14,34734080
1080,7.3480,7.4064,7.25e+14,7.36e+14,35389440
1100,7.3622,7.4010,7.38e+14,7.50e+14,36044800
1120,7.3490,7.4017,7.52e+14,7.63e+14,36700160
1140,7.3894,7.3977,7.65e+14,7.77e+14,37355520
1160,7.3893,7.3975,7.79e+14,7.91e+14,38010880
1180,7.4405,7.3991,7.92e+14,8.04e+14,38666240
1200,7.3848,7.3936,8.05e+14,8.18e+14,39321600
1220,7.3708,7.3922,8.19e+14,8.32e+14,39976960
1240,7.3715,7.3863,8.32e+14,8.45e+14,40632320
1260,7.3666,7.3837,8.46e+14,8.59e+14,41287680
1280,7.3446,7.3815,8.59e+14,8.72e+14,41943040
1300,7.3741,7.3823,8.72e+14,8.86e+14,42598400
1320,7.4098,7.3768,8.86e+14,9.00e+14,43253760
1340,7.3333,7.3750,8.99e+14,9.13e+14,43909120
1360,7.3891,7.3721,9.13e+14,9.27e+14,44564480
1380,7.3580,7.3707,9.26e+14,9.41e+14,45219840
1400,7.4139,7.3685,9.40e+14,9.54e+14,45875200
1420,7.3353,7.3670,9.53e+14,9.68e+14,46530560
1440,7.3626,7.3643,9.66e+14,9.81e+14,47185920
1460,7.3036,7.3607,9.80e+14,9.95e+14,47841280
1480,7.3347,7.3583,9.93e+14,1.01e+15,48496640
1500,7.3763,7.3572,1.01e+15,1.02e+15,49152000
1520,7.3722,7.3550,1.02e+15,1.04e+15,49807360
1540,7.3604,7.3519,1.03e+15,1.05e+15,50462720
1560,7.3194,7.3511,1.05e+15,1.06e+15,51118080
1580,7.2990,7.3491,1.06e+15,1.08e+15,51773440
1600,7.3419,7.3478,1.07e+15,1.09e+15,52428800
1620,7.3691,7.3467,1.09e+15,1.10e+15,53084160
1640,7.3382,7.3455,1.10e+15,1.12e+15,53739520
1660,7.3681,7.3427,1.11e+15,1.13e+15,54394880
