step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,10.3906,10.2953,3.42e+12,3.47e+12,163840
20,9.0762,8.9063,6.84e+12,6.95e+12,327680
30,7.9574,7.8890,1.03e+13,1.04e+13,491520
40,7.6981,7.7223,1.37e+13,1.39e+13,655360
50,7.6291,7.6215,1.71e+13,1.74e+13,819200
60,7.5848,7.5593,2.05e+13,2.08e+13,983040
70,7.4952,7.5020,2.39e+13,2.43e+13,1146880
80,7.4726,7.4352,2.74e+13,2.78e+13,1310720
90,7.3911,7.3433,3.08e+13,3.13e+13,1474560
100,7.1514,7.2176,3.42e+13,3.47e+13,1638400
110,7.1917,7.1073,3.76e+13,3.82e+13,1802240
120,7.0367,7.0141,4.10e+13,4.17e+13,1966080
130,6.9354,6.9250,4.45e+13,4.52e+13,2129920
140,6.8475,6.8613,4.79e+13,4.86e+13,2293760
150,6.7741,6.8109,5.13e+13,5.21e+13,2457600
160,6.7486,6.7710,5.47e+13,5.56e+13,2621440
170,6.6862,6.7146,5.82e+13,5.90e+13,2785280
180,6.6050,6.6753,6.16e+13,6.25e+13,2949120
190,6.6524,6.6381,6.50e+13,6.60e+13,3112960
200,6.6118,6.6075,6.84e+13,6.95e+13,3276800
210,6.5710,6.5760,7.18e+13,7.29e+13,3440640
220,6.5111,6.5438,7.53e+13,7.64e+13,3604480
230,6.4222,6.5082,7.87e+13,7.99e+13,3768320
240,6.5051,6.4818,8.21e+13,8.34e+13,3932160
250,6.4390,6.4556,8.55e+13,8.68e+13,4096000
260,6.4223,6.4248,8.89e+13,9.03e+13,4259840
270,6.4132,6.3967,9.24e+13,9.38e+13,4423680
280,6.3426,6.3749,9.58e+13,9.73e+13,4587520
290,6.3545,6.3479,9.92e+13,1.01e+14,4751360
300,6.2937,6.3213,1.03e+14,1.04e+14,4915200
310,6.2890,6.3069,1.06e+14,1.08e+14,5079040
320,6.3000,6.2821,1.09e+14,1.11e+14,5242880
330,6.2030,6.2632,1.13e+14,1.15e+14,5406720
340,6.2170,6.2462,1.16e+14,1.18e+14,5570560
350,6.1860,6.2219,1.20e+14,1.22e+14,5734400
360,6.1991,6.2079,1.23e+14,1.25e+14,5898240
370,6.2385,6.1856,1.27e+14,1.29e+14,6062080
380,6.2223,6.1687,1.30e+14,1.32e+14,6225920
