step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,10.2291,10.0874,3.42e+12,3.47e+12,163840
20,8.6720,8.5172,6.84e+12,6.95e+12,327680
30,7.8305,7.8209,1.03e+13,1.04e+13,491520
40,7.7201,7.7012,1.37e+13,1.39e+13,655360
50,7.6326,7.6439,1.71e+13,1.74e+13,819200
60,7.5101,7.5438,2.05e+13,2.08e+13,983040
70,7.4467,7.4714,2.39e+13,2.43e+13,1146880
80,7.4610,7.4390,2.74e+13,2.78e+13,1310720
90,7.3336,7.3652,3.08e+13,3.13e+13,1474560
100,7.2293,7.3027,3.42e+13,3.47e+13,1638400
110,7.2423,7.2330,3.76e+13,3.82e+13,1802240
120,7.1856,7.1477,4.10e+13,4.17e+13,1966080
130,7.0931,7.0540,4.45e+13,4.52e+13,2129920
140,6.8884,6.9716,4.79e+13,4.86e+13,2293760
150,6.9195,6.9019,5.13e+13,5.21e+13,2457600
160,6.8395,6.8406,5.47e+13,5.56e+13,2621440
170,6.8081,6.7849,5.82e+13,5.90e+13,2785280
180,6.7281,6.7323,6.16e+13,6.25e+13,2949120
190,6.6863,6.6928,6.50e+13,6.60e+13,3112960
200,6.6082,6.6518,6.84e+13,6.95e+13,3276800
210,6.6371,6.6296,7.18e+13,7.29e+13,3440640
220,6.5851,6.5848,7.53e+13,7.64e+13,3604480
230,6.5379,6.5531,7.87e+13,7.99e+13,3768320
240,6.5263,6.5213,8.21e+13,8.34e+13,3932160
250,6.5546,6.4925,8.55e+13,8.68e+13,4096000
260,6.4028,6.4687,8.89e+13,9.03e+13,4259840
270,6.4208,6.4406,9.24e+13,9.38e+13,4423680
280,6.3778,6.4179,9.58e+13,9.73e+13,4587520
290,6.3907,6.3925,9.92e+13,1.01e+14,4751360
300,6.4235,6.3701,1.03e+14,1.04e+14,4915200
310,6.3922,6.3463,1.06e+14,1.08e+14,5079040
320,6.3764,6.3255,1.09e+14,1.11e+14,5242880
330,6.3360,6.3047,1.13e+14,1.15e+14,5406720
340,6.2118,6.2848,1.16e+14,1.18e+14,5570560
350,6.3496,6.2665,1.20e+14,1.22e+14,5734400
360,6.2450,6.2478,1.23e+14,1.25e+14,5898240
370,6.2699,6.2327,1.27e+14,1.29e+14,6062080
380,6.2423,6.2166,1.30e+14,1.32e+14,6225920
390,6.2836,6.2009,1.33e+14,1.35e+14,6389760
400,6.1574,6.1852,1.37e+14,1.39e+14,6553600
410,6.1387,6.1705,1.40e+14,1.42e+14,6717440
420,6.1806,6.1587,1.44e+14,1.46e+14,6881280
430,6.1398,6.1438,1.47e+14,1.49e+14,7045120
440,6.2395,6.1320,1.51e+14,1.53e+14,7208960
450,6.1470,6.1198,1.54e+14,1.56e+14,7372800
460,6.0539,6.1066,1.57e+14,1.60e+14,7536640
470,6.0955,6.0955,1.61e+14,1.63e+14,7700480
480,6.2568,6.0880,1.64e+14,1.67e+14,7864320
490,6.0978,6.0765,1.68e+14,1.70e+14,8028160
500,6.0842,6.0665,1.71e+14,1.74e+14,8192000
510,6.0678,6.0566,1.74e+14,1.77e+14,8355840
520,6.0478,6.0454,1.78e+14,1.81e+14,8519680
530,6.0403,6.0370,1.81e+14,1.84e+14,8683520
540,6.0018,6.0292,1.85e+14,1.88e+14,8847360
550,5.9729,6.0217,1.88e+14,1.91e+14,9011200
560,6.0651,6.0157,1.92e+14,1.95e+14,9175040
570,6.0668,6.0075,1.95e+14,1.98e+14,9338880
580,6.0191,6.0008,1.98e+14,2.01e+14,9502720
590,5.9489,5.9927,2.02e+14,2.05e+14,9666560
600,5.9754,5.9871,2.05e+14,2.08e+14,9830400
610,5.9994,5.9821,2.09e+14,2.12e+14,9994240
620,6.0212,5.9765,2.12e+14,2.15e+14,10158080
630,6.0366,5.9706,2.16e+14,2.19e+14,10321920
640,5.9390,5.9660,2.19e+14,2.22e+14,10485760
650,5.9979,5.9612,2.22e+14,2.26e+14,10649600
660,6.0035,5.9558,2.26e+14,2.29e+14,10813440
670,5.9857,5.9519,2.29e+14,2.33e+14,10977280
680,6.0069,5.9478,2.33e+14,2.36e+14,11141120
690,5.9287,5.9440,2.36e+14,2.40e+14,11304960
700,5.8539,5.9413,2.39e+14,2.43e+14,11468800
710,5.9519,5.9372,2.43e+14,2.47e+14,11632640
720,5.9705,5.9332,2.46e+14,2.50e+14,11796480
730,5.9633,5.9302,2.50e+14,2.54e+14,11960320
740,5.8716,5.9274,2.53e+14,2.57e+14,12124160
750,5.9241,5.9252,2.57e+14,2.61e+14,12288000
760,5.9582,5.9228,2.60e+14,2.64e+14,12451840
770,5.9357,5.9197,2.63e+14,2.67e+14,12615680
780,5.8784,5.9166,2.67e+14,2.71e+14,12779520
