step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,10.2204,10.0790,3.36e+12,3.41e+12,163840
20,8.6912,8.5468,6.71e+12,6.82e+12,327680
30,7.9154,7.9074,1.01e+13,1.02e+13,491520
40,7.7294,7.6915,1.34e+13,1.36e+13,655360
50,7.6391,7.6521,1.68e+13,1.70e+13,819200
60,7.5626,7.5985,2.01e+13,2.04e+13,983040
70,7.4989,7.5322,2.35e+13,2.39e+13,1146880
80,7.4929,7.4768,2.68e+13,2.73e+13,1310720
90,7.4044,7.4375,3.02e+13,3.07e+13,1474560
100,7.3264,7.4096,3.36e+13,3.41e+13,1638400
110,7.3789,7.3632,3.69e+13,3.75e+13,1802240
120,7.3628,7.3201,4.03e+13,4.09e+13,1966080
130,7.3078,7.2776,4.36e+13,4.43e+13,2129920
140,7.1593,7.2380,4.70e+13,4.77e+13,2293760
150,7.2099,7.2014,5.03e+13,5.11e+13,2457600
160,7.1646,7.1679,5.37e+13,5.45e+13,2621440
170,7.1404,7.1352,5.70e+13,5.79e+13,2785280
180,7.0877,7.1001,6.04e+13,6.13e+13,2949120
190,7.0648,7.0673,6.38e+13,6.48e+13,3112960
200,6.9969,7.0367,6.71e+13,6.82e+13,3276800
210,7.0100,7.0051,7.05e+13,7.16e+13,3440640
220,6.9784,6.9765,7.38e+13,7.50e+13,3604480
230,6.9267,6.9511,7.72e+13,7.84e+13,3768320
240,6.9025,6.9193,8.05e+13,8.18e+13,3932160
250,6.9467,6.8930,8.39e+13,8.52e+13,4096000
260,6.8006,6.8677,8.72e+13,8.86e+13,4259840
270,6.8210,6.8418,9.06e+13,9.20e+13,4423680
280,6.7717,6.8204,9.40e+13,9.54e+13,4587520
290,6.7913,6.7973,9.73e+13,9.88e+13,4751360
300,6.8195,6.7753,1.01e+14,1.02e+14,4915200
310,6.8093,6.7573,1.04e+14,1.06e+14,5079040
320,6.7870,6.7390,1.07e+14,1.09e+14,5242880
330,6.7331,6.7223,1.11e+14,1.12e+14,5406720
340,6.6444,6.7043,1.14e+14,1.16e+14,5570560
350,6.7597,6.6898,1.17e+14,1.19e+14,5734400
360,6.6810,6.6754,1.21e+14,1.23e+14,5898240
370,6.6907,6.6604,1.24e+14,1.26e+14,6062080
380,6.6605,6.6468,1.28e+14,1.30e+14,6225920
390,6.7303,6.6344,1.31e+14,1.33e+14,6389760
400,6.5812,6.6196,1.34e+14,1.36e+14,6553600
410,6.5590,6.6069,1.38e+14,1.40e+14,6717440
420,6.5931,6.5985,1.41e+14,1.43e+14,6881280
430,6.5830,6.5832,1.44e+14,1.47e+14,7045120
440,6.6842,6.5717,1.48e+14,1.50e+14,7208960
450,6.5806,6.5626,1.51e+14,1.53e+14,7372800
460,6.5017,6.5489,1.54e+14,1.57e+14,7536640
470,6.5582,6.5393,1.58e+14,1.60e+14,7700480
480,6.7045,6.5263,1.61e+14,1.64e+14,7864320
490,6.5362,6.5176,1.64e+14,1.67e+14,8028160
500,6.5132,6.5082,1.68e+14,1.70e+14,8192000
510,6.5184,6.4975,1.71e+14,1.74e+14,8355840
520,6.4850,6.4879,1.74e+14,1.77e+14,8519680
530,6.4808,6.4807,1.78e+14,1.81e+14,8683520
540,6.4432,6.4707,1.81e+14,1.84e+14,8847360
550,6.4243,6.4623,1.85e+14,1.87e+14,9011200
560,6.5022,6.4510,1.88e+14,1.91e+14,9175040
570,6.5213,6.4466,1.91e+14,1.94e+14,9338880
580,6.4531,6.4343,1.95e+14,1.98e+14,9502720
590,6.3870,6.4242,1.98e+14,2.01e+14,9666560
600,6.3986,6.4207,2.01e+14,2.04e+14,9830400
610,6.4473,6.4125,2.05e+14,2.08e+14,9994240
620,6.4443,6.4031,2.08e+14,2.11e+14,10158080
630,6.4580,6.3935,2.11e+14,2.15e+14,10321920
640,6.3656,6.3836,2.15e+14,2.18e+14,10485760
650,6.4310,6.3759,2.18e+14,2.22e+14,10649600
660,6.4089,6.3698,2.21e+14,2.25e+14,10813440
670,6.3862,6.3630,2.25e+14,2.28e+14,10977280
680,6.4201,6.3550,2.28e+14,2.32e+14,11141120
690,6.3162,6.3466,2.32e+14,2.35e+14,11304960
700,6.2554,6.3391,2.35e+14,2.39e+14,11468800
710,6.3414,6.3347,2.38e+14,2.42e+14,11632640
720,6.3605,6.3266,2.42e+14,2.45e+14,11796480
730,6.3447,6.3194,2.45e+14,2.49e+14,11960320
740,6.2531,6.3140,2.48e+14,2.52e+14,12124160
750,6.2952,6.3068,2.52e+14,2.56e+14,12288000
760,6.3327,6.2996,2.55e+14,2.59e+14,12451840
770,6.3179,6.2939,2.58e+14,2.62e+14,12615680
780,6.2588,6.2901,2.62e+14,2.66e+14,12779520
