step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,10.2925,10.1644,3.36e+12,3.41e+12,163840
20,8.7214,8.5532,6.71e+12,6.82e+12,327680
30,7.8367,7.8262,1.01e+13,1.02e+13,491520
40,7.7411,7.7324,1.34e+13,1.36e+13,655360
50,7.6946,7.7108,1.68e+13,1.70e+13,819200
60,7.6543,7.6992,2.01e+13,2.04e+13,983040
70,7.6466,7.6894,2.35e+13,2.39e+13,1146880
80,7.7023,7.6868,2.68e+13,2.73e+13,1310720
90,7.6446,7.6836,3.02e+13,3.07e+13,1474560
100,7.6037,7.6830,3.36e+13,3.41e+13,1638400
110,7.6864,7.6825,3.69e+13,3.75e+13,1802240
120,7.7137,7.6807,4.03e+13,4.09e+13,1966080
130,7.6928,7.6789,4.36e+13,4.43e+13,2129920
140,7.5923,7.6780,4.70e+13,4.77e+13,2293760
150,7.6801,7.6776,5.03e+13,5.11e+13,2457600
160,7.6704,7.6769,5.37e+13,5.45e+13,2621440
170,7.6673,7.6776,5.70e+13,5.79e+13,2785280
180,7.6560,7.6761,6.04e+13,6.13e+13,2949120
190,7.6577,7.6751,6.38e+13,6.48e+13,3112960
200,7.6213,7.6735,6.71e+13,6.82e+13,3276800
210,7.6576,7.6744,7.05e+13,7.16e+13,3440640
220,7.6845,7.6743,7.38e+13,7.50e+13,3604480
230,7.6437,7.6721,7.72e+13,7.84e+13,3768320
240,7.6362,7.6725,8.05e+13,8.18e+13,3932160
250,7.7257,7.6708,8.39e+13,8.52e+13,4096000
260,7.6084,7.6707,8.72e+13,8.86e+13,4259840
270,7.6568,7.6705,9.06e+13,9.20e+13,4423680
280,7.6112,7.6698,9.40e+13,9.54e+13,4587520
290,7.6472,7.6692,9.73e+13,9.88e+13,4751360
300,7.6994,7.6688,1.01e+14,1.02e+14,4915200
310,7.7119,7.6677,1.04e+14,1.06e+14,5079040
320,7.6965,7.6672,1.07e+14,1.09e+14,5242880
330,7.6558,7.6673,1.11e+14,1.12e+14,5406720
340,7.6311,7.6656,1.14e+14,1.16e+14,5570560
350,7.7038,7.6647,1.17e+14,1.19e+14,5734400
360,7.6909,7.6652,1.21e+14,1.23e+14,5898240
370,7.6966,7.6638,1.24e+14,1.26e+14,6062080
380,7.6554,7.6634,1.28e+14,1.30e+14,6225920
390,7.7652,7.6636,1.31e+14,1.33e+14,6389760
400,7.6031,7.6634,1.34e+14,1.36e+14,6553600
410,7.6165,7.6623,1.38e+14,1.40e+14,6717440
420,7.6395,7.6619,1.41e+14,1.43e+14,6881280
430,7.6609,7.6621,1.44e+14,1.47e+14,7045120
440,7.7473,7.6612,1.48e+14,1.50e+14,7208960
450,7.6716,7.6602,1.51e+14,1.53e+14,7372800
460,7.6357,7.6598,1.54e+14,1.57e+14,7536640
470,7.6910,7.6591,1.58e+14,1.60e+14,7700480
480,7.8084,7.6589,1.61e+14,1.64e+14,7864320
490,7.6495,7.6583,1.64e+14,1.67e+14,8028160
500,7.6434,7.6581,1.68e+14,1.70e+14,8192000
510,7.6607,7.6573,1.71e+14,1.74e+14,8355840
520,7.6483,7.6570,1.74e+14,1.77e+14,8519680
530,7.6693,7.6559,1.78e+14,1.81e+14,8683520
540,7.6464,7.6561,1.81e+14,1.84e+14,8847360
550,7.6107,7.6550,1.85e+14,1.87e+14,9011200
560,7.6825,7.6557,1.88e+14,1.91e+14,9175040
570,7.7256,7.6551,1.91e+14,1.94e+14,9338880
580,7.6670,7.6547,1.95e+14,1.98e+14,9502720
590,7.6236,7.6540,1.98e+14,2.01e+14,9666560
600,7.6248,7.6542,2.01e+14,2.04e+14,9830400
610,7.6985,7.6530,2.05e+14,2.08e+14,9994240
620,7.6843,7.6527,2.08e+14,2.11e+14,10158080
630,7.6946,7.6522,2.11e+14,2.15e+14,10321920
640,7.6483,7.6520,2.15e+14,2.18e+14,10485760
650,7.6794,7.6523,2.18e+14,2.22e+14,10649600
660,7.6975,7.6514,2.21e+14,2.25e+14,10813440
670,7.6396,7.6513,2.25e+14,2.28e+14,10977280
680,7.6781,7.6509,2.28e+14,2.32e+14,11141120
690,7.6067,7.6504,2.32e+14,2.35e+14,11304960
700,7.5973,7.6506,2.35e+14,2.39e+14,11468800
710,7.6236,7.6508,2.38e+14,2.42e+14,11632640
720,7.6700,7.6505,2.42e+14,2.45e+14,11796480
730,7.6459,7.6504,2.45e+14,2.49e+14,11960320
740,7.6157,7.6502,2.48e+14,2.52e+14,12124160
750,7.6416,7.6502,2.52e+14,2.56e+14,12288000
760,7.6914,7.6499,2.55e+14,2.59e+14,12451840
770,7.6488,7.6496,2.58e+14,2.62e+14,12615680
780,7.6110,7.6496,2.62e+14,2.66e+14,12779520
