step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
10,8.3913,8.7115,3.36e+12,3.41e+12,163840
20,9.8557,8.0474,6.71e+12,6.82e+12,327680
30,8.1240,8.0754,1.01e+13,1.02e+13,491520
40,7.8824,7.8453,1.34e+13,1.36e+13,655360
50,7.7532,7.7682,1.68e+13,1.70e+13,819200
60,7.6809,7.7162,2.01e+13,2.04e+13,983040
70,7.6630,7.7075,2.35e+13,2.39e+13,1146880
80,7.7071,7.6954,2.68e+13,2.73e+13,1310720
90,7.6462,7.6862,3.02e+13,3.07e+13,1474560
100,7.5906,7.6663,3.36e+13,3.41e+13,1638400
110,7.6533,7.6511,3.69e+13,3.75e+13,1802240
120,7.6542,7.6121,4.03e+13,4.09e+13,1966080
130,7.5979,7.5799,4.36e+13,4.43e+13,2129920
140,7.4690,7.5550,4.70e+13,4.77e+13,2293760
150,7.5353,7.5386,5.03e+13,5.11e+13,2457600
160,7.5185,7.5236,5.37e+13,5.45e+13,2621440
170,7.5032,7.5141,5.70e+13,5.79e+13,2785280
180,7.4774,7.5081,6.04e+13,6.13e+13,2949120
190,7.4794,7.4934,6.38e+13,6.48e+13,3112960
200,7.4430,7.4879,6.71e+13,6.82e+13,3276800
210,7.4684,7.4797,7.05e+13,7.16e+13,3440640
220,7.4799,7.4695,7.38e+13,7.50e+13,3604480
230,7.4431,7.4626,7.72e+13,7.84e+13,3768320
240,7.4272,7.4523,8.05e+13,8.18e+13,3932160
250,7.4763,7.4234,8.39e+13,8.52e+13,4096000
260,7.3335,7.3981,8.72e+13,8.86e+13,4259840
270,7.3609,7.3656,9.06e+13,9.20e+13,4423680
280,7.2919,7.3398,9.40e+13,9.54e+13,4587520
290,7.2891,7.3116,9.73e+13,9.88e+13,4751360
300,7.3288,7.2878,1.01e+14,1.02e+14,4915200
310,7.3228,7.2662,1.04e+14,1.06e+14,5079040
320,7.2855,7.2321,1.07e+14,1.09e+14,5242880
330,7.2268,7.2324,1.11e+14,1.12e+14,5406720
340,7.1426,7.1761,1.14e+14,1.16e+14,5570560
350,7.1954,7.1409,1.17e+14,1.19e+14,5734400
360,7.1246,7.1030,1.21e+14,1.23e+14,5898240
370,7.1079,7.0699,1.24e+14,1.26e+14,6062080
380,7.0394,7.0281,1.28e+14,1.30e+14,6225920
390,7.1115,6.9911,1.31e+14,1.33e+14,6389760
400,6.9260,6.9642,1.34e+14,1.36e+14,6553600
410,6.8752,6.9343,1.38e+14,1.40e+14,6717440
420,6.9033,6.9069,1.41e+14,1.43e+14,6881280
430,6.8951,6.8960,1.44e+14,1.47e+14,7045120
440,6.9713,6.8671,1.48e+14,1.50e+14,7208960
450,6.8570,6.8418,1.51e+14,1.53e+14,7372800
460,6.7647,6.8254,1.54e+14,1.57e+14,7536640
470,6.8191,6.8020,1.58e+14,1.60e+14,7700480
480,6.9689,6.7920,1.61e+14,1.64e+14,7864320
490,6.7821,6.7688,1.64e+14,1.67e+14,8028160
500,6.7631,6.7638,1.68e+14,1.70e+14,8192000
510,6.7652,6.7413,1.71e+14,1.74e+14,8355840
520,6.7222,6.7322,1.74e+14,1.77e+14,8519680
530,6.7223,6.7188,1.78e+14,1.81e+14,8683520
540,6.6768,6.7004,1.81e+14,1.84e+14,8847360
550,6.6542,6.6865,1.85e+14,1.87e+14,9011200
560,6.7232,6.6778,1.88e+14,1.91e+14,9175040
570,6.7429,6.6611,1.91e+14,1.94e+14,9338880
580,6.6659,6.6505,1.95e+14,1.98e+14,9502720
590,6.5986,6.6416,1.98e+14,2.01e+14,9666560
600,6.6143,6.6359,2.01e+14,2.04e+14,9830400
610,6.6514,6.6185,2.05e+14,2.08e+14,9994240
620,6.6400,6.6112,2.08e+14,2.11e+14,10158080
630,6.6721,6.6061,2.11e+14,2.15e+14,10321920
640,6.5683,6.5930,2.15e+14,2.18e+14,10485760
650,6.6461,6.5824,2.18e+14,2.22e+14,10649600
660,6.6182,6.5741,2.21e+14,2.25e+14,10813440
670,6.5911,6.5662,2.25e+14,2.28e+14,10977280
680,6.6240,6.5600,2.28e+14,2.32e+14,11141120
690,6.5092,6.5544,2.32e+14,2.35e+14,11304960
700,6.4720,6.5525,2.35e+14,2.39e+14,11468800
710,6.5409,6.5398,2.38e+14,2.42e+14,11632640
720,6.5787,6.5352,2.42e+14,2.45e+14,11796480
730,6.5425,6.5290,2.45e+14,2.49e+14,11960320
740,6.4687,6.5226,2.48e+14,2.52e+14,12124160
750,6.5143,6.5183,2.52e+14,2.56e+14,12288000
760,6.5422,6.5128,2.55e+14,2.59e+14,12451840
770,6.5353,6.5097,2.58e+14,2.62e+14,12615680
780,6.4664,6.5035,2.62e+14,2.66e+14,12779520
