step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,11.3192,11.2432,6.71e+12,6.82e+12,327680
40,9.0813,8.9141,1.34e+13,1.36e+13,655360
60,8.6142,8.6533,2.01e+13,2.04e+13,983040
80,8.3836,8.4119,2.68e+13,2.73e+13,1310720
100,8.3264,8.2952,3.36e+13,3.41e+13,1638400
120,8.1266,8.1715,4.03e+13,4.09e+13,1966080
140,8.0614,8.0765,4.70e+13,4.77e+13,2293760
160,7.9855,8.0032,5.37e+13,5.45e+13,2621440
180,7.9323,7.9170,6.04e+13,6.13e+13,2949120
200,7.8589,7.8502,6.71e+13,6.82e+13,3276800
220,7.7930,7.7893,7.38e+13,7.50e+13,3604480
240,7.7418,7.7410,8.05e+13,8.18e+13,3932160
260,7.7252,7.6991,8.72e+13,8.86e+13,4259840
280,7.6894,7.6627,9.40e+13,9.54e+13,4587520
300,7.6472,7.6421,1.01e+14,1.02e+14,4915200
320,7.5935,7.6071,1.07e+14,1.09e+14,5242880
340,7.5514,7.5717,1.14e+14,1.16e+14,5570560
360,7.5535,7.5439,1.21e+14,1.23e+14,5898240
380,7.5336,7.5178,1.28e+14,1.30e+14,6225920
400,7.4974,7.4963,1.34e+14,1.36e+14,6553600
420,7.4745,7.4739,1.41e+14,1.43e+14,6881280
440,7.3832,7.4336,1.48e+14,1.50e+14,7208960
460,7.4534,7.3967,1.54e+14,1.57e+14,7536640
480,7.4241,7.3636,1.61e+14,1.64e+14,7864320
500,7.3614,7.3299,1.68e+14,1.70e+14,8192000
520,7.3274,7.2928,1.74e+14,1.77e+14,8519680
540,7.2676,7.2604,1.81e+14,1.84e+14,8847360
560,7.2045,7.2393,1.88e+14,1.91e+14,9175040
580,7.1510,7.2077,1.95e+14,1.98e+14,9502720
600,7.2016,7.1848,2.01e+14,2.04e+14,9830400
620,7.2047,7.1587,2.08e+14,2.11e+14,10158080
640,7.0791,7.1234,2.15e+14,2.18e+14,10485760
660,7.1296,7.0934,2.21e+14,2.25e+14,10813440
680,7.0694,7.0712,2.28e+14,2.32e+14,11141120
700,7.0657,7.0281,2.35e+14,2.39e+14,11468800
720,7.0046,6.9965,2.42e+14,2.45e+14,11796480
740,6.8958,6.9402,2.48e+14,2.52e+14,12124160
760,6.8739,6.8989,2.55e+14,2.59e+14,12451840
780,6.8724,6.8853,2.62e+14,2.66e+14,12779520
800,6.8440,6.8445,2.68e+14,2.73e+14,13107200
820,6.8566,6.8201,2.75e+14,2.79e+14,13434880
840,6.7438,6.7959,2.82e+14,2.86e+14,13762560
860,6.8598,6.7685,2.89e+14,2.93e+14,14090240
880,6.7248,6.7398,2.95e+14,3.00e+14,14417920
900,6.6752,6.7169,3.02e+14,3.07e+14,14745600
920,6.6769,6.6934,3.09e+14,3.14e+14,15073280
940,6.6779,6.6696,3.15e+14,3.20e+14,15400960
960,6.6223,6.6484,3.22e+14,3.27e+14,15728640
980,6.6845,6.6313,3.29e+14,3.34e+14,16056320
1000,6.6435,6.6143,3.36e+14,3.41e+14,16384000
1020,6.5392,6.5941,3.42e+14,3.48e+14,16711680
1040,6.4936,6.5742,3.49e+14,3.54e+14,17039360
1060,6.5723,6.5583,3.56e+14,3.61e+14,17367040
1080,6.6246,6.5414,3.62e+14,3.68e+14,17694720
1100,6.5139,6.5230,3.69e+14,3.75e+14,18022400
1120,6.5660,6.5130,3.76e+14,3.82e+14,18350080
1140,6.5124,6.5009,3.83e+14,3.89e+14,18677760
1160,6.5202,6.4811,3.89e+14,3.95e+14,19005440
1180,6.5049,6.4704,3.96e+14,4.02e+14,19333120
1200,6.4822,6.4581,4.03e+14,4.09e+14,19660800
1220,6.4791,6.4487,4.09e+14,4.16e+14,19988480
1240,6.4427,6.4357,4.16e+14,4.23e+14,20316160
1260,6.4779,6.4262,4.23e+14,4.29e+14,20643840
1280,6.4363,6.4163,4.30e+14,4.36e+14,20971520
1300,6.4796,6.4092,4.36e+14,4.43e+14,21299200
1320,6.4166,6.4003,4.43e+14,4.50e+14,21626880
1340,6.3787,6.3907,4.50e+14,4.57e+14,21954560
1360,6.3866,6.3829,4.56e+14,4.63e+14,22282240
1380,6.3888,6.3782,4.63e+14,4.70e+14,22609920
1400,6.3483,6.3713,4.70e+14,4.77e+14,22937600
1420,6.3498,6.3654,4.77e+14,4.84e+14,23265280
1440,6.3594,6.3602,4.83e+14,4.91e+14,23592960
1460,6.3793,6.3561,4.90e+14,4.98e+14,23920640
1480,6.3734,6.3509,4.97e+14,5.04e+14,24248320
1500,6.3263,6.3443,5.03e+14,5.11e+14,24576000
1520,6.3904,6.3379,5.10e+14,5.18e+14,24903680
1540,6.3320,6.3296,5.17e+14,5.25e+14,25231360
1560,6.4271,6.3254,5.23e+14,5.32e+14,25559040
