step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.7074,10.7042,1.30e+13,1.32e+13,1310720
40,10.6784,10.6768,2.59e+13,2.65e+13,2621440
60,10.6615,10.6603,3.89e+13,3.97e+13,3932160
80,10.6468,10.6462,5.19e+13,5.30e+13,5242880
100,10.6339,10.6320,6.49e+13,6.62e+13,6553600
120,10.6177,10.6173,7.78e+13,7.95e+13,7864320
140,10.6013,10.6024,9.08e+13,9.27e+13,9175040
160,10.5903,10.5875,1.04e+14,1.06e+14,10485760
180,10.5747,10.5730,1.17e+14,1.19e+14,11796480
200,10.5592,10.5595,1.30e+14,1.32e+14,13107200
220,10.5495,10.5471,1.43e+14,1.46e+14,14417920
240,10.5366,10.5361,1.56e+14,1.59e+14,15728640
260,10.5274,10.5265,1.69e+14,1.72e+14,17039360
280,10.5177,10.5184,1.82e+14,1.85e+14,18350080
300,10.5135,10.5117,1.95e+14,1.99e+14,19660800
320,10.5062,10.5062,2.08e+14,2.12e+14,20971520
340,10.5019,10.5017,2.21e+14,2.25e+14,22282240
360,10.5002,10.4981,2.34e+14,2.38e+14,23592960
380,10.4954,10.4948,2.47e+14,2.52e+14,24903680
