step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.7408,9.6762,1.34e+13,1.36e+13,655360
40,8.8681,8.7956,2.68e+13,2.73e+13,1310720
60,8.2314,8.2668,4.03e+13,4.09e+13,1966080
80,8.1076,8.0866,5.37e+13,5.45e+13,2621440
100,8.1394,8.0811,6.71e+13,6.82e+13,3276800
120,8.0789,8.0827,8.05e+13,8.18e+13,3932160
140,8.0600,8.0908,9.40e+13,9.54e+13,4587520
160,8.1037,8.0817,1.07e+14,1.09e+14,5242880
180,8.0768,8.0830,1.21e+14,1.23e+14,5898240
200,8.1016,8.0823,1.34e+14,1.36e+14,6553600
220,8.0942,8.0783,1.48e+14,1.50e+14,7208960
240,8.0896,8.0857,1.61e+14,1.64e+14,7864320
260,8.0609,8.0789,1.74e+14,1.77e+14,8519680
280,8.1254,8.0833,1.88e+14,1.91e+14,9175040
300,8.1224,8.0821,2.01e+14,2.04e+14,9830400
320,8.0245,8.0904,2.15e+14,2.18e+14,10485760
340,8.0742,8.0972,2.28e+14,2.32e+14,11141120
360,8.1289,8.0947,2.42e+14,2.45e+14,11796480
380,8.0740,8.0832,2.55e+14,2.59e+14,12451840
400,8.0610,8.0836,2.68e+14,2.73e+14,13107200
420,8.0951,8.0817,2.82e+14,2.86e+14,13762560
440,8.1049,8.0785,2.95e+14,3.00e+14,14417920
460,8.0593,8.0803,3.09e+14,3.14e+14,15073280
480,8.0672,8.0994,3.22e+14,3.27e+14,15728640
500,8.0577,8.0856,3.36e+14,3.41e+14,16384000
520,8.0600,8.0829,3.49e+14,3.54e+14,17039360
540,8.0519,8.0802,3.62e+14,3.68e+14,17694720
560,8.0563,8.0787,3.76e+14,3.82e+14,18350080
580,8.0810,8.0766,3.89e+14,3.95e+14,19005440
600,8.0484,8.0860,4.03e+14,4.09e+14,19660800
620,8.1084,8.0872,4.16e+14,4.23e+14,20316160
640,8.0657,8.0837,4.30e+14,4.36e+14,20971520
660,8.1073,8.0835,4.43e+14,4.50e+14,21626880
680,8.0780,8.0796,4.56e+14,4.63e+14,22282240
700,8.0502,8.0771,4.70e+14,4.77e+14,22937600
720,8.0452,8.0782,4.83e+14,4.91e+14,23592960
740,8.0487,8.0740,4.97e+14,5.04e+14,24248320
760,8.0441,8.0777,5.10e+14,5.18e+14,24903680
780,8.0435,8.0758,5.23e+14,5.32e+14,25559040
800,8.0702,8.0765,5.37e+14,5.45e+14,26214400
820,8.0447,8.0782,5.50e+14,5.59e+14,26869760
840,8.1174,8.0788,5.64e+14,5.73e+14,27525120
860,8.0811,8.0785,5.77e+14,5.86e+14,28180480
880,8.0408,8.0723,5.91e+14,6.00e+14,28835840
900,8.0202,8.0769,6.04e+14,6.13e+14,29491200
920,8.1109,8.0760,6.17e+14,6.27e+14,30146560
940,8.0990,8.0750,6.31e+14,6.41e+14,30801920
960,8.0918,8.0728,6.44e+14,6.54e+14,31457280
980,8.0589,8.0742,6.58e+14,6.68e+14,32112640
1000,8.0822,8.0748,6.71e+14,6.82e+14,32768000
1020,8.0629,8.0734,6.85e+14,6.95e+14,33423360
1040,8.0679,8.0739,6.98e+14,7.09e+14,34078720
1060,8.0887,8.0752,7.11e+14,7.22e+14,34734080
1080,8.0349,8.0743,7.25e+14,7.36e+14,35389440
1100,8.0436,8.0737,7.38e+14,7.50e+14,36044800
1120,8.0416,8.0744,7.52e+14,7.63e+14,36700160
1140,8.0638,8.0742,7.65e+14,7.77e+14,37355520
1160,8.0761,8.0749,7.79e+14,7.91e+14,38010880
1180,8.1036,8.0725,7.92e+14,8.04e+14,38666240
1200,8.0695,8.0743,8.05e+14,8.18e+14,39321600
1220,8.0563,8.0725,8.19e+14,8.32e+14,39976960
1240,8.0573,8.0735,8.32e+14,8.45e+14,40632320
1260,8.0641,8.0753,8.46e+14,8.59e+14,41287680
1280,8.0511,8.0724,8.59e+14,8.72e+14,41943040
1300,8.0648,8.0725,8.72e+14,8.86e+14,42598400
1320,8.0958,8.0729,8.86e+14,9.00e+14,43253760
1340,8.0456,8.0734,8.99e+14,9.13e+14,43909120
1360,8.0975,8.0722,9.13e+14,9.27e+14,44564480
1380,8.0644,8.0757,9.26e+14,9.41e+14,45219840
1400,8.1080,8.0731,9.40e+14,9.54e+14,45875200
1420,8.0381,8.0736,9.53e+14,9.68e+14,46530560
1440,8.0839,8.0731,9.66e+14,9.81e+14,47185920
1460,8.0318,8.0731,9.80e+14,9.95e+14,47841280
1480,8.0509,8.0750,9.93e+14,1.01e+15,48496640
1500,8.0729,8.0725,1.01e+15,1.02e+15,49152000
1520,8.0798,8.0741,1.02e+15,1.04e+15,49807360
1540,8.0914,8.0741,1.03e+15,1.05e+15,50462720
1560,8.0569,8.0732,1.05e+15,1.06e+15,51118080
1580,8.0467,8.0736,1.06e+15,1.08e+15,51773440
1600,8.0577,8.0734,1.07e+15,1.09e+15,52428800
1620,8.0898,8.0737,1.09e+15,1.10e+15,53084160
1640,8.0717,8.0726,1.10e+15,1.12e+15,53739520
1660,8.0822,8.0726,1.11e+15,1.13e+15,54394880
