step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.7723,10.7696,8.06e+12,8.26e+12,655360
40,10.7208,10.7195,1.61e+13,1.65e+13,1310720
60,10.6692,10.6666,2.42e+13,2.48e+13,1966080
80,10.6191,10.6159,3.22e+13,3.30e+13,2621440
100,10.5693,10.5682,4.03e+13,4.13e+13,3276800
120,10.5280,10.5234,4.83e+13,4.95e+13,3932160
140,10.4865,10.4814,5.64e+13,5.78e+13,4587520
160,10.4441,10.4418,6.45e+13,6.61e+13,5242880
180,10.4071,10.4044,7.25e+13,7.43e+13,5898240
200,10.3766,10.3690,8.06e+13,8.26e+13,6553600
220,10.3392,10.3352,8.86e+13,9.08e+13,7208960
240,10.3042,10.3031,9.67e+13,9.91e+13,7864320
260,10.2850,10.2725,1.05e+14,1.07e+14,8519680
280,10.2351,10.2430,1.13e+14,1.16e+14,9175040
300,10.2235,10.2145,1.21e+14,1.24e+14,9830400
320,10.2009,10.1875,1.29e+14,1.32e+14,10485760
340,10.1622,10.1612,1.37e+14,1.40e+14,11141120
360,10.1312,10.1354,1.45e+14,1.49e+14,11796480
380,10.1065,10.1109,1.53e+14,1.57e+14,12451840
400,10.0930,10.0872,1.61e+14,1.65e+14,13107200
420,10.0610,10.0643,1.69e+14,1.73e+14,13762560
440,10.0387,10.0431,1.77e+14,1.82e+14,14417920
460,10.0256,10.0224,1.85e+14,1.90e+14,15073280
480,10.0038,10.0027,1.93e+14,1.98e+14,15728640
500,9.9926,9.9843,2.01e+14,2.06e+14,16384000
520,9.9802,9.9672,2.09e+14,2.15e+14,17039360
540,9.9552,9.9514,2.18e+14,2.23e+14,17694720
560,9.9474,9.9365,2.26e+14,2.31e+14,18350080
580,9.9283,9.9230,2.34e+14,2.39e+14,19005440
600,9.9260,9.9112,2.42e+14,2.48e+14,19660800
620,9.8986,9.9002,2.50e+14,2.56e+14,20316160
640,9.9017,9.8902,2.58e+14,2.64e+14,20971520
660,9.8900,9.8813,2.66e+14,2.73e+14,21626880
680,9.8775,9.8731,2.74e+14,2.81e+14,22282240
700,9.8683,9.8659,2.82e+14,2.89e+14,22937600
720,9.8816,9.8593,2.90e+14,2.97e+14,23592960
740,9.8643,9.8530,2.98e+14,3.06e+14,24248320
760,9.8507,9.8471,3.06e+14,3.14e+14,24903680
780,9.8531,9.8413,3.14e+14,3.22e+14,25559040
