step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.0413,9.0051,1.28e+13,1.32e+13,1310720
40,8.4653,8.4177,2.57e+13,2.65e+13,2621440
60,8.2387,8.2255,3.85e+13,3.97e+13,3932160
80,8.0457,8.0393,5.14e+13,5.30e+13,5242880
100,7.8836,7.8701,6.42e+13,6.62e+13,6553600
120,7.8177,7.7123,7.71e+13,7.95e+13,7864320
140,7.5906,7.5853,8.99e+13,9.27e+13,9175040
160,7.5501,7.5126,1.03e+14,1.06e+14,10485760
180,7.4486,7.4574,1.16e+14,1.19e+14,11796480
200,7.4309,7.4458,1.28e+14,1.32e+14,13107200
220,7.4352,7.4146,1.41e+14,1.46e+14,14417920
240,7.3771,7.3750,1.54e+14,1.59e+14,15728640
260,7.3544,7.3534,1.67e+14,1.72e+14,17039360
280,7.3060,7.3295,1.80e+14,1.85e+14,18350080
300,7.3471,7.3152,1.93e+14,1.99e+14,19660800
320,7.3045,7.3046,2.05e+14,2.12e+14,20971520
340,7.3106,7.2972,2.18e+14,2.25e+14,22282240
360,7.3068,7.2914,2.31e+14,2.38e+14,23592960
380,7.3079,7.2859,2.44e+14,2.52e+14,24903680
