step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.7627,10.7595,1.96e+13,2.00e+13,1310720
40,10.6975,10.6934,3.93e+13,4.01e+13,2621440
60,10.6243,10.6217,5.89e+13,6.01e+13,3932160
80,10.5531,10.5507,7.85e+13,8.01e+13,5242880
100,10.4858,10.4820,9.81e+13,1.00e+14,6553600
120,10.4191,10.4166,1.18e+14,1.20e+14,7864320
140,10.3598,10.3550,1.37e+14,1.40e+14,9175040
160,10.3059,10.2979,1.57e+14,1.60e+14,10485760
180,10.2565,10.2457,1.77e+14,1.80e+14,11796480
200,10.1936,10.1986,1.96e+14,2.00e+14,13107200
220,10.1670,10.1574,2.16e+14,2.20e+14,14417920
240,10.1293,10.1216,2.36e+14,2.40e+14,15728640
260,10.0982,10.0911,2.55e+14,2.60e+14,17039360
280,10.0604,10.0659,2.75e+14,2.80e+14,18350080
300,10.0651,10.0452,2.94e+14,3.01e+14,19660800
320,10.0239,10.0290,3.14e+14,3.21e+14,20971520
340,10.0140,10.0158,3.34e+14,3.41e+14,22282240
360,10.0192,10.0050,3.53e+14,3.61e+14,23592960
380,10.0050,9.9958,3.73e+14,3.81e+14,24903680
