step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.5879,9.5165,6.35e+12,6.75e+12,1310720
40,8.4274,8.3830,1.27e+13,1.35e+13,2621440
60,7.6756,7.6776,1.90e+13,2.02e+13,3932160
80,7.5058,7.4570,2.54e+13,2.70e+13,5242880
100,7.3444,7.3595,3.17e+13,3.37e+13,6553600
120,7.2589,7.2731,3.81e+13,4.05e+13,7864320
140,7.1896,7.1935,4.44e+13,4.72e+13,9175040
160,7.1315,7.1327,5.08e+13,5.40e+13,10485760
180,7.0597,7.0933,5.71e+13,6.07e+13,11796480
200,7.0601,7.0670,6.35e+13,6.75e+13,13107200
