step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,7.8013,7.7158,6.27e+13,6.32e+13,1305600
40,7.5488,7.5028,1.25e+14,1.26e+14,2611200
60,7.4931,7.4799,1.88e+14,1.90e+14,3916800
80,7.4720,7.4707,2.51e+14,2.53e+14,5222400
100,7.4931,7.4766,3.14e+14,3.16e+14,6528000
120,7.4186,7.4549,3.76e+14,3.79e+14,7833600
140,7.3879,7.3366,4.39e+14,4.42e+14,9139200
160,7.3179,7.2630,5.02e+14,5.06e+14,10444800
180,7.1607,7.1489,5.65e+14,5.69e+14,11750400
200,7.0741,7.0910,6.27e+14,6.32e+14,13056000
220,7.0482,7.0510,6.90e+14,6.95e+14,14361600
240,6.9918,7.0153,7.53e+14,7.59e+14,15667200
260,6.9629,6.9772,8.16e+14,8.22e+14,16972800
280,7.0175,6.9802,8.78e+14,8.85e+14,18278400
300,6.9520,6.9139,9.41e+14,9.48e+14,19584000
320,6.8710,6.8882,1.00e+15,1.01e+15,20889600
340,6.8966,6.8748,1.07e+15,1.07e+15,22195200
360,6.8245,6.8566,1.13e+15,1.14e+15,23500800
380,6.9077,6.8452,1.19e+15,1.20e+15,24806400
