step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,9.1619,9.0310,8.06e+12,8.26e+12,655360
40,7.5656,7.5620,1.61e+13,1.65e+13,1310720
60,7.3842,7.3669,2.42e+13,2.48e+13,1966080
80,7.1839,7.1615,3.22e+13,3.30e+13,2621440
100,6.9385,6.9447,4.03e+13,4.13e+13,3276800
120,6.7105,6.7323,4.83e+13,4.95e+13,3932160
140,6.6123,6.5682,5.64e+13,5.78e+13,4587520
160,6.4738,6.4270,6.45e+13,6.61e+13,5242880
180,6.3239,6.3235,7.25e+13,7.43e+13,5898240
200,6.2573,6.2401,8.06e+13,8.26e+13,6553600
220,6.1877,6.1677,8.86e+13,9.08e+13,7208960
240,6.1536,6.1043,9.67e+13,9.91e+13,7864320
260,6.0354,6.0445,1.05e+14,1.07e+14,8519680
280,6.0170,5.9984,1.13e+14,1.16e+14,9175040
300,5.9509,5.9468,1.21e+14,1.24e+14,9830400
320,5.8744,5.9020,1.29e+14,1.32e+14,10485760
340,5.9241,5.8652,1.37e+14,1.40e+14,11141120
360,5.8118,5.8275,1.45e+14,1.49e+14,11796480
380,5.7654,5.7954,1.53e+14,1.57e+14,12451840
400,5.7602,5.7666,1.61e+14,1.65e+14,13107200
420,5.7278,5.7384,1.69e+14,1.73e+14,13762560
440,5.6704,5.7152,1.77e+14,1.82e+14,14417920
460,5.6752,5.6909,1.85e+14,1.90e+14,15073280
480,5.6492,5.6699,1.93e+14,1.98e+14,15728640
500,5.6787,5.6532,2.01e+14,2.06e+14,16384000
520,5.5983,5.6365,2.09e+14,2.15e+14,17039360
540,5.6759,5.6225,2.18e+14,2.23e+14,17694720
560,5.6162,5.6089,2.26e+14,2.31e+14,18350080
580,5.6548,5.5983,2.34e+14,2.39e+14,19005440
600,5.5851,5.5872,2.42e+14,2.48e+14,19660800
620,5.6329,5.5776,2.50e+14,2.56e+14,20316160
640,5.5833,5.5694,2.58e+14,2.64e+14,20971520
660,5.5898,5.5637,2.66e+14,2.73e+14,21626880
680,5.5487,5.5556,2.74e+14,2.81e+14,22282240
700,5.5630,5.5499,2.82e+14,2.89e+14,22937600
720,5.5067,5.5448,2.90e+14,2.97e+14,23592960
740,5.5921,5.5396,2.98e+14,3.06e+14,24248320
760,5.5818,5.5357,3.06e+14,3.14e+14,24903680
780,5.5949,5.5313,3.14e+14,3.22e+14,25559040
