step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,7.7717,7.7475,8.06e+12,8.26e+12,655360
40,7.4358,7.4313,1.61e+13,1.65e+13,1310720
60,7.3513,7.3548,2.42e+13,2.48e+13,1966080
80,7.3532,7.3541,3.22e+13,3.30e+13,2621440
100,7.3090,7.3419,4.03e+13,4.13e+13,3276800
120,7.2984,7.3237,4.83e+13,4.95e+13,3932160
140,7.2821,7.2909,5.64e+13,5.78e+13,4587520
160,7.2398,7.2289,6.45e+13,6.61e+13,5242880
180,7.3041,7.2746,7.25e+13,7.43e+13,5898240
200,7.1119,7.1187,8.06e+13,8.26e+13,6553600
220,7.0396,7.0431,8.86e+13,9.08e+13,7208960
240,7.4292,7.3590,9.67e+13,9.91e+13,7864320
260,7.0205,6.9911,1.05e+14,1.07e+14,8519680
280,6.9514,6.9535,1.13e+14,1.16e+14,9175040
300,6.8087,6.7734,1.21e+14,1.24e+14,9830400
320,6.6737,6.6507,1.29e+14,1.32e+14,10485760
340,6.5402,6.5065,1.37e+14,1.40e+14,11141120
360,6.4276,6.4292,1.45e+14,1.49e+14,11796480
380,6.3111,6.2828,1.53e+14,1.57e+14,12451840
400,6.1691,6.1535,1.61e+14,1.65e+14,13107200
420,6.0450,6.0474,1.69e+14,1.73e+14,13762560
440,6.0018,5.9779,1.77e+14,1.82e+14,14417920
460,5.8728,5.9024,1.85e+14,1.90e+14,15073280
480,5.8563,5.8349,1.93e+14,1.98e+14,15728640
500,5.7670,5.7866,2.01e+14,2.06e+14,16384000
520,5.7600,5.7262,2.09e+14,2.15e+14,17039360
540,5.7437,5.6852,2.18e+14,2.23e+14,17694720
560,5.6997,5.6418,2.26e+14,2.31e+14,18350080
580,5.6209,5.6146,2.34e+14,2.39e+14,19005440
600,5.6347,5.5735,2.42e+14,2.48e+14,19660800
620,5.5065,5.5391,2.50e+14,2.56e+14,20316160
640,5.4803,5.5128,2.58e+14,2.64e+14,20971520
660,5.5040,5.4865,2.66e+14,2.73e+14,21626880
680,5.4947,5.4588,2.74e+14,2.81e+14,22282240
700,5.4656,5.4306,2.82e+14,2.89e+14,22937600
720,5.4049,5.4060,2.90e+14,2.97e+14,23592960
740,5.3602,5.3859,2.98e+14,3.06e+14,24248320
760,5.3903,5.3692,3.06e+14,3.14e+14,24903680
780,5.3290,5.3510,3.14e+14,3.22e+14,25559040
800,5.3285,5.3229,3.22e+14,3.30e+14,26214400
820,5.3174,5.3098,3.30e+14,3.39e+14,26869760
840,5.2877,5.2899,3.38e+14,3.47e+14,27525120
860,5.2806,5.2743,3.46e+14,3.55e+14,28180480
880,5.2481,5.2604,3.54e+14,3.63e+14,28835840
900,5.2572,5.2449,3.63e+14,3.72e+14,29491200
920,5.2824,5.2373,3.71e+14,3.80e+14,30146560
940,5.1838,5.2205,3.79e+14,3.88e+14,30801920
960,5.2080,5.2127,3.87e+14,3.96e+14,31457280
980,5.2405,5.2049,3.95e+14,4.05e+14,32112640
1000,5.2345,5.1967,4.03e+14,4.13e+14,32768000
