step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.9398,8.8049,9.81e+12,1.00e+13,655360
40,7.4704,7.4822,1.96e+13,2.00e+13,1310720
60,7.2731,7.2891,2.94e+13,3.01e+13,1966080
80,7.0167,6.9921,3.93e+13,4.01e+13,2621440
100,6.7587,6.7658,4.91e+13,5.01e+13,3276800
120,6.5518,6.5809,5.89e+13,6.01e+13,3932160
140,6.4881,6.4321,6.87e+13,7.01e+13,4587520
160,6.3582,6.3117,7.85e+13,8.01e+13,5242880
180,6.2028,6.2071,8.83e+13,9.02e+13,5898240
200,6.1407,6.1207,9.81e+13,1.00e+14,6553600
220,6.0623,6.0458,1.08e+14,1.10e+14,7208960
240,6.0288,5.9828,1.18e+14,1.20e+14,7864320
260,5.9109,5.9236,1.28e+14,1.30e+14,8519680
280,5.8980,5.8719,1.37e+14,1.40e+14,9175040
300,5.8220,5.8227,1.47e+14,1.50e+14,9830400
320,5.7458,5.7746,1.57e+14,1.60e+14,10485760
340,5.7980,5.7364,1.67e+14,1.70e+14,11141120
360,5.6807,5.6952,1.77e+14,1.80e+14,11796480
380,5.6307,5.6645,1.86e+14,1.90e+14,12451840
400,5.6323,5.6306,1.96e+14,2.00e+14,13107200
420,5.5992,5.6023,2.06e+14,2.10e+14,13762560
440,5.5336,5.5773,2.16e+14,2.20e+14,14417920
460,5.5386,5.5524,2.26e+14,2.30e+14,15073280
480,5.5073,5.5303,2.36e+14,2.40e+14,15728640
500,5.5323,5.5131,2.45e+14,2.50e+14,16384000
520,5.4553,5.4938,2.55e+14,2.60e+14,17039360
540,5.5307,5.4804,2.65e+14,2.70e+14,17694720
560,5.4700,5.4638,2.75e+14,2.80e+14,18350080
580,5.5123,5.4528,2.85e+14,2.90e+14,19005440
600,5.4402,5.4402,2.94e+14,3.01e+14,19660800
620,5.4880,5.4293,3.04e+14,3.11e+14,20316160
640,5.4309,5.4198,3.14e+14,3.21e+14,20971520
660,5.4384,5.4113,3.24e+14,3.31e+14,21626880
680,5.3958,5.4042,3.34e+14,3.41e+14,22282240
700,5.4077,5.3987,3.43e+14,3.51e+14,22937600
720,5.3492,5.3939,3.53e+14,3.61e+14,23592960
740,5.4448,5.3873,3.63e+14,3.71e+14,24248320
760,5.4355,5.3821,3.73e+14,3.81e+14,24903680
780,5.4380,5.3783,3.83e+14,3.91e+14,25559040
